Id	Name	Type	LifeType	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Desc	ShowType	ShowDesc	ShowOnColors[1]	ShowOnColors[2]	ShowOnColors[3]	ShowOnPointTypes[1]	ShowOnPointTypes[2]	ShowOnPointTypes[3]	ShowOnPointTypes[4]	Icon
202	Efficient Research	15	2	5									Ayla Hard 2 - Increasing Research Level only costs 5 Research Data in this round	0	Upgrading Exhibition only costs 5 Paint in this round	1	2	3	1				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
203	Empowered Extraction	18	2	999	2								Karenina Easy 1 - Energy obtained +2 in this round	0	Quantity of Paint obtained in this round +2	1	2	3	3				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
204	Reroll	27	2	2									Karenina Easy 1 - Can roll the die 2 times in research	0	Can reroll 2 times when obtaining Paint	1	2	3	1				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
205	Action Points	14	4	5									Karenina Easy 2 - Action Point +5	1	Obtain 5 Action Points								
206	Acquired Multiple Times	26	2	5	5	5	5	5	5				Karenina Easy 2 - In this round, Data obtained from Energy Point is guaranteed to be maximum	0	Guaranteed to obtain the maximum quantity of Paint in this round	1	2	3	3				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
207	Data Acquired	10	4	1	3								Karenina Hard 1 - Three-Color Paints +3	1	Obtain 3 Three-Color Paints								
208	Data Acquired	10	4	2	3								Karenina Hard 1 - Three-Color Paints +3	0									
209	Data Acquired	10	4	3	3								Karenina Hard 1 - Three-Color Paints +3	0									
210	Reroll	27	2	3									Karenina Hard 1 - Can roll the die 3 times in research	0	Can reroll 2 times when obtaining Paint	1	2	3	1				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
211	Action Points	14	4	5									Karenina Hard 2 - Action Point +5	1	Obtain 5 Action Points								
212	Acquired Multiple Times	26	2	5	5	5	5	5	5				Karenina Hard 2 - In this round, Data obtained from Energy Point is guaranteed to be maximum	0	Guaranteed to obtain the maximum Paint in this round	1	2	3	3				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
213	Green Reduction	11	4	2	-1								Commandant 1 Easy 1 - Green Boss Level -1	1	School Master (Green)'s level decreases by 1								
214	No Action Needed	2	2	2									Commandant 1 Easy 1 - Movement in Green area costs no Action Points in this round	0	Movement in Green area costs no Action Points in this round	2			1	2	3		Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
215	Data Loss	10	4	2	-5								Commandant 1 Easy 2 - Green Data -5	1	Lose 5 Green Paint								
216	Time Stop	21	2										Commandant 1 Easy 2 - At the end of this round, the timeline is not tallied but the progress will continue to move forward normally	0									
217	Action Points	14	4	3									Commandant 2 Easy 1 - Action Point +3	1	Obtain 3 Action Points but lost 1 Three-Color Paint								
218	Data Acquired	10	4	1	-1								Commandant 2 Easy 1 - Three-Color Paints -1	0									
219	Data Acquired	10	4	2	-1								Commandant 2 Easy 1 - Three-Color Paints -1	0									
220	Data Acquired	10	4	3	-1								Commandant 2 Easy 1 - Three-Color Paints -1	0									
221	Action Points	14	4	5									Commandant 2 Easy 2 - Action Point +5	1	Obtain 5 Action Points and 5 Three-Color Paints								
222	Data Acquired	10	4	1	5								Commandant 2 Easy 2 - Three-Color Paints +5	0									
223	Data Acquired	10	4	2	5								Commandant 2 Easy 2 - Three-Color Paints +5	0									
224	Data Acquired	10	4	3	5								Commandant 2 Easy 2 - Three-Color Paints +5	0									
225	Teleport III	1	2	999									Commandant 3 Easy 1 - Movement costs no Action Points in this round	0	Movement costs no Action Points in this round	1	2	3	1	2	3	4	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
226	Blue Boost	11	6	3	1								Commandant 3 Easy 1 - Blue Virus Level +1 in the next round	1	School Master's level increases by 1								
227	Red Boost	11	6	1	1								Commandant 3 Easy 1 - Red Virus Level +1 in the next round	0									
228	Green Boost	11	6	2	1								Commandant 3 Easy 1 - Green Virus Level +1 in the next round	0									
229	Blue Boost	11	4	3	-2								Commandant 3 Easy 2 - Blue Virus Level -2	1	School Master's level decreases by 2								
230	Red Boost	11	4	1	-2								Commandant 3 Easy 2 - Red Virus Level -2	0									
231	Green Boost	11	4	2	-2								Commandant 3 Easy 2 - Green Virus Level -2	0									
232	Data Acquired	10	4	1	5								Commandant 3 Easy 2 - Three-Color Paints +5	1	Obtain 5 Three-Color Paints								
233	Data Acquired	10	4	2	5								Commandant 3 Easy 2 - Three-Color Paints +5	0									
234	Data Acquired	10	4	3	5								Commandant 3 Easy 2 - Three-Color Paints +5	0									
235	Green Reduction	11	4	2	-1								Commandant 1 Hard 1 - Green Boss Level -1	1	School Master (Green)'s level decreases by 1								
236	No Action Needed	2	2	2									Commandant 1 Hard 1 - Movement in Green area costs no Action Points in this round	0	Movement in Green area costs no Action Points in this round	2			1	2			Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
237	Data Loss	10	4	2	-5								Commandant 1 Hard 2 - Green Data -5	1	Lose 5 Green Paint								
238	Time Stop	21	2										Commandant 1 Hard 2 - At the end of this round, the timeline is not tallied but the progress will continue to move forward normally	0									
239	Action Points	14	4	3									Commandant 2 Hard 1 - Action Points +3	1	Obtain 3 Action Points but lost 1 Three-Color Paint								
240	Data Acquired	10	4	1	-1								Commandant 2 Hard 1 - Three-Color Paints -1	0									
241	Data Acquired	10	4	2	-1								Commandant 2 Hard 1 - Three-Color Paints -1	0									
242	Data Acquired	10	4	3	-1								Commandant 2 Hard 1 - Three-Color Paints -1	0									
243	Action Points	14	4	5									Commandant 2 Hard 2 - Action Points +5	1	Obtain 5 Action Points and 5 Three-Color Paints								
244	Data Acquired	10	4	1	5								Commandant 2 Hard 2 - Three-Color Paints +5	0									
245	Data Acquired	10	4	2	5								Commandant 2 Hard 2 - Three-Color Paints +5	0									
246	Data Acquired	10	4	3	5								Commandant 2 Hard 2 - Three-Color Paints +5	0									
247	Teleport III	1	2	999									Commandant 3 Hard 1 - Movement costs no Action Points in this round	0	Movement costs no Action Points in this round	1	2	3	1	2			Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
248	Blue Boost	11	6	3	1								Commandant 3 Hard 1 - Blue Virus Level +1 in the next round	1	School Master's level increases by 1								
249	Red Boost	11	6	1	1								Commandant 3 Hard 1 - Red Virus Level +1 in the next round	0									
250	Green Boost	11	6	2	1								Commandant 3 Hard 1 - Green Virus Level +1 in the next round	0									
251	Blue Boost	11	4	3	-2								Commandant 3 Hard 2 - Blue Virus Level -2	1	School Master's level decreases by 2								
252	Red Boost	11	4	1	-2								Commandant 3 Hard 2 - Red Virus Level -2	0									
253	Green Boost	11	4	2	-2								Commandant 3 Hard 2 - Green Virus Level -2	0									
254	Data Acquired	10	4	1	5								Commandant 2 Hard 2 - Three-Color Paints +5	1	Obtain 5 Three-Color Paints								
255	Data Acquired	10	4	2	5								Commandant 2 Hard 2 - Three-Color Paints +5	0									
256	Data Acquired	10	4	3	5								Commandant 2 Hard 2 - Three-Color Paints +5	0									
257	Red Ban	20	1	1	1								For beginner only: movement in Red areas is forbidden	0									
258	Blue Ban	20	1	3	1								For beginner only: movement in Blue areas is forbidden	0									
259	Central Area Reward - Red	23	2	1	7								Central Area Reward - Red	1	Get 7 Red Paint when passing or staying in the Core area	1			4				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
260	Central Area Reward - Green	23	2	2	7								Central Area Reward - Blue	1	Get 7 Green Paint when passing or staying in the Core area	2			4				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
261	Central Area Reward - Blue	23	2	3	7								Central Area Reward - Green	1	Get 7 Blue Paint when passing or staying in the Core area	3			4				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
262	Novice Stage 1	26	3	5	5	5	5	5	5				For Novice Stage 1 Round 2 only: Guaranteed to roll 5. Continue in the next round if not used in the first round	0	For Novice Stage 1 Round 2 only: Guaranteed to roll 5								
263	Novice Stage 1	37	1	2									Stage effect. Regular Outbreak is not randomized but is guaranteed to increase the level of Green Boss	0									
264	Novice Stage 2	37	2	2									An stage effect that lasts only 1 round and increases the level of Green Boss	0									
