Id	SubIds[0]	SubIds[1]	SubIds[2]	SubIds[3]	SubIds[4]	SubIds[5]	SubIds[6]	SubIds[7]	SubIds[8]	SubIds[9]	SubIds[10]	SubIds[11]	SubIds[12]	SubIds[13]	SubIds[14]	SubIds[15]	SubIds[16]	SubIds[17]	SubIds[18]	SubIds[19]	SubIds[20]	SubIds[21]	SubIds[22]	SubIds[23]	SubIds[24]	SubIds[25]	SubIds[26]	SubIds[27]	SubIds[28]	SubIds[29]	SubIds[30]	SubIds[31]	SubIds[32]	SubIds[33]	SubIds[34]	SubIds[35]	SubIds[36]	SubIds[37]	SubIds[38]	SubIds[39]	SubIds[40]	SubIds[41]	SubIds[42]	SubIds[43]	SubIds[44]	SubIds[45]	SubIds[46]	SubIds[47]	SubIds[48]	SubIds[49]	SubIds[50]	SubIds[51]	SubIds[52]	SubIds[53]	SubIds[54]	SubIds[55]
30070109	300701010	300701091	300701092																																																					
30070110	300701010	300701101	300701102																																																					
10100	101002	101000																																																						
10101	101012	101010																																																						
10102	101022	101020																																																						
10103	101032	101030																																																						
10104	101042	101040																																																						
10105	101052	101050																																																						
10106	101062	101060																																																						
10107	101072	101070																																																						
10108	101082	101080																																																						
10109	101092	101090																																																						
10110	101102	101100																																																						
10111	101112	101110																																																						
10112	101122	101120																																																						
10113	101132	101130																																																						
10114	101142	101140																																																						
10115	101152	101150																																																						
10116	101162	101160																																																						
10117	101172	101170																																																						
10118	101182	101180																																																						
10119	101192	101190																																																						
10120	101202	101200																																																						
10121	101212	101210																																																						
10122	101222	101220																																																						
10123	101232	101230																																																						
10124	101242	101240																																																						
10125	101252	101250																																																						
10126	101262	101260																																																						
10127	101272	101270																																																						
10128	101282	101280																																																						
10129	101292	101290																																																						
10130	101302	101300																																																						
10131	101312	101310																																																						
10132	101322	101320																																																						
10133	101332	101330																																																						
10134	101342	101340																																																						
10135	101352	101350																																																						
10136	101362	101360																																																						
10137	101372	101370																																																						
10138	101382	101380																																																						
10139	101392	101390																																																						
10140	101402	101400																																																						
10141	101412	101410																																																						
10142	101422	101420																																																						
10143	101432	101430																																																						
10144	101442	101440																																																						
10145	101452	101450																																																						
10146	101462	101460																																																						
10147	101472	101470																																																						
10148	101482	101480																																																						
10149	101492	101490																																																						
10150	101502	101500																																																						
10151	101512	101510																																																						
10152	101522	101520																																																						
10153	101532	101530																																																						
10160	101602	101603	101600																																																					
10161	101612	101613	101610																																																					
10162	101622	101623	101620																																																					
10200	102002	102000																																																						
10201	102012	102010																																																						
10202	102022	102020																																																						
10203	102032	102030																																																						
10204	102042	102040																																																						
10205	102052	102050																																																						
10206	102062	102063	102060																																																					
10207	102072	102073	102070																																																					
10208	102082	102080																																																						
10209	102092	102090																																																						
10210	102102	102100																																																						
10211	102112	102110																																																						
10212	102122	102120																																																						
10213	102132	102130																																																						
10214	102142	102140																																																						
10215	102152	102153	102150																																																					
10216	102162	102163	102160																																																					
10217	102172	102173	102170																																																					
10218	102182	102183	102180																																																					
10219	102192	102193	102190																																																					
10220	102202	102203	102200																																																					
10221	102212	102213	102210																																																					
10222	102222	102223	102220																																																					
10223	102232	102233	102230																																																					
10224	102242	102243	102240																																																					
10225	102252	102253	102250																																																					
10226	102262	102263	102260																																																					
10227	102272	102270																																																						
10228	102282	102283	102280																																																					
10229	102292	102293	102290																																																					
10230	102302	102303	102300																																																					
10231	102312	102313	102310																																																					
10232	102322	102323	102320																																																					
10233	102332	102333	102330																																																					
10234	102342	102343	102340																																																					
10235	102352	102353	102350																																																					
10236	102362	102360																																																						
10237	102372	102370																																																						
10238	102382	102380																																																						
10239	102392	102390																																																						
10240	102402	102403	102400																																																					
10241	102412	102413	102410																																																					
10242	102422	102423	102420																																																					
10243	102432	102433	102430																																																					
10244	102442	102443	102440																																																					
10245	102452	102450																																																						
10246	102462	102460																																																						
10247	102472	102470																																																						
10248	102482	102480																																																						
10249	102492	102490																																																						
10250	102502	102500																																																						
10251	102512	102510																																																						
10252	102522	102523	102520																																																					
10253	102532	102533	102530																																																					
38010	380102	380103	380100																																																					
38020	380202	380203	380200																																																					
38030	380302	380303	380300																																																					
38040	380402	380403	380400																																																					
38050	380502	380503	380500																																																					
38060	380602	380603	380600																																																					
38070	380702	380703	380700																																																					
38080	380802	380803	380800																																																					
38090	380902	380903	380900																																																					
38100	381002	381003	381000																																																					
38110	381102	381103	381100																																																					
38120	381202	381203	381200																																																					
38130	381302	381303	381300																																																					
38140	381402	381403	381400																																																					
38150	381502	381503	381500																																																					
38160	381602	381603	381600																																																					
38170	381702	381703	381700																																																					
38180	381802	381803	381800																																																					
38190	381902	381903	381900																																																					
38200	382002	382003	382000																																																					
38210	382102	382103	382100																																																					
38220	382202	382203	382200																																																					
38230	382302	382303	382300																																																					
38240	382402	382403	382400																																																					
38250	382502	382503	382500																																																					
38260	382602	382603	382600																																																					
38270	382702	382703	382700																																																					
38280	382802	382803	382800																																																					
38290	382902	382903	382900																																																					
38300	383002	383003	383000																																																					
38310	383102	383103	383100																																																					
38320	383202	383203	383200																																																					
38330	383302	383303	383300																																																					
38340	383402	383403	383400																																																					
38350	383502	383503	383500																																																					
38360	383602	383603	383600																																																					
38370	383702	383703	383700																																																					
38380	383802	383803	383800																																																					
38390	383902	383903	383900																																																					
38400	384002	384003	384000																																																					
38410	384102	384103	384100																																																					
38420	384202	384203	384200																																																					
38430	384302	384303	384300																																																					
38440	384402	384403	384400																																																					
38450	384502	384503	384500																																																					
38460	384602	384603	384600																																																					
38470	384702	384703	384700																																																					
38480	384802	384803	384800																																																					
38490	384902	384903	384900																																																					
38500	385002	385003	385000																																																					
38510	385102	385103	385100																																																					
38520	385202	385203	385200																																																					
38530	385302	385303	385300																																																					
38540	385402	385403	385400																																																					
38550	385502	385503	385500																																																					
38560	385602	385603	385600																																																					
38570	385702	385703	385700																																																					
38580	385802	385803	385800																																																					
38590	385902	385903	385900																																																					
38600	386002	386003	386000																																																					
38610	386102	386103	386100																																																					
38620	386202	386203	386200																																																					
221000	2210000	2210002	2210001																																																					
221001	2210010	2210012	2210011																																																					
221002	2210020	2210022	2210021																																																					
221003	2210030	2210032	2210031																																																					
221004	2210040	2210042	2210041																																																					
221005	2210050	2210052	2210051																																																					
221006	2210060	2210062	2210061																																																					
221007	2210070	2210072	2210071																																																					
221008	2210080	2210082	2210081																																																					
221009	2210090	2210092	2210091																																																					
221010	2210100	2210102	2210101																																																					
221011	2210110	2210112	2210111																																																					
221012	2210120	2210122	2210121																																																					
221013	2210130	2210132	2210131																																																					
221014	2210140	2210142	2210141																																																					
221015	2210150	2210152	2210151																																																					
40000	400000	400006	400001																																																					
40001	400010	400016	400003																																																					
40002	400020	400026	400013																																																					
40003	400030	400036	400004																																																					
40004	400040	400046	400023																																																					
40005	400050	400056	400005																																																					
40006	400060	400066	400014																																																					
40007	400070	400076	400024																																																					
40008	400080	400086	400011																																																					
40009	400090	400096	400034																																																					
40010	400100	400106	400044																																																					
40011	400110	400116	400003																																																					
40012	400120	400126	400054																																																					
40013	400130	400136	400043																																																					
40014	400140	400146	400064																																																					
40015	400150	400156	400053																																																					
40016	400160	400166	400074																																																					
40017	400170	400176	400005																																																					
40018	400180	400186	400063																																																					
40019	400190	400196	400073																																																					
40020	400200	400206	400021																																																					
40021	400210	400216	400083																																																					
40022	400220	400226	400093																																																					
40023	400230	400236	400084																																																					
40024	400240	400246	400094																																																					
40025	400250	400256	400104																																																					
40026	400260	400266	400103																																																					
40027	400270	400276	400113																																																					
40028	400280	400286	400025																																																					
40029	400290	400296	400114																																																					
40030	400300	400306	400124																																																					
40031	400310	400316	400031																																																					
40100	401000	401011																																																						
40101	401010	401021																																																						
40102	401020	401031																																																						
40103	401030	401031																																																						
40200	402001																																																							
40201	402011																																																							
40203	402030																																																							
40204	402040																																																							
40205	402050	402051																																																						
40206	402060																																																							
40207	402070																																																							
40300	403000	403001																																																						
40301	403010	403011																																																						
40302	403020	403021																																																						
40503	405030	405031	405032																																																					
40504	405040	405041	405042																																																					
40505	405050	405051	405052																																																					
40506	405060	405061	405062																																																					
40507	405070	405071	405072																																																					
40508	405080	405081	405082																																																					
40509	405090	405091	405092																																																					
40510	405100	405101	405102																																																					
40511	405110	405111	405112																																																					
40512	405120	405121	405122																																																					
40700	407000	407001	407002																																																					
40701	407010	407011	407012																																																					
40702	407020	407021	407022																																																					
40703	407030	407031	407032																																																					
40704	407040	407041	407042																																																					
40705	407050	407051	407052																																																					
40706	407060	407061	407062																																																					
40707	407070	407071	407072																																																					
40708	407080	407081	407082																																																					
40709	407090	407091	407092																																																					
40710	407100	407101	407102																																																					
40711	407110	407111	407112																																																					
40712	407120	407121	407122																																																					
40713	407130	407131	407132																																																					
40714	407140	407141	407142																																																					
40715	407150	407151	407152																																																					
40716	407160	407161	407162																																																					
40717	407170	407171	407172																																																					
40718	407180	407181	407182																																																					
40719	407190	407191	407192																																																					
40720	407200	407201	407202																																																					
40721	407210	407211	407212																																																					
40722	407220	407221	407222																																																					
40723	407230	407231	407232																																																					
40724	407240	407241	407242																																																					
40725	407250	407251	407252																																																					
40726	407260	407261	407262																																																					
40727	407270	407271	407272																																																					
40728	407280	407281	407282																																																					
40729	407290	407291	407292																																																					
40730	407300	407301	407302																																																					
40731	407310	407311	407312																																																					
40732	407320	407321	407322																																																					
40733	407330	407331	407332																																																					
40734	407340	407341	407342																																																					
40735	407350	407351	407352																																																					
40736	407360	407361	407362																																																					
40737	407370	407371	407372																																																					
40738	407380	407381	407382																																																					
40739	407390	407391	407392																																																					
40740	407400	407401	407402																																																					
40741	407410	407411	407412																																																					
40742	407420	407421	407422																																																					
40743	407430	407431	407432																																																					
40744	407440	407441	407442																																																					
40745	407450	407451	407452																																																					
40746	407460	407461	407462																																																					
40747	407470	407471	407472																																																					
40748	407480	407481	407482																																																					
40749	407490	407491	407492																																																					
40750	407500	407501	407502																																																					
40751	407510	407511	407512																																																					
40752	407520	407521	407522																																																					
40753	407530	407531	407532																																																					
40754	407540	407541	407542																																																					
40755	407550	407551	407552																																																					
40761	407610	407611	407612																																																					
40762	407620	407621	407622																																																					
40763	407630	407631	407632																																																					
40764	407640	407641	407642																																																					
40765	407650	407651	407652																																																					
40766	407660	407661	407662																																																					
40767	407670	407671	407672																																																					
40768	407680	407681	407682																																																					
40769	407690	407691	407692																																																					
40773	407730																																																							
40774	407740																																																							
40775	407750																																																							
40776	407760																																																							
40777	407770																																																							
40778	407780																																																							
40779	407790																																																							
40780	407800																																																							
40781	407810																																																							
40782	407820																																																							
40790	407900	407901	407902																																																					
40791	407910	407911	407912																																																					
40792	407920	407921	407922																																																					
40793	407930	407931	407932																																																					
40794	407940	407941	407942																																																					
40795	407950	407951	407952																																																					
40796	407960	407961	407962																																																					
40797	407970	407971	407972																																																					
40798	407980	407981	407982																																																					
40799	407990	407991	407992																																																					
40800	408000	408001	408002																																																					
40802	408020																																																							
40805	408050																																																							
40806	408060																																																							
40807	408070																																																							
40808	408080																																																							
40809	408090																																																							
40810	408100																																																							
200101000	2001010001	2001010002																																																						
200101001	2001010000	2001010001	2001010002																																																					
200101002	2001010010	2001010011	2001010012	2001010000	2001010001	2001010002																																																		
200101003	2001010010	2001010011	2001010012	2001010000	2001010001	2001010002																																																		
200101004	2001010040																																																							
200101005	2001010051	2001010055	2001010057																																																					
200101006	2001010061	2001010051	2001010053	2001010055	2001010057																																																			
200101007	2001010061	2001010051	2001010053	2001010055	2001010057																																																			
200101008	2001010080																																																							
200101009	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101010	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101011	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101012	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101013	2001010050	2001010052	2001010054																																																					
200101014	2001010050	2001010052	2001010054																																																					
200101015	2001010050	2001010052	2001010054																																																					
200101016	2001010050	2001010052	2001010054																																																					
200101017	2001010050	2001010052	2001010054																																																					
200101018	2001010050	2001010052	2001010054																																																					
200101019	2001010050	2001010052																																																						
200101020	2001010050	2001010052																																																						
200101021	2001010050	2001010052																																																						
200101022	2001010050	2001010052																																																						
200101023	2001010050	2001010052																																																						
200101024	2001010050	2001010052																																																						
200101025	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101026	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101027	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101028	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101029	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101030	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101031	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101032	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101033	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101034	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101035	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101036	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101037	2001010370	2001010371																																																						
200101038	2001010380	2001010381																																																						
200101039	2001010390																																																							
300701	3007010																																																							
300702	3007020																																																							
300703	3007030																																																							
300704	3007040																																																							
300705	3007050																																																							
300706	3007060																																																							
300707	3007070																																																							
300708	3007080																																																							
300709	3007090																																																							
300710	3007100																																																							
20101040	201010400																																																							
8001	80010																																																							
8002	80020																																																							
8003	80030																																																							
8004	80040																																																							
8005	80050																																																							
8006	80060																																																							
8007	80070																																																							
8008	80080																																																							
8009	80090																																																							
8010	80100																																																							
8011	80110																																																							
8012	80120																																																							
8013	80130																																																							
9000	90000																																																							
9001	90010																																																							
9002	90020																																																							
9003	90030																																																							
9100	91000																																																							
9101	91010																																																							
9102	91020																																																							
9103	91030																																																							
9104	91040																																																							
10110020	101100200																																																							
10110021	101100210																																																							
10110022	101100220	101100221																																																						
10210010	102100100																																																							
10210011	102100110																																																							
10210012	102100120	102100121																																																						
10310010	103100100																																																							
10310011	103100110																																																							
10310012	103100120	103100121																																																						
10510010	105100100																																																							
10510011	105100110																																																							
10510012	105100120	105100121																																																						
10310020	103100200																																																							
10310021	103100210																																																							
10310022	103100220	103100221																																																						
10210020	102100200																																																							
10210021	102100210																																																							
10210022	102100220	102100221																																																						
10310030	103100300																																																							
10310031	103100310																																																							
10310032	103100320	103100321																																																						
10610030	106100300																																																							
10610031	106100310																																																							
10610032	106100320	106100321																																																						
10810020	108100200																																																							
10810021	108100210																																																							
10810022	108100220	108100221																																																						
10710020	107100200																																																							
10710021	107100210																																																							
10710022	107100220	107100221																																																						
10610020	106100200																																																							
10610021	106100210																																																							
10610022	106100220	106100221																																																						
10410020	104100200																																																							
10410021	104100210																																																							
10410022	104100220	104100221																																																						
10710030	107100300																																																							
10710031	107100310																																																							
10710032	107100320	107100321																																																						
10110030	101100300																																																							
10110031	101100310																																																							
10110032	101100320	101100321																																																						
10510030	105100300																																																							
10510031	105100310																																																							
10510032	105100320	105100321																																																						
10210030	102100300																																																							
10210031	102100310																																																							
10210032	102100320	102100321																																																						
10810030	108100300																																																							
10810031	108100310																																																							
10810032	108100320	108100321																																																						
10910020	109100200																																																							
10910021	109100210																																																							
10910022	109100220	109100221																																																						
10410030	104100300																																																							
10410031	104100310																																																							
10410032	104100320	104100321																																																						
11110020	111100200																																																							
11110021	111100210																																																							
11110022	111100220	111100221																																																						
11210020	112100200																																																							
11210021	112100210																																																							
11210022	112100220	112100221																																																						
10210040	102100400																																																							
10210041	102100410																																																							
10210042	102100420	102100421																																																						
11310020	113100200																																																							
11310021	113100210																																																							
11310022	113100220	113100221																																																						
15110030	151100300																																																							
15110031	151100310																																																							
15110032	151100320	151100321																																																						
11410030	114100300																																																							
11410031	114100310																																																							
11410032	114100320	114100321																																																						
15210030	152100300																																																							
15210031	152100310																																																							
15210032	152100320	152100321																																																						
11610020	116100200																																																							
11610021	116100210																																																							
11610022	116100220	116100221																																																						
11710030	117100300																																																							
11710031	117100310																																																							
11710032	117100320	117100321																																																						
11810030	118100300																																																							
11810031	118100310																																																							
11810032	118100320	118100321																																																						
11910030	119100300																																																							
11910031	119100310																																																							
11910032	119100320	119100321																																																						
12010030	120100300																																																							
12010031	120100310																																																							
12010032	120100320	120100321																																																						
12110020	121100200																																																							
12110021	121100210																																																							
12110022	121100220	121100221																																																						
15310030	153100300																																																							
15310031	153100310																																																							
15310032	153100320	153100321																																																						
11210030	112100300																																																							
11210031	112100310																																																							
11210032	112100320	112100321																																																						
12210020	122100200																																																							
12210021	122100210																																																							
12210022	122100220	122100221																																																						
11310030	113100300																																																							
11310031	113100310																																																							
11310032	113100320	113100321																																																						
15410030	154100300																																																							
15410031	154100310																																																							
15410032	154100320	154100321																																																						
10310040	103100400																																																							
10310041	103100410																																																							
10310042	103100420	103100421																																																						
15310040	153100400																																																							
15310041	153100410																																																							
15310042	153100420	153100421																																																						
15510030	155100300																																																							
15510031	155100310																																																							
15510032	155100320	155100321																																																						
10510040	105100400																																																							
10510041	105100410																																																							
10510042	105100420	105100421																																																						
15610030	156100300																																																							
15610031	156100310																																																							
15610032	156100320	156100321																																																						
10710040	107100400																																																							
10710041	107100410																																																							
10710042	107100420	107100421																																																						
15710030	157100300																																																							
15710031	157100310																																																							
15710032	157100320	157100321																																																						
10410040	104100400																																																							
10410041	104100410																																																							
10410042	104100420	104100421																																																						
12310020	123100200																																																							
12310021	123100210																																																							
12310022	123100220	123100221																																																						
90001	900010	900011	900012	900013																																																				
90002	900020	900021	900022	900023																																																				
90003	900030	900031	900032	900033																																																				
90004	900040	900041	900042	900043	900044																																																			
90005	900050	900051	900052	900053																																																				
90006	900060	900061	900062	900063																																																				
90007	900070	900071	900072	900073																																																				
90008	900080	900081	900082	900083																																																				
90009	900090	900091																																																						
90010	900100																																																							
90011	900110																																																							
90012	900120																																																							
90013	9001300	9001301	9001302	9001303	9001304	9001305	9001306	9001307	9001308	9001309	9001310	9001311	9001312	9001313	9001314	9001315	9001316	9001317	9001318	9001319	9001320	9001321	9001322	9001323	9001324	9001325	9001326	9001327	9001328	9001329	9001330	9001331	9001332	9001333	9001334	9001335	9001336	9001337	9001338	9001339	9001340	9001341	9001342	9001343	9001344	9001345										
90014	900140	900141	900142																																																					
