Id	Name	Type	Content	Quality	Announcer	MemberCount	NeedTime	RecommendAttrib[1]	RecommendAttrib[2]	RecommendAttrib[3]	RecommendAttrib[4]	PreQuestId[1]	PreQuestId[2]	Condition[1]	Condition[2]	FinishReward	ExtraReward	FilePoolId	IsRepeatedly
4029	Eliminate the Corrupted	1	A train was ambushed by the Hetero-Creatures while traveling through a region with a high concentration of the Punishing Virus. During the ambush, a number of Corrupted managed to intrude into the train. Babylonia is requested to deploy combatants to eliminate the remaining Corrupted with Akdilek.	4	10	4	21600	1	3	4	7					8506	8540		1
4030	Structural Collapses at Construction Sites	5	Emergency: An earthquake has caused structural collapses with several casualties at construction sites in multiple conservation areas. Babylonia is requested to deploy Constructs for a rescue and reconstruction mission.	4	3	4	21600	2	3	4	5					8506	8541	30502	1
4031	Abnormal Conservation Area Investigation	2	Babylonia has detected abnormal activities in a conservation area on Earth. Unable to contact the conservation area, Babylonia has requested Constructs to investigate the situation and prepare for potential rescue and evacuation of civilians.	4	11	4	21600	2	3	4	6					8506	8542		1
4032	Negotiation Commission from the Nighter	7	A vessel carrying a batch of supplies for the Nighter has been forcibly hijacked by a group of thugs. As the vessel is far from where the Nighter is currently docked and close to Babylonia's conservation area, Babylonia is requested to deploy Constructs for assistance in negotiations to release the vessel.	4	11	4	21600	2	3	4	7					8506	8538		1
4033	Combat Medical Request	3	A battle on the defense line of a conservation area on Earth has successfully driven out the Hetero-Creatures, but the casualties were greater than expected. Medical assistance is requested for the transportation of the injured and the repair of damaged buildings.	4	7	4	21600	3	4	5	6					8506	8539		1
4034	Medical Supplies Transportation	4	A defense line on Earth is in the brink of collapse and direly needs medical supplies. The supplies are ready for transportation. Constructs are requested to provide assistance.	4	4	4	21600	3	4	5	7					8506	8540		1
4035	Medical Assistance	3	Due to the continuous shifting of quicksand, a number of Oasis bases have been destroyed, and numerous civilians have been trapped in a dangerous quicksand zone where casualties have already occurred. As the Forsaken lacks sufficient manpower to save all trapped civilians, Babylonia is requested to provide assistance in the rescue operations.	4	8	4	21600	3	4	6	7					8506	8541	80301	1
5001	>>>System Activation	1	Before Activating the Commission System—\nPlease note that this system, developed by Babylonia, will automatically issue missions that do not require a commandant's support to Constructs.\n>>>Please accept this commission to activate the system.	1	1	1	2	1								8501	8512	5001	0
5002	Help Me Reclassify Documents	7	Mr. Asimov told me to "find a person or two who understand what confidentiality is to help reclassify the documents about the special materials from the last experiment." It's certain that Mr. Asimov has remembered all the important data, but... but the normally confidential things should still be properly archived, right?\nMr. Asimov, am... am I doing this correctly?	2	6	2	18000	7				5001				8503	8524	5002	0
5003	Artworks Reclassification	7	While the artworks from Earth have been piling up in the WGAA's warehouse, most of our manpower is still concentrated on exploring new ruins on Earth.\nPlease send assistants used to handling confidential materials to help reclassify our artworks. After all, no one can guarantee that they don't hold any other secrets.\n—Allen	2	5	2	18000	7				5001		31001	31101	8503	8524	5003	0
5004	Please Bring Our Captain Back	5	...Always the first one arriving on the scene when it comes to repairing engines or demolishing abandoned buildings...\nPlease bring her back from the engine repair site and check on the broken engine. If we let her do it on her own... I don't want to see an explosion and become a piece of space debris with her.\n—Teddy	3	3	3	21600	5				5001		31002	31102	8505	8536		0
5005	Hey, Care to Lend a Hand?	4	This shipment of supplies needs to be delivered to the Forsaken, but the Supply Force is stretched, and the Forsaken does not have the people to collect it.\nWatanabe seems embarrassed to ask for Babylonia's help. That said, how can we turn away when what is left of humanity is in need of help?\nLet me issue this commission, and to the commandant willing to accept this, I really appreciate it.\n—Bridget	3	4	3	21600	4				5001		31002	31103	8505	8536		0
