Id	Desc	Trigger	EffectType	SourceType[0]	SourceCount[0]	SourceType[1]	SourceCount[1]	SourceType[2]	SourceCount[2]	SourceType[3]	SourceCount[3]	TargetType[0]	TargetCount[0]	TargetType[1]	TargetCount[1]	TargetType[2]	TargetCount[2]	TargetType[3]	TargetCount[3]	Args[0]	Args[1]	Args[2]	Args[3]	Args[4]	Args[5]	Args[6]	Args[7]
203012	Survivor x3	0	4002																	3	60	60	60				
203031	Medicine x100, Food x100	0	4001																	3	100	4	100				
203041	Food x50, Medicine x50, Wood x300, Iron x300	0	4001																	1	300	2	300	3	50	4	50
203051	Food x50, Medicine x50, Iron x200, Wood x200	0	4001																	1	200	2	200	3	50	4	50
203080	Weather ending phase changes	0	5001																	30002							
203081	Iron x180, Wood x180	0	4001																	1	180	2	180				
203082	Spirit +20	0	1002																	0	0	20					
203085	Survivor x5	0	4002																	5	60	60	60				
203091	Weather phase 2 changes	0	5001																	30003							
203092	Survivor x5	0	4002																	5	60	60	90				
203093	Stage 4 Abandoned School Option 1: Triggers the subsequent event	0	1012																	20350	1	1					
20310	Outpost: Unlock the subsequent event	0	1009																	20313							
20311	The Drug Store stops working for 1 day	0	3003																	201	2	1					
20312	The Supply Depot stops working for 1 day	0	3003																	202	2	1					
20313	A random Drug Store stops working for 1 day	0	3003																	201	1	1					
20314	A random Supply Depot stops working for 1 day	0	3003																	202	1	1					
20315	Outpost Event: Medicine x5, Food x5	0	1001									3	5	4	5												
20322	The Drug Store stops working for 1 day	0	3003																	201	2	1					
20324	The Supply Depot stops working for 1 day	0	3003																	202	2	1					
20326	The Drug Store stops working for 2 days	0	3003																	201	2	2					
20328	The Supply Depot stops working for 2 days	0	3003																	202	2	2					
20330	Spirit -10	0	1002																	0	0	-10					
20332	Spirit -15	0	1002																	0	0	-15					
20334	A random Drug Store stops working for 1 day	0	3003																	201	1	1					
20336	A random Supply Depot stops working for 1 day	0	3003																	202	1	1					
20338	Obtained: Survivor x10	0	1005																	10	80	80	80				
20351	Survivor x7	0	1005																	7	50	50	40				
20401	Stage 4 Initialization: Serum x35	1	1001									3	25														
20402	Stage 4 Initialization: Food x35	1	1001									4	25														
20403	Stage 4 Initialization: 2 Members, 100 Stat Points	1	1005																	2	90	90	40				
20404	Stage 4 Initialization: Own Shelter x1	1	1007																	20405	1	1					
20405	Stage 4 Initialization: Own Not-So-Small Ruins x1	1	1007																	20403	1	1					
20406	Stage 4 Initialization: Wood x80	1	1001									1	80														
20407	Stage 4 Initialization: Iron x80	1	1001									2	80														
20408	Stage 4 Initialization: Own Not-So-Big Ruins x1	1	1007																	20404	1	1					
20410	Not-So-Small Ruins: Produce Wood x200 and Iron x200 per turn when working properly	2	2001									1	200	2	200												
20411	Not-So-Small Ruins: Convert the building into a vacant area after 1 turn when working properly	2	2004																	1							
20412	Not-So-Big Ruins: Produce Wood x350 and Iron x350 per turn when working properly	2	2001									1	350	2	350												
20413	Not-So-Big Ruins: Convert the building into a vacant area after 1 turn when working properly	2	2004																	1							
20414	Survivor x3	0	1005																	3	60	60	60				
20415	Medicine x10, Food x10	0	1001									3	10	4	10												
20416	Survivor x5	0	1005																	5	60	60	60				
20417	Weather phase 2 changes	0	5001																	40002							
20418	Weather ending phase changes	0	5001																	40003							
20419	Outpost: Unlock the subsequent event	0	1009																	20419							
20420	Comms Device: Unlock the subsequent event	0	1009																	20421							
20432	Sunny Day Event: Medicine x10, Food x10	0	1001									3	10	4	10												
20434	Smoggy Day Event: Health -8, Satiety -8	0	1002																	-8	-8	0					
204031	Medicine x50, Food x50	0	4001																	3	50	4	50				
204081	Wood x1000, Iron x1000	0	4001																	1	1000	2	1000				
20501	Stage 5 Initialization 1: Residence x1	1	1007																	206	1	1					
20502	Stage 5 Initialization 2: Medicine x50, Food x50	1	1001									3	50	4	50												
20503	Stage 5 Initialization 3: 12 Members, 100 Stat Points	1	1005																	12	100	100	100				
20504	Stage 5 Initialization 4: Small Ruins x2	1	1007																	203	2	1					
20505	Stage 5 Initialization 5: Medium Ruins x1	1	1007																	204	1	1					
2050114	Stage 5 Main City: Obtained: Food x5	0	1001									4	5														
2050118	Stage 5 Main City: Medicine x10, Food x10	0	1001									3	10	4	10												
2050203	Stage 5 Exploration: Obtained: Islander x3, 80 Stat Points	0	4002																	3	80	80	80				
2050204	Stage 5 Exploration: Obtained: Medicine x50, Food x50, Wood x180, Iron x180	0	4001																	1	180	2	180	3	50	4	50
2050207	Stage 5 Exploration: Obtained: Medicine x60, Food x60	0	4001																	3	60	4	60				
2050305	Stage 5 Exploration: Obtained: Wood x100, Iron x100, Medicine x10, Food x10	0	4001																	1	100	2	100	3	10	4	10
2050307	Stage 5 Exploration: Obtained: Wood x100, Iron x100, Medicine x20, Food x20	0	4001																	1	100	2	100	3	20	4	20
2050309	Stage 5 Exploration: Obtained: Wood x100, Iron x100, Medicine x30, Food x30	0	4001																	1	100	2	100	3	30	4	30
2050405	Stage 5 Exploration: Obtained: Medicine x10, Food x10	0	4001																	3	10	4	10				
2050411	Stage 5 Main City: Obtained: Medicine x30, Food x30	0	1001									3	30	4	30												
2050413	Stage 5 Main City: Medicine -5, Food -5	0	1001	3	5	4	5																				
2050415	Stage 5 Main City: Health -10	0	1002																	-10	0	0					
2050501	Stage 5 Exploration: Obtained: Medicine x25, Food x25	0	4001																	3	25	4	25				
2050601	Stage 5 Exploration: Obtained: Medicine x85, Food x85	0	4001																	3	85	4	85				
2050602	Stage 5 Exploration: Obtained: Islander x5, 80 Stat Points	0	4002																	5	80	80	80				
2050705	Stage 5 Exploration: Obtained: Medicine x20, Food x20	0	4001																	3	20	4	20				
2050711	Stage 5 Main City: Obtained: Medicine x10	0	1001									3	10														
2050903	Stage 5 Exploration: Obtained: Medicine x50, Food x50	0	4001																	3	50	4	50				
2051005	Stage 5 Exploration: Obtained: Medicine x10, Food x10	0	4001																	3	10	4	10				
2051105	Stage 5 Exploration: Obtained: Medicine x10, Food x10	0	4001																	3	10	4	10				
2051111	Stage 5 Exploration: Obtained: Food x5	0	1001									4	5														
2051113	Stage 5 Main City: Spirit -10	0	1002																	0	0	-10					
2051115	Stage 5 Main City: Health -10	0	1002																	-10	0	0					
2051204	Stage 5 Exploration: Obtained: Medicine x20, Food x20	0	4001																	3	20	4	20				
2051206	Stage 5 Exploration: Obtained: Medicine x5, Food x5	0	4001																	3	5	4	5				
2051303	Stage 5 Exploration: Obtained: Medicine x10, Food x10	0	4001																	3	10	4	10				
2051404	Stage 5 Exploration: Obtained: Medicine x30, Food x30	0	4001																	3	30	4	30				
2051406	Stage 5 Exploration: Obtained: Medicine x30, Food x30	0	4001																	3	30	4	30				
2051504	Stage 5 Exploration: Obtained: Medicine x10, Food x10	0	4001																	3	10	4	10				
2051617	Stage 5 Main City: Obtained: Medicine x10, Food x10	0	1001									3	10	4	10												
2051619	Stage 5 Main City: Spirit -5	0	1002																	0	0	-5					
2051621	Stage 5 Main City: Health -5	0	1002																	-5	0	0					
2051912	Stage 5 Ending Event C: Main City Obtained: Survivor x1, 100 Stat Points	0	1005																	1	100	100	100				
2052005	Stage 5 Red Tide Event 1: Main City: Medicine -5	0	1001	3	5	4	5																				
2052008	Stage 5 Red Tide Event 2: Main City: Residents -1	0	1013																	1	1						
2052010	Stage 5 Rainbow Event 1: Main City: Spirit +20	0	1002																	0	0	20					
2050600	Stage 5 Weather Phase 2: To Blizzard [Event 6]	0	5001																	50021							
2051000	Stage 5 Weather Phase 3: Blizzard + Red Tide [Event 10]	0	5001																	50031	50032	50033	50034				
2051700	Stage 5 Weather Phase 4: Rainbow [Event 17]	0	5001																	50041	50042	50043					
2052012	Stage 5 Weather Phase 5: Triggers Sunny weather	0	5001																	50051							
2051701	Triggers a Sunny Day Event on day 5 after Stage 5 [Event 17] takes place	0	1012																	2052011	1	5					
205041	Unlock Location 4: Complete the exploration event of Location 6	0	1008																	20504							
205071	Unlock Location 7: Complete the exploration event of Location 10	0	1008																	20507							
205111	Unlock Location 11: Complete the exploration event of Location 15	0	1008																	20511							
205161	Unlock Location 16: Complete the exploration event of Location 17	0	1008																	20516							
20601	Stage 6 Initialization: Wood x500	1	1001									1	280														
20602	Stage 6 Initialization: Iron x500	1	1001									2	280														
20603	Stage 6 Initialization: Serum x60	1	1001									3	50														
20604	Stage 6 Initialization: Food x60	1	1001									4	50														
20605	"Stage 6 Initialization: 15 Members, 80, 80, 100 Stat Points"	1	1005																	15	80	80	100				
20606	Stage 6 Initialization: Own Small Ruins x1	1	1007																	203	1	1					
20607	Stage 6 Initialization: Own Medium Ruins x2	1	1007																	204	2	1					
20608	Stage 6 Initialization: Own Big Ruins x2	1	1007																	205	2	1					
206030	Stage 6 Day 6 - 10 Weather	0	5001																	602							
206050	Stage 6 Day 11 - 15 Weather	0	5001																	603							
206070	Stage 6 Day 15 - 20 Weather	0	5001																	604							
206090	Stage 6 [Map Update] Event Outcome: Unlocks [Abandoned Industrial Park]	0	1008																	20627							
20615	Obtained: 5 Refugees with 90 Stat Points	0	1005																	10	90	90	80				
20616	Obtained: Medicine x25, Food x25, Wood x120, Iron x120	0	1001									3	50	4	50	1	120	2	120								
20617	Obtained: 5 Refugees with 80 Stat Points	0	1005																	5	80	80	80				
20618	Obtained: Medicine x40, Food x40, Wood x100, Iron x100	0	1001									3	40	4	40	1	100	2	100								
20619	Obtained: 5 Refugees with 60 Stat Points	0	1005																	5	60	60	80				
20620	Obtained: Medicine x50, Food x50	0	1001									3	50	4	50												
20621	Obtained: 4 Refugees with 80 Stat Points	0	1005																	4	80	80	80				
20622	Obtained: Medicine x120, Food x120	0	1001									3	120	4	120												
2060101	Obtained: Iron x120, Wood x120, Food x10, Medicine x10	0	4001																	1	120	2	120	3	10	4	10
2060102	Obtained: Survivor x3	0	4002																	3	80	80	80				
2060201	Obtained: Iron x100, Wood x100	0	4001																	1	100	2	100				
2060301	Obtained: Iron x200, Wood x200	0	4001																	1	200	2	200				
2060302	Obtained: Survivor x4	0	4002																	4	80	80	80				
2060401	Unlocked: Location 11	0	1008																	20611							
2060612	Medicine x50, Food x50	0	4001																	3	50	4	50				
2060813	Unlocked: Signal Station	0	1008																	20609							
2061311	Unlocked: Location 5	0	1008																	20605							
2061312	Weather Change: Red Tide	0	5001																	607							
2061401	Medicine x50, Food x50	0	4001																	3	50	4	50				
2061501	Obtained: Wood x100, Iron x100, Medicine x30, Food x30	0	4001																	1	100	2	100	3	30	4	30
2061502	Obtained: Medicine x10, Food x10, Wood x50, Iron x50	0	4001																	1	50	2	50	3	10	4	10
2061601	Obtained: Medicine x20, Food x20	0	4001																	3	20	4	20				
2061602	Unlocked: Location 3	0	1008																	20603							
2061701	Obtained: Medicine x25	0	4001																	3	50						
2061801	Wood x200, Iron x200, Medicine x40, Food x40	0	4001																	1	200	2	200	3	40	4	40
2061901	Obtained: Medicine x30, Food x30	0	4001																	3	30	4	30				
2062001	Obtained: Medicine x30, Food x30	0	4001																	3	30	4	30				
2062101	Obtained: Iron x200, Wood x200, Medicine x60, Food x60	0	4001																	1	200	2	200	3	60	4	60
2062201	Obtained: Medicine x40, Food x40	0	4001																	3	40	4	40				
2062202	Unlocked: Location 19	0	1008																	20619							
2062301	Obtained: Medicine x30, Food x30	0	4001																	3	30	4	30				
2062401	Obtained: Medicine x15, Food x10	0	4001																	3	15	4	10				
2062501	Obtained: Medicine x10, Food x10	0	4001																	3	30	4	30				
2062601	Obtained: Medicine x50, Food x50	0	4001																	3	50	4	50				
2062701	Obtained: Iron x220, Wood x220	0	4001																	1	220	2	200				
2062702	Obtained: Survivor x5	0	4002																	5	80	80	80				
2062801	Obtained: Medicine x40, Food x40, Wood x150, Iron x150	0	4001																	1	150	2	150	3	40	4	40
2062802	Unlocked: Location 29	0	1008																	20629							
2062901	Obtained: Food x40, Medicine x40, Wood x100, Iron x100	0	4001																	1	100	2	100	3	40	4	40
2062902	Obtained: Survivor x2	0	4002																	2	80	80	80				
2063001	Obtained: Food x40, Medicine x40, Wood x100, Iron x100	0	4001																	1	100	2	100	3	40	4	40
2063002	Unlocked: Location 17	0	1008																	20617							
2063003	Unlocked: Location 18	0	1008																	20618							
2063004	Unlocked: Location 21	0	1008																	20621							
2063005	Obtained: Food x60, Medicine x60, Wood x100, Iron x100	0	4001																	1	100	2	100	3	60	4	60
2063006	Obtained: Survivor x2	0	4002																	2	80	80	80				
2061101	Trigger [Children in the Health Center] on day 2	0	1012																	20620	1	1					
2061102	Obtained: Medicine x50, Food x50	0	4001																	3	50	4	50				
