Id	NextStep	Mask	ConditionType	ConditionParam	CompleteType	CompleteParam	Effect	Arrow	UiName	IsFlow[1]	ListIndex[1]	FlowParam[1]	Target[1]	IsFlow[2]	ListIndex[2]	FlowParam[2]	Target[2]	IsFlow[3]	ListIndex[3]	FlowParam[3]	Target[3]	IsFlow[4]	ListIndex[4]	FlowParam[4]	Target[4]	RewardId	Record	IconPos	Icon	Name	Text	
260101	260102	1	1	UiMain	1	UiMission			UiMain	0			BtnDispatch	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Hello, anybody home? You have a new Dispatch mission.	
260102		1	3	260101	0				UiMission	0				0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Send members on Dispatch missions to earn rewards.	
270101	270102	1	1	UiMain	5	SViewCharacterList			UiMain	0			BtnConstructor	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Oh, I almost forgot! You can change the coating on your Constructs.	
270102	270103	1	3	270101	0				UiCharacter	1	1021001	Id	SViewCharacterList	0			BtnCharacter										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
270103	270104	1	3	270102	1	UiFashion			UiCharacter	0			BtnFashion	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
270104		1	3	270103	0				UiFashion	0				0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	You can find coatings that you own here.	
1010101	1010102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Hard mode drops lots of [Weapons] and [Consciousness]. It's a good way to obtain and improve your equipment.	Hard mode drops lots of [Weapons] and [Memory]. It's a good way to obtain and improve your equipment.
1010102	1010103	1	3	1010101	1	UiFubenMainLineBanner			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1010103	1010104	1	6	PanelChapterList	1	UiFubenMainLineChapter			UiFubenMainLineBanner	1	1001	Id	PanelChapterList	0			@										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1010104	1010105	1	3	1010103	0				UiFubenMainLineChapter	0			BtnNormal	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1010105	1010106	1	3	1010104	5				UiFubenMainLineChapter	0			BtnHard	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Choose Hard Mode.	
1010106	1010107	1	3	1010105	1	UiFubenMainLineDetail			UiFubenMainLineChapter	0			11010101	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1010107	1010108	1	3	1010106	1	UiNewRoomSingle			UiFubenMainLineDetail	0			BtnEnter	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1010108		1	3	1010107	0				UiNewRoomSingle	0			BtnEnterFight	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1020101	1020102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Get Construct Shards to activate [Evolve].	
1020102	1020103	1	3	1020101	5	SViewCharacterList			UiMain	0			BtnConstructor	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1020103	1020104	1	3	1020102	0				UiCharacter	1	1021001	Id	SViewCharacterList	0			BtnCharacter										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1020104	1020105	1	3	1020103	0				UiCharacter	0			BtnLevelUp	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1020105	1020106	1	3	1020104	0				UiCharacter	0			TogQuality	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1020106	1020107	1	3	1020105	0				UiCharacter	0			BtnActive	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Tap [Activate].	
1020107		1	3	1020106	0				UiCharacter	0			BtnMainUi	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1020201	1020202	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	We are now ready for battle.	
1020202	1020203	1	3	1020201	1	UiFubenMainLineBanner			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1020203	1020204	1	6	PanelChapterList	1	UiFubenMainLineChapter			UiFubenMainLineBanner	1	1001	Id	PanelChapterList	0			@										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1020204	1020205	1	3	1020203	0				UiFubenMainLineChapter	0			BtnNormal	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1020205	1020206	1	3	1020204	5				UiFubenMainLineChapter	0			BtnHard	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1020206	1020207	1	3	1020205	1	UiFubenMainLineDetail			UiFubenMainLineChapter	0			11010101	0			0										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1020207	1020208	1	3	1020206	1	UiAutoFightDialog			UiFubenMainLineDetail	0			BtnAutoFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	You can use your record from the previous battle to simulate results in Auto Clear.	
1020208		1	3	1020207	0				UiAutoFightDialog	0			BtnStart	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	This feature becomes available once you have cleared a stage, reducing your workload.	
1030101	1030102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Let's recycle some resources!	
1030102	1030103	1	3	1030101	1	UiFuben			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1030103	1030104	1	3	1030102	1	UiFubenDailyBanner			UiFuben	0			TogDaily	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Switch to the Daily tab.	
1030104	1030105	1	6	PanelChapterList	1	UiFubenCoinSkill			UiFubenDailyBanner	1	4		PanelChapterList	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1030105		1	3	1030104	0				UiFubenCoinSkill	0			PanelTab2	0													0	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	As you level up, so will your Challenges, as well as the rewards.	
1070101	1070102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Bounty Missions are now available!	
1070102	1070103	1	3	1070101	1	UiTask			UiMain	0			SafeAreaContentPane/BgView/Background/BtnLegion	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1070103		1	3	1070102	1	UiMoneyReward			UiTask	0			BtnMoneyReward	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	You can see Bounty Missions here.	
1090101	1090102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Let's go to the Cog collection battlefield.	
1090102	1090103	1	3	1090101	1	UiFuben			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1090103	1090104	1	3	1090102	1	UiFubenDailyBanner			UiFuben	0			TogDaily	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Switch to the Daily tab.	
1090104	1090105	1	6	PanelChapterList	1	UiFubenCoinSkill			UiFubenDailyBanner	1	4		PanelChapterList	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1090105		1	3	1090104	0				UiFubenCoinSkill	0			PanelTab1	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	As you level up, so will your Challenges, as well as the rewards.	
340101	340102	1	1	UiMain	1	UiCharacter			UiMain	0			BtnConstructor	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
340102		1	3	340101	0				UiCharacter	0			BtnOwnedDetail	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	View Construct details here.	
450101	450102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Continue the operation.	
450102	450103	1	3	450101	1	UiFubenMainLineBanner			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
450103	450104	1	6	PanelChapterList	1	UiFubenMainLineChapter			UiFubenMainLineBanner	1	1001	Id	PanelChapterList	0			@										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
450104	450105	1	3	450103	0				UiFubenMainLineChapter	0			BtnNormal	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
450105	450106	1	3	450104	0				UiFubenMainLineChapter	0			BtnNightmare	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Choose Stronghold mode.	
450106		1	3	450105	0				UiFubenMainLineChapter	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Complete Stronghold battles to increase [Dispatch Income].	
2430101	2430102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Phantom Pain Cage is now available. Are you ready?	
2430102	2430103	1	3	2430101	1	UiFuben			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
2430103	2430104	1	3	2430102	1	UiFubenChallengeBanner			UiFuben	0			TogChallenge	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Switch to the Challenge tab.	
2430104	2430105	1	6	PanelChapterList	1	UiFubenChallengeMapBossSingle			UiFubenChallengeBanner	1	3		PanelChapterList	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
2430105		1	3	2430104	0				UiFubenChallengeMapBossSingle	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Defeat the boss to get [Currency] that can be exchanged for resources.	
1050101	1050102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	We are now ready for battle.	
1050102	1050103	1	3	1050101	1	UiFubenMainLineBanner			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1050103	1050104	1	3	1050102	0				UiFubenMainLineBanner	0			TogTabDz	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1050104	1050105	1	6		1	UiPrequel			UiFubenMainLineBanner	1	1001	CoverId	FullScreenBackground/MainLineChapter3d/PanelChapterDz/PanelChapterDz	0			@										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1050105		1	3	1050104	0				UiPrequel	0				0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Check it out if you want to know more about Constructs.	
1060101	1060102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	We are now ready for battle.	
1060102	1060103	1	3	1060101	1	UiFubenMainLineBanner			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1060103	1060104	1	3	1060102	0				UiFubenMainLineBanner	0			TogTabDz	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1060104	1060105	1	6		1	UiPrequel			UiFubenMainLineBanner	1	1001	CoverId	FullScreenBackground/MainLineChapter3d/PanelChapterDz/PanelChapterDz	0			@										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1060105	1060106	1	3	1060104	0				UiPrequel	0			BtnSwitch2Fight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1060106		1	3	1060105	0				UiPrequel	0				0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Challenges have a chance to drop Construct Shards.	
1040101	1040102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Memory Rescue is now available.	
1040102	1040103	1	3	1040101	1	UiFuben			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1040103	1040104	1	3	1040102	1	UiFubenChallengeBanner			UiFuben	0			TogChallenge	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Switch to the Challenge tab.	
1040104	1040105	1	6	PanelChapterList	1	UiTrial			UiFubenChallengeBanner	1	1		PanelChapterList	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1040105		1	3	1040104	0				UiTrial	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Complete quests and earn [Equipment].	
2370101	2370102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Go to the War Zone now!	
2370102	2370103	1	3	2370101	1	UiFuben			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
2370103	2370104	1	3	2370102	1	UiFubenChallengeBanner			UiFuben	0			TogChallenge	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Switch to the Challenge tab.	
2370104	2370105	1	6	PanelChapterList	1	UiArena			UiFubenChallengeBanner	1	2		PanelChapterList	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
2370105		1	3	2370104	0				UiArena	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Complete Challenges to get [Black Cards].	
150201	150202	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Let's equip the gear that you just obtained.	
150202	150203	1	3	150201	5	SViewCharacterList			UiMain	0			BtnConstructor	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
150203	150204	1	3	150202	0				UiCharacter	1	1021001	Id	SViewCharacterList	0			BtnCharacter										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
150204	150205	1	3	150203	1	UiEquipReplaceNew			UiCharacter	0			BtnWeaponReplace	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
150205	150206	1	6		0				UiEquipReplaceNew	1	2023001		PanelEquipScroll	0			@										0	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
150206	150207	1	3	150205	0				UiEquipReplaceNew	0			BtnTakeOn	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
150207		1	3	150206	0				UiEquipReplaceNew	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	[EXP] spent on the previous equipment is fully-refunded when you change equipment.	
1100101	1100102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Go to [Overclock].	
1100102	1100103	1	3	1100101	1	UiFuben			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1100103	1100104	1	3	1100102	1	UiFubenDailyBanner			UiFuben	0			TogDaily	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Switch to the Daily tab.	
1100104	1100105	1	6	PanelChapterList	1	UiFubenChallengeMap			UiFubenDailyBanner	1	2		PanelChapterList	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1100105		1	3	1100104	0				UiFubenChallengeMap	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Overclock resets equipment level, but greatly increases their attribute growth.	
1080101	1080102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Go to [Operation EXEM].	
1080102	1080103	1	3	1080101	1	UiFuben			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1080103	1080104	1	3	1080102	1	UiFubenDailyBanner			UiFuben	0			TogDaily	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Switch to the Daily tab.	
1080104	1080105	1	6	PanelChapterList	1	UiFubenChallengeMap			UiFubenDailyBanner	1	3		PanelChapterList	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
1080105		1	3	1080104	0				UiFubenChallengeMap	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	There is a chance to get [High-Rank Equipment] from Challenges.	
