Id	PhysicsStartTime	StartTime	Lifetime	Speed	TargetType	HitCount	RepeatDamage	DamageInterval	DamageCount	HinderType	HinderCount	RepeatHinder	HinderInterval	HinderDead	DeadExplosion	IsCloseToGround	GroundDistance	TrajectoryType	TrajectoryParams[1]	TrajectoryParams[2]	TrajectoryParams[3]	TrajectoryParams[4]	TrajectoryParams[5]	TrajectoryParams[6]	TrajectoryParams[7]	TrajectoryParams[8]	Magics[1]	Magics[2]	Magics[3]	Magics[4]	Magics[5]	Magics[6]	Magics2Launcher[1]	Magics2Launcher[2]	Magics2Launcher[3]	Magics2Launcher[4]	Magics2Launcher[5]	Magics2Launcher[6]	Magics2Launcher[7]	Magics2Part[1]	ChildDelays[1]	ChildIntervals[1]	ChildCounts[1]	Childs[1]	DeadChilds[1]	Collider	Effect	ExplosionEffect	HinderEffect	HitEffect[1]	HitEffect[2]	HitEffectUseMissileDirection	IsAlwaysShow	IsDecay	ShakeHitType	ShakeIntensityType	ShakeIntensityArgs	ShakeDuration	ShakeFrequency	ShakeDirection	RotShakeIntensityType	RotShakeDuration	RotShakeFrequency	RotShakeXIntensityArgs	RotShakeYIntensityArgs	RotShakeZIntensityArgs
10032004		0.7	2		4	-1			-1									1	0																											10032001																				
10032101			2		3	-1			-1									1	0																											10032101																				
10032102		1.5	2		3	-1			-1									1	0																											10032101																				
10032201			2		3	-1			-1									1	0																											10032201																				
10032202		1.5	2		3	-1			-1									1	0																											10032201																				
10032301			2		3	-1			-1									1	0																											10032301																				
10032302		0.2	2		4	-1			-1									1	0																											10032301																				
10032303		0.5	2		4	-1			-1									1	0																											10032301																				
10032304		0.7	2		4	-1			-1									1	0																											10032301																				
10032305		1.5	2		3	-1			-1									1	0																											10032301																				
10032306		1.7	2		4	-1			-1									1	0																											10032301																				
10032307		2	2		4	-1			-1									1	0																											10032301																				
10032308		2.2	2		4	-1			-1									1	0																											10032301																				
