Key	Type	Value
UiInfestorExploreCoreRed	string	Assets/Product/Texture/Atlas/UiInfestorExplore/UiInfestorExploreCoreRed.png
FightInfestorPanelScoreGap	float	10000
FightInfestorPlayerScoreLimit	float	10000
ArenaOnlineShowTime	int	15
GuildChatCacheCount	int	500
GuildGlobalRequestMember	int	300
DefaultGroupExhibitionImagePath	string	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon005.png
GuildBossRewardEnableIcon	string	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossXZbaoxiang02.png
GuildBossRewardDisableIcon	string	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossXZbaoxiang01.png
ActivityBriefDayBeginHour	int	5
ActivityBriefNightBeginHour	int	19
ActivityBriefAolajiangModelPath	string	Assets/Product/Role/CharaterPrefab/Mb1AolajiangMd010001UI.prefab
FightInfestorScoreRulerMinCount	int	200
GuildBossHpAnimTime	float	1
GuildBossHpEffectTime	float	0.8
CollectionHintColor	string	000000ff
SceneUnloadTime	int	10000
SceneUnloadCacheMaxCount	int	3
TeamRequireCharacterNormalImage	string	Assets/Product/Texture/Atlas/UiInfestorExplore/UiInfestorExploreEasyNor.png
TeamRequireCharacterIsomerImage	string	Assets/Product/Texture/Atlas/UiInfestorExplore/UiInfestorExploreHardNor.png
TeamRequireCharacterIsomerDebuffImage	string	Assets/Product/Texture/Atlas/UiInfestorExplore/UiInfestorExploreEasyNor.png
TeamRequireCharacterNormalDebuffImage	string	Assets/Product/Texture/Atlas/UiInfestorExplore/UiInfestorExploreHardNor.png
TeamCharacterTypeNormalLimitImage	string	Assets/Product/Texture/Atlas/UiFuben/FubenIconGouzaoti.png
TeamCharacterTypeIsomerLimitImage	string	Assets/Product/Texture/Atlas/UiFuben/FubenIconShougezhe.png
TeamCharacterTypeIsomerDebuffLimitImage	string	Assets/Product/Texture/Atlas/UiFuben/FubenIconGouzaoti.png
TeamCharacterTypeNormalDebuffLimitImage	string	Assets/Product/Texture/Atlas/UiFuben/FubenIconShougezhe.png
DormShareWaitTime	int	15
DormMaxShareCount	int	10
ExpeditionNoMember	string	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown01.png
ExpeditionDefaultStoryCover	string	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageIcon01.png
ExpeditionDefaultBattleCover	string	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageIcon02.png
WorldBossBuffLockColor	string	FF4E4Eff
WorldBossBuffUnLockColor	string	188649ff
WorldBossBuffLowColor	string	989898ff
WorldBossReportHead	int	9090007
GridWorldBossStageNewNor	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridWorldBossStageNewNor.prefab
GridWorldBossStageNewHard	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridWorldBossStageNewHard.prefab
WorldBossUnLockInfoColor	string	000000ff
WorldBossLockInfoColor	string	989898ff
RpgTowerStageBgNormal	string	Assets/Product/Texture/Image/UiRpgTower/UiRpgTowerStageBg00.png
RpgTowerStageBgSelect	string	Assets/Product/Texture/Image/UiRpgTower/UiRpgTowerStageBg01.png
RpgTowerStageIconNormal	string	Assets/Product/Texture/Image/UiRpgTower/UiRpgTowerEasy.png
RpgTowerStageIconHard	string	Assets/Product/Texture/Image/UiRpgTower/UiRpgTowerNormal.png
RpgTowerStageIconChallenge	string	Assets/Product/Texture/Image/UiRpgTower/UiRpgTowerHard.png
UiRpgTowerEasy	string	Assets/Product/Texture/Image/UiRpgTower/UiRpgTowerEasy.png
UiRpgTowerEasySelect	string	Assets/Product/Texture/Image/UiRpgTower/UiRpgTowerEasySelect.png
UiRpgTowerEasyDisable	string	Assets/Product/Texture/Image/UiRpgTower/UiRpgTowerEasyDisable.png
UiRpgTowerNormal	string	Assets/Product/Texture/Image/UiRpgTower/UiRpgTowerNormal.png
UiRpgTowerNormalSelect	string	Assets/Product/Texture/Image/UiRpgTower/UiRpgTowerNormalSelect.png
UiRpgTowerNormalDisable	string	Assets/Product/Texture/Image/UiRpgTower/UiRpgTowerNormalDisable.png
UiRpgTowerHard	string	Assets/Product/Texture/Image/UiRpgTower/UiRpgTowerHard.png
UiRpgTowerHardSelect	string	Assets/Product/Texture/Image/UiRpgTower/UiRpgTowerHardSelect.png
UiRpgTowerHardDisable	string	Assets/Product/Texture/Image/UiRpgTower/UiRpgTowerHardDisable.png
CollectionScoreTextSize1	int	36
CollectionScoreTextSize2	int	36
CollectionScoreTextSize3	int	36
CollectionScoreTextSize4	int	30
CollectionScoreTextSize5	int	25
RogueLikeTrialPointAnimaTime	float	2.2
MaintainerActionIconInTaskUI	string	Assets/Product/Texture/Atlas/UiTask/TaskBtn3.png
TRPGNotPreTargetId	int	0
NieRFubenBannerBg	string	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner06.png
TRPGFirstOpenFunctionGroupId	int	11000
TRPGChapterId	int	1013
TRPGTruthRoadStageMaxCount	int	30
UserAgreementUrl	string	https://pgr.kurogame.net/p/terms_of_service.html
PrivacyPolicyUrl	string	https://pgr.kurogame.net/p/privacy_policy.html
ChildArgUrl	string	https://pns.kurogame.com/p/child_privacy
CollectionWallDefaultIcon	string	Assets/Product/Texture/Image/UiCollectionWall/UiCollectionWallBg.png
TRPGNotTargetDefaultRoleIcon	string	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png
TRPGTaskPanelNewShowTime	float	15
TRPGPanelTaskEnableTime	float	3
TRPGPanelTaskDisableTime	float	0.1
NieREasterEggBulletChatDelayTime	float	2
NieREasterEggBulletChatShowTime	float	0.5
PokemonAllCareerIcon	string	Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIconAll.png
ChessPursuitBuffStartEffect	string	Assets/Product/Effect/Prefab/FxTongyong/FxQRPursuitBuffStart.prefab
ChessPursuitBuffStartEffectTime	float	1.1
ChessPursuitStartStoryId	string	KD00102BA
LoginUidShowLongClickOffset	int	5000
ChessPursuitArrowEffect	string	Assets/Product/Effect/Prefab/FxTongyong/FxQRPursuitJiantou.prefab
ChessPursuitUseCardEffect	string	Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiHuanRen.prefab
FingerGuessingLoseIcon2	string	Assets/Product/Texture/Atlas/UiFingerGuessing/UiFingerGuessingImg10.png
FingerGuessingLoseIcon0	string	Assets/Product/Texture/Atlas/UiFingerGuessing/UiFingerGuessingImg11.png
FingerGuessingLoseIcon1	string	Assets/Product/Texture/Atlas/UiFingerGuessing/UiFingerGuessingImg12.png
ShieldedProtocol	string	The function has been masked
StrongholdElectricIcon	string	Assets/Product/Texture/Image/IconToolsSp/IconStronghold004Sp.png
PurchaseLJCZDefaultLookState	int	2
MoeWarSceneAnimationPlayEndAnimDistance	float	95
MoeWarSceneAnimationGoalDistance	float	96
MoeWarSceneAnimationRestoreDistance	float	97
MoeWarPreparaHeadMoveAnimaTime	float	2.2
MoeWarSceneAnimationSlowdownPercent	int	20
MoeWarSceneAnimationTotalTime	int	4
PartnerBreakThrough0	string	Assets/Product/Texture/Atlas/UIEquipNew/PartnerBreakBig0.png
PartnerBreakThrough1	string	Assets/Product/Texture/Atlas/UIEquipNew/PartnerBreakBig1.png
PartnerBreakThrough2	string	Assets/Product/Texture/Atlas/UIEquipNew/PartnerBreakBig2.png
PartnerBreakThrough3	string	Assets/Product/Texture/Atlas/UIEquipNew/PartnerBreakBig3.png
MowWarSceneAnimationFxGoalEffectPath	string	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxRunWayGoal.prefab
MowWarSceneAnimationFxVictoryEffectPath	string	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxRunWayVictory.prefab
MoeWarPlayerScreenRecordSize	int	50
MoeWarPlayerScreenRecordShowNumber	int	2
MoeWarPlayerScreenRecordAnimationCD	int	10
TopWaterMarkStatus	int	1
SuperWaterMarkStatus	int	1
MoeWarRecruitAnimaContentShowTime	int	2000
NameplatePanelPath	string	Assets/Product/Ui/ComponentPrefab/UiNameplate/PanelNameplate.prefab
RpgMakerGameRandomDialogBoxIntervalSecond	float	5
RpgMakerGameRoleUnLockHeadPath	string	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameRole02.png
RpgMakerGameLoadingDelayClose	int	2000
RpgMakerGamePlayBeAtkEffectDelayCallbackTime	int	500
MovieReviewHighlightColor	string	ff8f75ff
RpgMakerPlayScreenUiCameraEffect	string	Assets/Product/Effect/Prefab/FxUi/FxUiPuzzle/FxUiPuzzleBackspace.prefab
RpgMakerPlayScreenPlayUiCameraEffectTime	int	700
SocialBlackAnimationContentShowTime	float	0.5
SocialHintDisableTime	int	2000
RpgMakeGameMoveSpeed	int	4
StageNormalIcon	string	Assets/Product/Texture/Image/IconType/IconTypeNormal.png
StageHardIcon	string	Assets/Product/Texture/Image/IconType/IconTypeHard.png
StageFortress	string	Assets/Product/Texture/Image/IconType/IconTypeFortress.png
StageResourceIcon	string	Assets/Product/Texture/Image/IconType/IconTypesingle.png
StageDailyIcon	string	Assets/Product/Texture/Image/IconType/IconTypesingle.png
SuperTowerItemQuality1	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerGreen.png
SuperTowerItemQuality2	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerBlue.png
SuperTowerItemQuality3	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerPurple.png
SuperTowerItemQuality4	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerGold.png
SuperTowerItemQuality5	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerRed.png
SuperTowerItemQualityBg1	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerGreenBg.png
SuperTowerItemQualityBg2	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerBlueBg.png
SuperTowerItemQualityBg3	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerPurpleBg.png
SuperTowerItemQualityBg4	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerGoldBg.png
SuperTowerItemQualityBg5	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerRedBg.png
SuperTowerTierSettleAnimeTime	float	2
SuperTowerThemeIndexLogo1	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerIconLogo1.png
SuperTowerThemeIndexLogo2	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerIconLogo2.png
SuperTowerThemeIndexLogo3	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerIconLogo3.png
SuperTowerThemeIndexLogo4	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerIconLogo4.png
SuperTowerThemeIndexLogo5	string	Assets/Product/Texture/Atlas/UiSuperTower/UiSuperTowerIconLogo5.png
LongPressPerLevelUp	int	8
RpgMakerGamePlayMainDownHintStayTime	int	5
RpgMakerGamePlayMainShowObjectTipsStayTime	int	5
PassportSingleAnimaTime	float	1
CalendarTimeId	int	510
WeiLaStoryFace	string	Assets/Product/Role/StoryFace/R3WeilaMd010011FaceStoryVC.asset
RpgMakerGameMapTipMoveSpeed	int	5
RpgMakerGameDieByTrapTime	int	1000
RpgMakerGameMoveRoleAngleOffset	int	-30
SmashBrosPickPrefabLine	string	Assets/Product/Ui/ComponentPrefab/UiSuperSmashBros/GridSuperSmashBrosPick1v1.prefab
SmashBrosPickPrefabNormal	string	Assets/Product/Ui/ComponentPrefab/UiSuperSmashBros/GridSuperSmashBrosPickNormal.prefab
SmashBrosReadyPrefabLine	string	Assets/Product/Ui/ComponentPrefab/UiSuperSmashBros/GridSuperSmashBrosReady1v1.prefab
SmashBrosReadyPrefabNormal	string	Assets/Product/Ui/ComponentPrefab/UiSuperSmashBros/GridSuperSmashBrosReadyNormal.prefab
SmashBrosCharaHeadRandom	string	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosRandomHead.png
LivWarmSoundsActivityProgressSpeed	int	100
LivWarmRaceLastStageNotOpenModelEffectPath	string	Assets/Product/Effect/Prefab/FxTongyong/FxTongyongShihua.prefab
LivExtBtnInterval	int	60000
UiLoginMovieId	int	0
AreaWarToChallengeActionPoint	int	10
AreaWarCanBuyCoin	int	1000
AreaWarBlock3DGridHeightMin	float	-2.5
AreaWarBlock3DGridHeightMax	float	0.55
AreaWarBlock3DGridAnimTime	float	0.5
MainLine3DId	int	1017
FxBase	string	Assets/Product/EffectEx/Prefab/FxBase/FxBase.prefab
FxBaseColorSpace	string	Assets/Product/EffectEx/Prefab/FxBase/FxBaseColorSpace.prefab
FxBaseVertexStream	string	Assets/Product/EffectEx/Prefab/FxBase/FxBaseVertexStream.prefab
FxBaseColorAndVertex	string	Assets/Product/EffectEx/Prefab/FxBase/FxBaseColorAndVertex.prefab
UiVideoPlayerDisplayTime	int	3
TheatreTxtStartPath	string	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtStart.png
TheatreTxtContinuePath	string	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtStart2.png
DrawQualityEffect3	string	Assets/Product/Effect/Prefab/FxUi/FxUiDraw01/FxUiDraw01ChoukaJiguangLevel1.prefab
DrawQualityEffect4	string	Assets/Product/Effect/Prefab/FxUi/FxUiDraw01/FxUiDraw01ChoukaJiguangLevel2.prefab
DrawQualityEffect5	string	Assets/Product/Effect/Prefab/FxUi/FxUiDraw01/FxUiDraw01ChoukaJiguangLevel3.prefab
DrawQualityEffect6	string	Assets/Product/Effect/Prefab/FxUi/FxUiDraw01/FxUiDraw01ChoukaJiguangLevel4.prefab
DrawRingQualityEffect3	string	Assets/Product/Effect/Prefab/FxUi/FxUiDraw01/FxUiDraw01ChoukaRingOrdinary.prefab
DrawRingQualityEffect4	string	Assets/Product/Effect/Prefab/FxUi/FxUiDraw01/FxUiDraw01ChoukaRingPurple.prefab
DrawRingQualityEffect5	string	Assets/Product/Effect/Prefab/FxUi/FxUiDraw01/FxUiDraw01ChoukaRingOrange.prefab
DrawRingQualityEffect6	string	Assets/Product/Effect/Prefab/FxUi/FxUiDraw01/FxUiDraw01ChoukaRingRed.prefab
DrawQualityEffect0	string	Assets/Product/Effect/Prefab/FxUi/FxUiDraw01/FxUiDraw01ChoukaJiguangLevel1.prefab
DrawRingQualityEffect0	string	Assets/Product/Effect/Prefab/FxUi/FxUiDraw01/FxUiDraw01ChoukaRingOrdinary.prefab
DrawDefaultUpImg	string	Assets/Product/Texture/Image/IconTools/leijichongzhi05.png
DoomsdayBuildingIconEmpty	string	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild01.png
DoomsdayBuildingStateIconWorking	string	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayMainState02.png
DoomsdayBuildingStateIconWaiting	string	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayMainState01.png
DoomsdayBuildingStateIconBuilding	string	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayMainState05.png
DoomsdayBuildingStateIconUnderstaffed	string	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayMainState04.png
DoomsdayBuildingStateIconPending	string	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayMainState03.png
AchievementRareIconQuality1	string	Assets/Product/Texture/Atlas/UIAchievement/UIAchievementIcon07.png
AchievementRareIconQuality2	string	Assets/Product/Texture/Atlas/UIAchievement/UIAchievementIcon08.png
AchievementRareIconQuality3	string	Assets/Product/Texture/Atlas/UIAchievement/UIAchievementIcon06.png
AchievementRareIconQuality4	string	Assets/Product/Texture/Atlas/UIAchievement/UIAchievementIcon05.png
GuideShowGroup	int	1
DrawCompleteCueId	int	1
DrawMusicVolumePercent	int	50
PivotCombatTeachStageId	int	30062317
PivotCombatDynamicScoreTeachStageId	int	30062318
PracticeStageMaxCount	int	7
GridStagePracticeCharacterFight	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeCharacterFight.prefab
GridStagePracticeCharacterReward	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeCharacterReward.prefab
UiGridPracticeCharacterMoveTargetX	int	0
UiGridPracticeCharacterMoveMinX	int	-600
UiGridPracticeCharacterMoveMaxX	int	-200
RpgMakerGameExhibitItemId	int	63301
PivotCombatAbilityLimit	int	6000
AprilFoolsDayStartTime	string	2023/4/1 0:00
AprilFoolsDayEndTime	string	2023/4/2 0:00
CharSkillQualityNor	string	Assets/Product/Texture/Atlas/UiCharacter/PanelCharQlDianNor2.png
CharSkillQualitySelect	string	Assets/Product/Texture/Atlas/UiCharacter/PanelCharQlDianSlect2.png
CharSkillQualityOn	string	Assets/Product/Texture/Atlas/UiCharacter/PanelCharQlDianOn2.png
CharNormalQualityNor	string	Assets/Product/Texture/Atlas/UiCharacter/PanelCharQlDianNor.png
CharNormalQualitySelect	string	Assets/Product/Texture/Atlas/UiCharacter/PanelCharQlDianSlect.png
CharNormalQualityOn	string	Assets/Product/Texture/Atlas/UiCharacter/PanelCharQlDianOn.png
PurchaseBuyPayCD	int	1500
ExpeditionStageMaxCount	int	35
MoeWarSceneAnimationAddSupportDistance	float	1
ActivityCalendarBeforeOpenTime	int	2
ActivityCalendarBeforeEndTime	int	2
BackgroundChangeTimeStr	string	18:00:00
BackgroundChangeTimeEnd	string	6:00:00
ScenePreviewUiHideCD	float	3
ScenePreviewUiHideDelay	float	1.5
WaferScreenShopID	string	404/405/406
TwoSideTowerPositiveIcon	string	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerStage01.png
TwoSideTowerNegativeIcon	string	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerStage02.png
ActivityBriefBaseModel	string	Assets/Product/Ui/UiModel/UiActivityBriefBase3D/UiActivityBriefBase.prefab
DefaultFightBtnExitTexture	string	Assets/Product/Texture/Image/UiFight/FightButtonExitNor.png
PCFightBtnExitTexture	string	Assets/Product/Texture/Image/UiFight/FightButtonExitPCNor.png
UiLoginMovieTimeStr	string	2022/4/29 0:00
UiLoginMovieTimeEnd	string	2022/5/10 0:00
CourseLessonStagePrfab	string	Assets/Product/Ui/ComponentPrefab/FuBenNor/UiCourseActivity.prefab
CourseSettleLevelSImgPath	string	Assets/Product/Texture/Image/UiSameColorGame/SameColorS.png
CourseSettleLevelAImgPath	string	Assets/Product/Texture/Image/UiSameColorGame/SameColorA.png
CourseSettleLevelBImgPath	string	Assets/Product/Texture/Image/UiSameColorGame/SameColorB.png
NewbieTaskAnimClickInterval	float	0.2
NewbieTaskAnimMultClickCountLimit	int	5
NewbieTaskAnimDelayInterval	float	1.5
UiNewbieTaskSailika01	string	Assets/Product/Ui/Spine/UiSpine/UiNewbieTaskSailika/UiNewbieTaskSailika01.prefab
UiSpecialFashionShopSkipId	int	20158
UiShopOthers	string	Assets/Product/Texture/Image/IconToolsSp/CLkindicon.png
BiancaTheatreTxtStartPath	string	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaTheatreBtnTxt3.png
BiancaTheatreTxtContinuePath	string	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaTheatreBtnTxt4.png
LottoDrawGround	string	Assets/Product/Texture/Image/BgUi/BgFight2.png
AutoPlayDelay	int	2000
MoviePerWordDelay	int	150
MovieWriterSpeed	float	0.04
FriendRefreshCD	int	3
SCGameBallDragLimit	float	30
SCEnoughEnergyTextColor	string	#21c8ff
SCNoEnoughEnergyTextColor	string	#82b0c1
Interactionbuttonshowtime	int	10000
PhotoSave	string	Saved to album
FunctionNotDuringOpening	string	Currently not available
FocusType1	string	Auto Lock: Automatically locks on the enemy in your way when you move the joystick.
FocusType2	string	Manual Lock: Tap empty space (excluding the joystick area) to switch lock-on target. Press and hold to unlock the target. <color=#0e70bd>If you have checked "Display Lock Button", press "Lock" to switch lock-on target in battle.</color>
WeaponTransType1	string	Off: On the weapon screen, <color=#0e70bd>skip animations and display the transformed weapon directly</color>
WeaponTransType2	string	On: On the weapon screen, <color=#0e70bd>display the weapon transform animation</color>
TRPGChapterName	string	Chapter 13
TRPGChapterEn	string	Destined Calamity
FeedBackUrl	string	https://www.facebook.com/PGR.Global
ActivityLinkButtonBg	string	Assets/Product/Texture/Atlas/UiActivityBase/UiActivityBaseShopBg.png
ActivityLinkButtonName	string	External Link
BfrtShowHelpTip01	string	Strongholdone
BfrtShowHelpTip02	string	Strongholdtwo
BfrtShowHelpTip03	string	Strongholdthree
LBBuyRiYuanIconPath	string	Assets/Product/Texture/Image/UiPurchase/UiPurchaseYuan.png
PurchaseBuyRiYuanIconPath	string	Assets/Product/Texture/Image/UiPurchase/UiPurchaseYuan1.png
PurchaseBuyRiYuanIconPath1	string	Assets/Product/Texture/Image/UiPurchase/UiPurchaseYuan2.png
LBBuyRiYuanIconPath1	string	Assets/Product/Texture/Image/UiPurchase/UiPurchaseYuan3.png
OpenChangePassword	int	0
PurchaseYKTotalCountWeek	int	1
PurchaseYKTotalCountDay	int	1
PurchaseYKLimtCountWeek	int	7
LuckDrawCoinsRotateSpeed	float	50
OpenSetPassword	int	0
NewYearShowDrawTipsTime	float	10.5
NewYearCoinsNormalRotateSpeed	float	50
NewYearCoinsPerDragAddSpeed	float	360
NewYearCoinsMaxAddSpeed	float	480
NewYearCoinsDampAddSpeed	float	360
NewYearCoinsMaxSpeed	float	960
NewYearCoinsDampSpeed	float	80
DrawNewYearPlaySoundTime	float	800
PurchasePayLockGoodsTime	float	60
DeepLinkCondition	int	1400000
AccountUnCancellationTitle	string	Account Deletion Notice
AccountUnCancellationContent	string	"You've requested to delete the game account you're currently logging in and it's waiting to be processed. If you continue to log in, the request will be cancelled automatically. Continue?"
OnAccountUnCancellationSuccessTip	string	Deletion request has been cancelled. You can continue to log in the game with the current account.
HeroOffcialGachaWebsite	string	Rewards in each tier change according to the chosen reward
ShowRegulationEnable	int	0
RegulationPrefabUrl	string	Assets/Product/Ui/ComponentPrefab/Shop/BtnShowSpecialReg.prefab
GooglePlayHintText	string	Google Playポイントでアイテムを獲得しました、メールボックスにてお受け取りください。
ArenaOnlineCloseTime	int	1656986340
ActivityBriefEntryIcon	string	Assets/Product/Texture/Atlas/UiFubenActivity/UiFANYA.png
PurchaseCardUiType	int	2
PurchaseCardId1	int	90032
PcNormalControllerTypePollingInterval	int	1
PcCombatControllerTypePollingInterval	int	2
PcBtnMainUiPosition	string	386|1030
PcMovieDoNext	float	0.35
