Id	Name	Description	Icon	BuffType	Priority
600051	Michael: Radiation III	Grants the Pet the Radiation skill that continuously damages nearby enemy units for 6%/8%/<color=#FF3300FF>10%</color> of own ATK.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon12.png	1	3
600052	Michael: Berserk I	Increases the Pet's DMG by <color=#FF3300FF>20%</color>/30%/40% and attack frequency by <color=#FF3300FF>20%</color>/30%/40%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon9.png	1	1
600053	Michael: Berserk II	Increases the Pet's DMG by 20%/<color=#FF3300FF>30%</color>/40% and attack frequency by 20%/<color=#FF3300FF>30%</color>/40%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon9.png	1	2
600054	Michael: Berserk III	Increases the Pet's DMG by 20%/30%/<color=#FF3300FF>40%</color> and attack frequency by 20%/30%/<color=#FF3300FF>40%</color>.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon9.png	1	3
600055	Michael: Black Hole I	The Pet's Basic Attacks have a chance to trigger the Black Hole skill against enemies within <color=#FF3300FF>3</color>/5/7m.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon11.png	1	1
600056	Michael: Black Hole II	The Pet's Basic Attacks have a chance to trigger the Black Hole skill against enemies within 3/<color=#FF3300FF>5</color>/7m.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon11.png	1	2
600057	Michael: Black Hole III	The Pet's Basic Attacks have a chance to trigger the Black Hole skill against enemies within 3/5/<color=#FF3300FF>7</color>m.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon11.png	1	3
600058	Shared Leadership I	When team members are of 3 different classes, your character's max HP increases by <color=#FF3300FF>10%</color>/20%/30%.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon006.png	1	1
600059	Shared Leadership II	When team members are of 3 different classes, your character's max HP increases by 10%/<color=#FF3300FF>20%</color>/30%.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon006.png	1	2
600060	Shared Leadership III	When team members are of 3 different classes, your character's max HP increases by 10%/20%/<color=#FF3300FF>30%</color>.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon006.png	1	3
600061	Shield I	Gains a shield equal to <color=#FF3300FF>10%</color>/20%/30% HP at the start of battle.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	1	1
600062	Shield II	Gains a shield equal to 10%/<color=#FF3300FF>20%</color>/30% HP at the start of battle.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	1	2
600063	Shield III	Gains a shield equal to 10%/20%/<color=#FF3300FF>30%</color> HP at the start of battle.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	1	3
600064	Maintenance Theory I	After a 3-Ping, receive <color=#FF3300FF>15%</color>/30%/45% more healing for 10s.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon009.png	1	1
600065	Maintenance Theory II	After a 3-Ping, receive 15%/<color=#FF3300FF>30%</color>/45% more healing for 10s.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon009.png	1	2
600066	Maintenance Theory III	After a 3-Ping, receive 15%/30%/<color=#FF3300FF>45%</color> more healing for 10s.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon009.png	1	3
600067	Mobility Up I	Members recover Dodge Gauge <color=#FF3300FF>20%</color>/35%/50% faster.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon020.png	1	1
600068	Mobility Up II	Members recover Dodge Gauge 20%/<color=#FF3300FF>35%</color>/50% faster.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon020.png	1	2
600069	Mobility Up III	Members recover Dodge Gauge 20%/35%/<color=#FF3300FF>50%</color> faster.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon020.png	1	3
600070	Machine Learning I	Limit of Dodge Gauge increases by <color=#FF3300FF>400</color>/700/1000.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon021.png	1	1
600071	Machine Learning II	Limit of Dodge Gauge increases by 400/<color=#FF3300FF>700</color>/1000.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon021.png	1	2
600072	Machine Learning III	Limit of Dodge Gauge increases by 400/700/<color=#FF3300FF>1000</color>.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon021.png	1	3
600073	Mobility Counterattack I	"Each dodge increases Movement Speed by 15% and all DMG dealt by <color=#FF3300FF>3%</color>/4%/5% for 5s. Can be stacked up to 5 times."	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	1	1
600074	Mobility Counterattack II	"Each dodge increases Movement Speed by 15% and all DMG dealt by 3%/<color=#FF3300FF>4%</color>/5% for 5s. Can be stacked up to 5 times."	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	1	2
600075	Mobility Counterattack III	"Each dodge increases Movement Speed by 15% and all DMG dealt by 3%/4%/<color=#FF3300FF>5%</color> for 5s. Can be stacked up to 5 times."	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	1	3
600076	Overwhelming Power I	Character ATK increases by <color=#FF3300FF>300</color>/600/900.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png	1	1
600077	Overwhelming Power II	Character ATK increases by 300/<color=#FF3300FF>600</color>/900.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png	1	2
600078	Overwhelming Power III	Character ATK increases by 300/600/<color=#FF3300FF>900</color>.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png	1	3
600079	Omnipotent I	Character ATK increases by <color=#FF3300FF>50</color>/75/100 and DMG taken decreases by 15%.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	1	1
600080	Omnipotent II	Character ATK increases by 50/<color=#FF3300FF>75</color>/100 and DMG taken decreases by 15%.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	1	2
600081	Omnipotent III	Character ATK increases by 50/75/<color=#FF3300FF>100</color> and DMG taken decreases by 15%.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	1	3
600082	Long Range Sniping I	Attacks deal extra <color=#FF3300FF>400</color>/800/1200 Physical DMG on targets more than 4m away.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon005.png	1	1
600083	Long Range Sniping II	Attacks deal extra 400/<color=#FF3300FF>800</color>/1200 Physical DMG on targets more than 4m away.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon005.png	1	2
600084	Long Range Sniping III	Attacks deal extra 400/800/<color=#FF3300FF>1200</color> Physical DMG on targets more than 4m away.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon005.png	1	3
600085	Desperation I	Each time a Construct is defeated in battle, increases the Extra DMG Bonus of other Constructs by <color=#FF3300FF>10%</color>/20%/30%.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	1	1
600086	Desperation II	Each time a Construct is defeated in battle, increases the Extra DMG Bonus of other Constructs by 10%/<color=#FF3300FF>20%</color>/30%.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	1	2
600087	Desperation III	Each time a Construct is defeated in battle, increases the Extra DMG Bonus of other Constructs by 10%/20%/<color=#FF3300FF>30%</color>.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	1	3
600088	Melee Assault I	Attacks deal extra <color=#FF3300FF>400</color>/800/1200 Physical DMG on targets within 4m.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	1	1
600089	Melee Assault II	Attacks deal extra 400/<color=#FF3300FF>800</color>/1200 Physical DMG on targets within 4m.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	1	2
600090	Melee Assault III	Attacks deal extra 400/800/<color=#FF3300FF>1200</color> Physical DMG on targets within 4m.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	1	3
600091	Joule I	Every Basic Attack deals <color=#FF3300FF>300</color>/600/900 bonus Fire DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10042.png	1	1
600092	Joule II	Every Basic Attack deals 300/<color=#FF3300FF>600</color>/900 bonus Fire DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10042.png	1	2
600093	Joule III	Every Basic Attack deals 300/600/<color=#FF3300FF>900</color> bonus Fire DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10042.png	1	3
600094	Ampere I	Every Basic Attack deals <color=#FF3300FF>300</color>/600/900 bonus Lightning DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10043.png	1	1
600095	Ampere II	Every Basic Attack deals 300/<color=#FF3300FF>600</color>/900 bonus Lightning DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10043.png	1	2
600096	Ampere III	Every Basic Attack deals 300/600/<color=#FF3300FF>900</color> bonus Lightning DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10043.png	1	3
600097	Kelvin I	Every Basic Attack deals <color=#FF3300FF>300</color>/600/900 bonus Ice DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10045.png	1	1
600098	Kelvin II	Every Basic Attack deals 300/<color=#FF3300FF>600</color>/900 bonus Ice DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10045.png	1	2
600099	Kelvin III	Every Basic Attack deals 300/600/<color=#FF3300FF>900</color> bonus Ice DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10045.png	1	3
600100	Sievert I	Every Basic Attack deals <color=#FF3300FF>300</color>/600/900 bonus Dark DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10044.png	1	1
600101	Sievert II	Every Basic Attack deals 300/<color=#FF3300FF>600</color>/900 bonus Dark DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10044.png	1	2
600102	Sievert III	Every Basic Attack deals 300/600/<color=#FF3300FF>900</color> bonus Dark DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10044.png	1	3
