Id	Name	Description	WorldDesc	BigIcon	Icon	ItemType	Quality	Priority	MaxCount	GridCount	TimelinessType	StartTime	Duration	RecycleRewardId	RecycleByMail	SellForId	SellForCount	RecType	RecTime	RecCount	SuitId	FastTrading	SkipIdParams[0]	SkipIdParams[1]	SkipIdParams[2]	SkipIdParams[3]	SkipIdParams[4]	SkipIdParams[5]	SubTypeParams[0]	SubTypeParams[1]	SubTypeParams[2]	SubTypeParams[3]	SubTypeParams[4]	SubTypeParams[5]	SubTypeParams[6]	SubTypeParams[7]
423	Ultima: Plume	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease03.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease03Sp.png	1	5	50	999	999						1	10					0														
424	Ultima: Rozen	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease12.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease12Sp.png	1	5	50	999	999						1	10					0														
425	Ultima: Crocotta	Constructs that have awakened their Ultima rank get 3 Signal Orbs of the same color at the start of the battle.	Ring device developed by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease08.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease08Sp.png	1	5	50	999	999						1	10					0														
426	Ultima: Rigor	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease09.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease09Sp.png	1	5	50	999	999						1	10					0														
427	Ultima: Pavo	Constructs that have awakened their Ultima rank get 3 Signal Orbs of the same color at the start of the battle.	Ring device developed by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease10.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease10Sp.png	1	5	50	999	999						1	10					0														
428	Ultima: Qilin	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease11.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease11Sp.png	1	5	50	999	999						1	10					0														
429	Ultima: Laurel	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease13.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease13Sp.png	1	5	50	999	999						1	10					0														
430	Ultima: 2B	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease11.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease11Sp.png	1	5	50	999	999						1	10					0														
431	Ultima: 9S	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease11.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease11Sp.png	1	5	50	999	999						1	10					0														
432	Ultima: A2	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease11.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease11Sp.png	1	5	50	999	999						1	10					0														
433	Ultima: Hypnos	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease10.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease10Sp.png	1	5	50	999	999						1	10					0														
434	Ultima: Tempest	Constructs that have awakened their Ultima rank get 3 Signal Orbs of the same color at the start of the battle.	Ring device developed by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease14.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease14Sp.png	1	5	50	999	999						1	10					0														
435	Ultima: Glory	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease01.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease01Sp.png	1	5	50	999	999						1	10					0														
436	Ultima: XXI	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease15.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease15Sp.png	1	5	50	999	999						1	10					0														
437	Ultima: Garnet	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device researched by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease12.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease12Sp.png	1	5	50	999	999						1	10					0														
438	Ultima: Flambeau	After Ultima Awaken, Roland: Flambeau will gain 30 Deception Points upon first entering battle.	After Roland's frame was rebuilt, he added reinforced frame based on the new frame's feature. The core module is driven by kinetic energy and can speed up the frame's charging efficiency during battle.	Assets/Product/Texture/Image/IconTools/IconSkillRelease16.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease16Sp.png	1	5	50	999	999						1	10					0														
439	Ultima - Empyrea	Constructs that have awakened their Ultima rank get 3 Signal Orbs of the same color at the start of battle.	Ring device developed by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease17.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease17Sp.png	1	5	50	999	999						1	10					0														
440	Ultima: Capriccio	Constructs that have awakened their Ultima rank get 3 Signal Orbs of the same color at the start of the battle.	Ring device developed by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease18.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease18Sp.png	1	5	50	999	999						1	10					0														
441	Ultima: Dragontoll	Constructs that have awakened their Ultima rank get 3 Signal Orbs of the same color at the start of the battle.	Ring device developed by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease19.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease19Sp.png	1	5	50	999	999						1	10					0														
442	Ultima: Starfarer	Constructs that have awakened their Ultima rank get 3 Signal Orbs of the same color at the start of the battle.	Ring device developed by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease20.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease20Sp.png	1	5	50	999	999						1	10					0														
443	Ultima: Starveil	Constructs that have awakened their Ultima rank get 3 Signal Orbs of the same color at the start of the battle.	Ring device developed by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease21.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease21Sp.png	1	5	50	999	999						1	10					0														
444	Ultima: Scire	Constructs that have awakened their Ultima rank get 3 Signal Orbs of the same color at the start of the battle.	Ring device developed by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease22.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease22Sp.png	1	5	50	999	999						1	10					0														
445	Ultima: Arca	Constructs that have awakened their Ultima rank get 3 Signal Orbs of the same color at the start of the battle.	Ring device developed by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease23.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease23Sp.png	1	5	50	999	999						1	10					0														
446	Ultima: Stigmata	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device researched by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease24.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease24Sp.png	1	5	50	999	999						1	10					0														
447	Ultima: Vitrum	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device researched by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease25.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease25Sp.png	1	5	50	999	999						1	10					0														
448	Ultima: Hyperreal	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device researched by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease26.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease26Sp.png	1	5	50	999	999						1	10					0														
449	Ultima: Kaleido	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device researched by the Science Council and customized for each individual Construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease27.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease27Sp.png	1	5	50	999	999						1	10					0														
501	Inver-Shard - Palefire	Lee's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1011001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1011001Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
502	Inver-Shard - Lotus	Lucia's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1021001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1021001Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
503	Inver-Shard - Eclipse	Liv's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1031001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1031001Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
504	Inver-Shard - Zero	Bianca's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1041001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1041001Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
505	Inver-Shard - Storm	Nanami's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1051001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1051001Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
506	Inver-Shard - Bastion	Kamui's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1061001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1061001Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
507	Inver-Shard - Blast	Karenina's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1071001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1071001Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
508	Inver-Shard - Nightblade	Watanabe's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1081001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1081001Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
509	Inver-Shard - Brilliance	Ayla's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1091002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1091002Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
512	Inver-Shard - Dawn	Lucia's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1021002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1021002Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
513	Inver-Shard - Lux	Liv's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1031002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1031002Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
514	Inver-Shard - Veritas	Bianca's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1041003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1041003Sp.png	8	4	50	999	999						35	5					0	10012	30001												
515	Inver-Shard - Pulse	Nanami's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1051003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1051003Sp.png	8	4	50	999	999						35	5					0	10012	30001												
516	Inver-Shard - Tenebrion	Kamui's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1061002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1061002Sp.png	8	4	50	999	999						35	5					0	10012	30001												
517	Inver-Shard - Ember	Karenina's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1071002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1071002Sp.png	8	4	50	999	999						35	5					0	10012	30001												
521	Inver-Shard - Entropy	Lee's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1011002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1011002Sp.png	8	4	50	999	999						35	5					0	10012	30001												
522	Inver-Shard - Crimson Abyss	Lucia's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1021003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1021003Sp.png	8	4	50	999	999						35	5					0	10012	30001												
523	Inver-Shard - Luminance	Liv's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1031003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1031003Sp.png	8	4	50	999	999						35	5					0	10012	30001												
528	Inver-Shard - Astral	Watanabe's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1081003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1081003Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
531	Inver-Shard - Silverfang	Sophia's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1101002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1101002Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
532	Inver-Shard - Plume	Lucia's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1021004.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1021004Sp.png	8	4	50	999	999						35	5					0	10012	30001												
533	Inver-Shard - Rozen	Vera's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1131002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1131002Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
534	Inver-Shard - Crocotta	Camu's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1511003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1511003Sp.png	8	4	50	999	999						48	5					0	20023													
535	Inver-Shard - Rigor	Rosetta's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1141003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1141003Sp.png	8	4	50	999	999						35	5					0	10012	30001												
536	Inver-Shard - Pavo	Qu's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1521003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1521003Sp.png	8	4	50	999	999						48	5					0	20023													
537	Inver-Shard - Qilin	Changyu's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1161002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1161002Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
539	Inver-Shard - Arclight	Chrome's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1201002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1201002Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
538	Inver-Shard - Laurel	Luna's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1171003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1171003Sp.png	8	4	50	999	999						35	5					0	10012	30001												
540	Inver-Shard - 2B	2B's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1181003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1181003Sp.png	8	4	50	999	999						35	5					0	10012													
541	Inver-Shard - 9S	9S's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1191003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1191003Sp.png	8	4	50	999	999						35	5					0	10012													
542	Inver-Shard - A2	A2's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1201003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1201003Sp.png	8	4	50	999	999						35	5					0	10012													
543	Inver-Shard - Hypnos	Wanshi's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1211002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1211002Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
544	Inver-Shard - Tempest	Selena's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1531003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1531003Sp.png	8	4	50	999	999						48	5					0	20023													
545	Inver-Shard - Glory	Chrome's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1121003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1121003Sp.png	8	4	50	999	999						35	5					0	10012	30001												
546	Inver-Shard - XXI	No. 21's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1221002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1221002Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
547	Inver-Shard - Garnet	Vera's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding construct.	Assets/Product/Texture/Image/IconTools/IconTools1131003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1131003Sp.png	8	4	50	999	999						35	5					0	10012	30001												
548	Inver-Shard - Flambeau	Roland's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1541003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1541003Sp.png	8	4	50	999	999						48	5					0	20023													
549	Inver-Shard - Empyrea	Liv's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1031004.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1031004Sp.png	8	4	50	999	999						35	5					0	10012	30001												
550	Inver-Shard - Capriccio	Selena's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1531004.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1531004Sp.png	8	4	50	999	999						35	5					0	10012	30001												
551	Inver-Shard - Dragontoll	Pulao's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1551003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1551003Sp.png	8	4	50	999	999						48	5					0	20023													
552	Inver-Shard - Starfarer	Nanami's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1051004.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1051004Sp.png	8	4	50	999	999						35	5					0	10012	30001												
553	Inver-Shard - Starveil	Haicma's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1561003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1561003Sp.png	8	4	50	999	999						48	5					0	20023													
554	Inver-Shard - Scire	Karenina's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1071004.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1071004Sp.png	8	4	50	999	999						35	5					0	10012	30001												
555	Inver-Shard - Arca	Noan's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1571003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1571003Sp.png	8	4	50	999	999						48	5					0	20023													
556	Inver-Shard - Stigmata	Bianca's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1041004.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1041004Sp.png	8	4	50	999	999						35	5					0	10012	30001												
557	Inver-Shard - Vitrum	Bambinata's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1231002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1231002Sp.png	8	4	50	999	999						34	5					0	10042	10012	30001											
558	Inver-Shard - Hyperreal	Lee's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1011004.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1011004Sp.png	8	4	50	999	999						35	5					0	10012	30001												
559	Inver-Shard - Kaleido	Ayla's Inver-Shard. Collect a sufficient amount to link with the Construct.	Construct Memory can be recycled into Inver-Shards. Collect Inver-Shards to link with the corresponding Construct.	Assets/Product/Texture/Image/IconTools/IconTools1091003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1091003Sp.png	8	4	50	999	999						35	5					0	10012	30001												
