Id	CharacterId	Name	SignBoardActionId	UnlockLv	ConditionDescript
1040408	1041004	Idle	1040411	4	Affection <color=#C14F38>4</color>
1040409	1041004	Shake	1040412	5	Affection <color=#C14F38>5</color>
1040410	1041004	Extended Offline Time	1040413	6	Affection <color=#C14F38>6</color>
1230201	1231002	Display Pose 1	1230201	1	Affection <color=#C14F38>1</color>
1230202	1231002	Display Pose 2	1230202	1	Affection <color=#C14F38>1</color>
1230203	1231002	Display Pose 3	1230203	1	Affection <color=#C14F38>1</color>
1230204	1231002	Affection Up	1230205	1	Affection <color=#C14F38>1</color>
1230205	1231002	Quick Tap	1230206	1	Affection <color=#C14F38>1</color>
1230206	1231002	Connection Made	1230209	2	Affection <color=#C14F38>2</color>
1230207	1231002	Excessive Online Time	1230210	3	Affection <color=#C14F38>3</color>
1230208	1231002	Idle	1230211	4	Affection <color=#C14F38>4</color>
1230209	1231002	Shake	1230212	5	Affection <color=#C14F38>5</color>
1230210	1231002	Extended offline time	1230213	6	Affection <color=#C14F38>6</color>
