Id	Level	CharacterId	UpExp	FightEventId	Ability	AttributeId[1]	AttributeValue[1]	AttributeId[2]	AttributeValue[2]	AttributeId[3]	AttributeValue[3]	AttributeId[4]	AttributeValue[4]
407	7	1121002	260	220007	2248	1	4242	11	805	23	315	44	140
408	8	1121002	300	220008	2570	1	4848	11	920	23	360	44	160
409	9	1121002	350	220009	2891	1	5454	11	1035	23	405	44	180
410	10	1121002	420	220010	3212	1	6060	11	1150	23	450	44	200
411	11	1121002	500	220011	3639	1	6870	11	1305	23	510	44	225
412	12	1121002	700	220012	4066	1	7680	11	1460	23	570	44	250
413	13	1121002	1000	220013	4493	1	8490	11	1615	23	630	44	275
414	14	1121002	1400	220014	4920	1	9300	11	1770	23	690	44	300
415	15	1121002	1900	220015	5347	1	10110	11	1925	23	750	44	325
416	16	1121002	2500	220016	5990	1	11325	11	2155	23	840	44	365
417	17	1121002	3000	220017	6633	1	12540	11	2385	23	930	44	405
418	18	1121002	3500	220018	7276	1	13755	11	2615	23	1020	44	445
419	19	1121002	4000	220019	7919	1	14970	11	2845	23	1110	44	485
420	20	1121002	4500	220020	8562	1	16185	11	3075	23	1200	44	525
421	1	1021004	0	220001	321	1	606	11	115	23	45	44	20
422	2	1021004	100	220002	642	1	1212	11	230	23	90	44	40
423	3	1021004	120	220003	964	1	1818	11	345	23	135	44	60
424	4	1021004	150	220004	1285	1	2424	11	460	23	180	44	80
425	5	1021004	180	220005	1606	1	3030	11	575	23	225	44	100
426	6	1021004	120	220006	1927	1	3636	11	690	23	270	44	120
427	7	1021004	260	220007	2248	1	4242	11	805	23	315	44	140
428	8	1021004	300	220008	2570	1	4848	11	920	23	360	44	160
429	9	1021004	350	220009	2891	1	5454	11	1035	23	405	44	180
430	10	1021004	420	220010	3212	1	6060	11	1150	23	450	44	200
431	11	1021004	500	220011	3639	1	6870	11	1305	23	510	44	225
432	12	1021004	700	220012	4066	1	7680	11	1460	23	570	44	250
433	13	1021004	1000	220013	4493	1	8490	11	1615	23	630	44	275
434	14	1021004	1400	220014	4920	1	9300	11	1770	23	690	44	300
435	15	1021004	1900	220015	5347	1	10110	11	1925	23	750	44	325
436	16	1021004	2500	220016	5990	1	11325	11	2155	23	840	44	365
437	17	1021004	3000	220017	6633	1	12540	11	2385	23	930	44	405
438	18	1021004	3500	220018	7276	1	13755	11	2615	23	1020	44	445
439	19	1021004	4000	220019	7919	1	14970	11	2845	23	1110	44	485
440	20	1021004	4500	220020	8562	1	16185	11	3075	23	1200	44	525
441	1	1131002	0	220001	321	1	606	11	115	23	45	44	20
442	2	1131002	100	220002	642	1	1212	11	230	23	90	44	40
443	3	1131002	120	220003	964	1	1818	11	345	23	135	44	60
444	4	1131002	150	220004	1285	1	2424	11	460	23	180	44	80
445	5	1131002	180	220005	1606	1	3030	11	575	23	225	44	100
446	6	1131002	120	220006	1927	1	3636	11	690	23	270	44	120
447	7	1131002	260	220007	2248	1	4242	11	805	23	315	44	140
448	8	1131002	300	220008	2570	1	4848	11	920	23	360	44	160
449	9	1131002	350	220009	2891	1	5454	11	1035	23	405	44	180
450	10	1131002	420	220010	3212	1	6060	11	1150	23	450	44	200
451	11	1131002	500	220011	3639	1	6870	11	1305	23	510	44	225
452	12	1131002	700	220012	4066	1	7680	11	1460	23	570	44	250
453	13	1131002	1000	220013	4493	1	8490	11	1615	23	630	44	275
454	14	1131002	1400	220014	4920	1	9300	11	1770	23	690	44	300
455	15	1131002	1900	220015	5347	1	10110	11	1925	23	750	44	325
456	16	1131002	2500	220016	5990	1	11325	11	2155	23	840	44	365
457	17	1131002	3000	220017	6633	1	12540	11	2385	23	930	44	405
458	18	1131002	3500	220018	7276	1	13755	11	2615	23	1020	44	445
459	19	1131002	4000	220019	7919	1	14970	11	2845	23	1110	44	485
460	20	1131002	4500	220020	8562	1	16185	11	3075	23	1200	44	525
461	1	1511003	0	220001	321	1	606	11	115	23	45	44	20
462	2	1511003	100	220002	642	1	1212	11	230	23	90	44	40
463	3	1511003	120	220003	964	1	1818	11	345	23	135	44	60
464	4	1511003	150	220004	1285	1	2424	11	460	23	180	44	80
465	5	1511003	180	220005	1606	1	3030	11	575	23	225	44	100
466	6	1511003	120	220006	1927	1	3636	11	690	23	270	44	120
467	7	1511003	260	220007	2248	1	4242	11	805	23	315	44	140
468	8	1511003	300	220008	2570	1	4848	11	920	23	360	44	160
469	9	1511003	350	220009	2891	1	5454	11	1035	23	405	44	180
470	10	1511003	420	220010	3212	1	6060	11	1150	23	450	44	200
471	11	1511003	500	220011	3639	1	6870	11	1305	23	510	44	225
472	12	1511003	700	220012	4066	1	7680	11	1460	23	570	44	250
473	13	1511003	1000	220013	4493	1	8490	11	1615	23	630	44	275
474	14	1511003	1400	220014	4920	1	9300	11	1770	23	690	44	300
475	15	1511003	1900	220015	5347	1	10110	11	1925	23	750	44	325
476	16	1511003	2500	220016	5990	1	11325	11	2155	23	840	44	365
477	17	1511003	3000	220017	6633	1	12540	11	2385	23	930	44	405
478	18	1511003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
479	19	1511003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
480	20	1511003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
481	1	1141003	0	220001	321	1	606	11	115	23	45	44	20
482	2	1141003	100	220002	642	1	1212	11	230	23	90	44	40
483	3	1141003	120	220003	964	1	1818	11	345	23	135	44	60
484	4	1141003	150	220004	1285	1	2424	11	460	23	180	44	80
485	5	1141003	180	220005	1606	1	3030	11	575	23	225	44	100
486	6	1141003	120	220006	1927	1	3636	11	690	23	270	44	120
487	7	1141003	260	220007	2248	1	4242	11	805	23	315	44	140
488	8	1141003	300	220008	2570	1	4848	11	920	23	360	44	160
489	9	1141003	350	220009	2891	1	5454	11	1035	23	405	44	180
490	10	1141003	420	220010	3212	1	6060	11	1150	23	450	44	200
491	11	1141003	500	220011	3639	1	6870	11	1305	23	510	44	225
492	12	1141003	700	220012	4066	1	7680	11	1460	23	570	44	250
493	13	1141003	1000	220013	4493	1	8490	11	1615	23	630	44	275
494	14	1141003	1400	220014	4920	1	9300	11	1770	23	690	44	300
495	15	1141003	1900	220015	5347	1	10110	11	1925	23	750	44	325
496	16	1141003	2500	220016	5990	1	11325	11	2155	23	840	44	365
497	17	1141003	3000	220017	6633	1	12540	11	2385	23	930	44	405
498	18	1141003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
499	19	1141003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
500	20	1141003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
501	1	1521003	0	220001	321	1	606	11	115	23	45	44	20
502	2	1521003	100	220002	642	1	1212	11	230	23	90	44	40
503	3	1521003	120	220003	964	1	1818	11	345	23	135	44	60
504	4	1521003	150	220004	1285	1	2424	11	460	23	180	44	80
505	5	1521003	180	220005	1606	1	3030	11	575	23	225	44	100
506	6	1521003	120	220006	1927	1	3636	11	690	23	270	44	120
507	7	1521003	260	220007	2248	1	4242	11	805	23	315	44	140
508	8	1521003	300	220008	2570	1	4848	11	920	23	360	44	160
509	9	1521003	350	220009	2891	1	5454	11	1035	23	405	44	180
510	10	1521003	420	220010	3212	1	6060	11	1150	23	450	44	200
511	11	1521003	500	220011	3639	1	6870	11	1305	23	510	44	225
512	12	1521003	700	220012	4066	1	7680	11	1460	23	570	44	250
513	13	1521003	1000	220013	4493	1	8490	11	1615	23	630	44	275
514	14	1521003	1400	220014	4920	1	9300	11	1770	23	690	44	300
515	15	1521003	1900	220015	5347	1	10110	11	1925	23	750	44	325
516	16	1521003	2500	220016	5990	1	11325	11	2155	23	840	44	365
517	17	1521003	3000	220017	6633	1	12540	11	2385	23	930	44	405
518	18	1521003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
519	19	1521003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
520	20	1521003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
521	1	1161002	0	220001	321	1	606	11	115	23	45	44	20
522	2	1161002	100	220002	642	1	1212	11	230	23	90	44	40
523	3	1161002	120	220003	964	1	1818	11	345	23	135	44	60
524	4	1161002	150	220004	1285	1	2424	11	460	23	180	44	80
525	5	1161002	180	220005	1606	1	3030	11	575	23	225	44	100
526	6	1161002	120	220006	1927	1	3636	11	690	23	270	44	120
527	7	1161002	260	220007	2248	1	4242	11	805	23	315	44	140
528	8	1161002	300	220008	2570	1	4848	11	920	23	360	44	160
529	9	1161002	350	220009	2891	1	5454	11	1035	23	405	44	180
530	10	1161002	420	220010	3212	1	6060	11	1150	23	450	44	200
531	11	1161002	500	220011	3639	1	6870	11	1305	23	510	44	225
532	12	1161002	700	220012	4066	1	7680	11	1460	23	570	44	250
533	13	1161002	1000	220013	4493	1	8490	11	1615	23	630	44	275
534	14	1161002	1400	220014	4920	1	9300	11	1770	23	690	44	300
535	15	1161002	1900	220015	5347	1	10110	11	1925	23	750	44	325
536	16	1161002	2500	220016	5990	1	11325	11	2155	23	840	44	365
537	17	1161002	3000	220017	6633	1	12540	11	2385	23	930	44	405
538	18	1161002	3500	220018	7276	1	13755	11	2615	23	1020	44	445
539	19	1161002	4000	220019	7919	1	14970	11	2845	23	1110	44	485
540	20	1161002	4500	220020	8562	1	16185	11	3075	23	1200	44	525
541	1	1171003	0	220001	321	1	606	11	115	23	45	44	20
542	2	1171003	100	220002	642	1	1212	11	230	23	90	44	40
543	3	1171003	120	220003	964	1	1818	11	345	23	135	44	60
544	4	1171003	150	220004	1285	1	2424	11	460	23	180	44	80
545	5	1171003	180	220005	1606	1	3030	11	575	23	225	44	100
546	6	1171003	120	220006	1927	1	3636	11	690	23	270	44	120
547	7	1171003	260	220007	2248	1	4242	11	805	23	315	44	140
548	8	1171003	300	220008	2570	1	4848	11	920	23	360	44	160
549	9	1171003	350	220009	2891	1	5454	11	1035	23	405	44	180
550	10	1171003	420	220010	3212	1	6060	11	1150	23	450	44	200
551	11	1171003	500	220011	3639	1	6870	11	1305	23	510	44	225
552	12	1171003	700	220012	4066	1	7680	11	1460	23	570	44	250
553	13	1171003	1000	220013	4493	1	8490	11	1615	23	630	44	275
554	14	1171003	1400	220014	4920	1	9300	11	1770	23	690	44	300
555	15	1171003	1900	220015	5347	1	10110	11	1925	23	750	44	325
556	16	1171003	2500	220016	5990	1	11325	11	2155	23	840	44	365
557	17	1171003	3000	220017	6633	1	12540	11	2385	23	930	44	405
558	18	1171003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
559	19	1171003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
560	20	1171003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
561	1	1181003	0	220001	321	1	606	11	115	23	45	44	20
562	2	1181003	100	220002	642	1	1212	11	230	23	90	44	40
563	3	1181003	120	220003	964	1	1818	11	345	23	135	44	60
564	4	1181003	150	220004	1285	1	2424	11	460	23	180	44	80
565	5	1181003	180	220005	1606	1	3030	11	575	23	225	44	100
566	6	1181003	120	220006	1927	1	3636	11	690	23	270	44	120
567	7	1181003	260	220007	2248	1	4242	11	805	23	315	44	140
568	8	1181003	300	220008	2570	1	4848	11	920	23	360	44	160
569	9	1181003	350	220009	2891	1	5454	11	1035	23	405	44	180
570	10	1181003	420	220010	3212	1	6060	11	1150	23	450	44	200
571	11	1181003	500	220011	3639	1	6870	11	1305	23	510	44	225
572	12	1181003	700	220012	4066	1	7680	11	1460	23	570	44	250
573	13	1181003	1000	220013	4493	1	8490	11	1615	23	630	44	275
574	14	1181003	1400	220014	4920	1	9300	11	1770	23	690	44	300
575	15	1181003	1900	220015	5347	1	10110	11	1925	23	750	44	325
576	16	1181003	2500	220016	5990	1	11325	11	2155	23	840	44	365
577	17	1181003	3000	220017	6633	1	12540	11	2385	23	930	44	405
578	18	1181003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
579	19	1181003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
580	20	1181003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
581	1	1191003	0	220001	321	1	606	11	115	23	45	44	20
582	2	1191003	100	220002	642	1	1212	11	230	23	90	44	40
583	3	1191003	120	220003	964	1	1818	11	345	23	135	44	60
584	4	1191003	150	220004	1285	1	2424	11	460	23	180	44	80
585	5	1191003	180	220005	1606	1	3030	11	575	23	225	44	100
586	6	1191003	120	220006	1927	1	3636	11	690	23	270	44	120
587	7	1191003	260	220007	2248	1	4242	11	805	23	315	44	140
588	8	1191003	300	220008	2570	1	4848	11	920	23	360	44	160
589	9	1191003	350	220009	2891	1	5454	11	1035	23	405	44	180
590	10	1191003	420	220010	3212	1	6060	11	1150	23	450	44	200
591	11	1191003	500	220011	3639	1	6870	11	1305	23	510	44	225
592	12	1191003	700	220012	4066	1	7680	11	1460	23	570	44	250
593	13	1191003	1000	220013	4493	1	8490	11	1615	23	630	44	275
594	14	1191003	1400	220014	4920	1	9300	11	1770	23	690	44	300
595	15	1191003	1900	220015	5347	1	10110	11	1925	23	750	44	325
596	16	1191003	2500	220016	5990	1	11325	11	2155	23	840	44	365
597	17	1191003	3000	220017	6633	1	12540	11	2385	23	930	44	405
598	18	1191003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
599	19	1191003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
600	20	1191003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
601	1	1201003	0	220001	321	1	606	11	115	23	45	44	20
602	2	1201003	100	220002	642	1	1212	11	230	23	90	44	40
603	3	1201003	120	220003	964	1	1818	11	345	23	135	44	60
604	4	1201003	150	220004	1285	1	2424	11	460	23	180	44	80
605	5	1201003	180	220005	1606	1	3030	11	575	23	225	44	100
606	6	1201003	120	220006	1927	1	3636	11	690	23	270	44	120
607	7	1201003	260	220007	2248	1	4242	11	805	23	315	44	140
608	8	1201003	300	220008	2570	1	4848	11	920	23	360	44	160
609	9	1201003	350	220009	2891	1	5454	11	1035	23	405	44	180
610	10	1201003	420	220010	3212	1	6060	11	1150	23	450	44	200
611	11	1201003	500	220011	3639	1	6870	11	1305	23	510	44	225
612	12	1201003	700	220012	4066	1	7680	11	1460	23	570	44	250
613	13	1201003	1000	220013	4493	1	8490	11	1615	23	630	44	275
614	14	1201003	1400	220014	4920	1	9300	11	1770	23	690	44	300
615	15	1201003	1900	220015	5347	1	10110	11	1925	23	750	44	325
616	16	1201003	2500	220016	5990	1	11325	11	2155	23	840	44	365
617	17	1201003	3000	220017	6633	1	12540	11	2385	23	930	44	405
618	18	1201003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
619	19	1201003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
620	20	1201003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
621	1	1211002	0	220001	321	1	606	11	115	23	45	44	20
622	2	1211002	100	220002	642	1	1212	11	230	23	90	44	40
623	3	1211002	120	220003	964	1	1818	11	345	23	135	44	60
624	4	1211002	150	220004	1285	1	2424	11	460	23	180	44	80
625	5	1211002	180	220005	1606	1	3030	11	575	23	225	44	100
626	6	1211002	120	220006	1927	1	3636	11	690	23	270	44	120
627	7	1211002	260	220007	2248	1	4242	11	805	23	315	44	140
628	8	1211002	300	220008	2570	1	4848	11	920	23	360	44	160
629	9	1211002	350	220009	2891	1	5454	11	1035	23	405	44	180
630	10	1211002	420	220010	3212	1	6060	11	1150	23	450	44	200
631	11	1211002	500	220011	3639	1	6870	11	1305	23	510	44	225
632	12	1211002	700	220012	4066	1	7680	11	1460	23	570	44	250
633	13	1211002	1000	220013	4493	1	8490	11	1615	23	630	44	275
634	14	1211002	1400	220014	4920	1	9300	11	1770	23	690	44	300
635	15	1211002	1900	220015	5347	1	10110	11	1925	23	750	44	325
636	16	1211002	2500	220016	5990	1	11325	11	2155	23	840	44	365
637	17	1211002	3000	220017	6633	1	12540	11	2385	23	930	44	405
638	18	1211002	3500	220018	7276	1	13755	11	2615	23	1020	44	445
639	19	1211002	4000	220019	7919	1	14970	11	2845	23	1110	44	485
640	20	1211002	4500	220020	8562	1	16185	11	3075	23	1200	44	525
641	1	1531003	0	220001	321	1	606	11	115	23	45	44	20
642	2	1531003	100	220002	642	1	1212	11	230	23	90	44	40
643	3	1531003	120	220003	964	1	1818	11	345	23	135	44	60
644	4	1531003	150	220004	1285	1	2424	11	460	23	180	44	80
645	5	1531003	180	220005	1606	1	3030	11	575	23	225	44	100
646	6	1531003	120	220006	1927	1	3636	11	690	23	270	44	120
647	7	1531003	260	220007	2248	1	4242	11	805	23	315	44	140
648	8	1531003	300	220008	2570	1	4848	11	920	23	360	44	160
649	9	1531003	350	220009	2891	1	5454	11	1035	23	405	44	180
650	10	1531003	420	220010	3212	1	6060	11	1150	23	450	44	200
651	11	1531003	500	220011	3639	1	6870	11	1305	23	510	44	225
652	12	1531003	700	220012	4066	1	7680	11	1460	23	570	44	250
653	13	1531003	1000	220013	4493	1	8490	11	1615	23	630	44	275
654	14	1531003	1400	220014	4920	1	9300	11	1770	23	690	44	300
655	15	1531003	1900	220015	5347	1	10110	11	1925	23	750	44	325
656	16	1531003	2500	220016	5990	1	11325	11	2155	23	840	44	365
657	17	1531003	3000	220017	6633	1	12540	11	2385	23	930	44	405
658	18	1531003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
659	19	1531003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
660	20	1531003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
661	1	1121003	0	220001	321	1	606	11	115	23	45	44	20
662	2	1121003	100	220002	642	1	1212	11	230	23	90	44	40
663	3	1121003	120	220003	964	1	1818	11	345	23	135	44	60
664	4	1121003	150	220004	1285	1	2424	11	460	23	180	44	80
665	5	1121003	180	220005	1606	1	3030	11	575	23	225	44	100
666	6	1121003	120	220006	1927	1	3636	11	690	23	270	44	120
667	7	1121003	260	220007	2248	1	4242	11	805	23	315	44	140
668	8	1121003	300	220008	2570	1	4848	11	920	23	360	44	160
669	9	1121003	350	220009	2891	1	5454	11	1035	23	405	44	180
670	10	1121003	420	220010	3212	1	6060	11	1150	23	450	44	200
671	11	1121003	500	220011	3639	1	6870	11	1305	23	510	44	225
672	12	1121003	700	220012	4066	1	7680	11	1460	23	570	44	250
673	13	1121003	1000	220013	4493	1	8490	11	1615	23	630	44	275
674	14	1121003	1400	220014	4920	1	9300	11	1770	23	690	44	300
675	15	1121003	1900	220015	5347	1	10110	11	1925	23	750	44	325
676	16	1121003	2500	220016	5990	1	11325	11	2155	23	840	44	365
677	17	1121003	3000	220017	6633	1	12540	11	2385	23	930	44	405
678	18	1121003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
679	19	1121003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
680	20	1121003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
681	1	1221002	0	220001	321	1	606	11	115	23	45	44	20
682	2	1221002	100	220002	642	1	1212	11	230	23	90	44	40
683	3	1221002	120	220003	964	1	1818	11	345	23	135	44	60
684	4	1221002	150	220004	1285	1	2424	11	460	23	180	44	80
685	5	1221002	180	220005	1606	1	3030	11	575	23	225	44	100
686	6	1221002	120	220006	1927	1	3636	11	690	23	270	44	120
687	7	1221002	260	220007	2248	1	4242	11	805	23	315	44	140
688	8	1221002	300	220008	2570	1	4848	11	920	23	360	44	160
689	9	1221002	350	220009	2891	1	5454	11	1035	23	405	44	180
690	10	1221002	420	220010	3212	1	6060	11	1150	23	450	44	200
691	11	1221002	500	220011	3639	1	6870	11	1305	23	510	44	225
692	12	1221002	700	220012	4066	1	7680	11	1460	23	570	44	250
693	13	1221002	1000	220013	4493	1	8490	11	1615	23	630	44	275
694	14	1221002	1400	220014	4920	1	9300	11	1770	23	690	44	300
695	15	1221002	1900	220015	5347	1	10110	11	1925	23	750	44	325
696	16	1221002	2500	220016	5990	1	11325	11	2155	23	840	44	365
697	17	1221002	3000	220017	6633	1	12540	11	2385	23	930	44	405
698	18	1221002	3500	220018	7276	1	13755	11	2615	23	1020	44	445
699	19	1221002	4000	220019	7919	1	14970	11	2845	23	1110	44	485
700	20	1221002	4500	220020	8562	1	16185	11	3075	23	1200	44	525
701	1	1131003	0	220001	321	1	606	11	115	23	45	44	20
702	2	1131003	100	220002	642	1	1212	11	230	23	90	44	40
703	3	1131003	120	220003	964	1	1818	11	345	23	135	44	60
704	4	1131003	150	220004	1285	1	2424	11	460	23	180	44	80
705	5	1131003	180	220005	1606	1	3030	11	575	23	225	44	100
706	6	1131003	120	220006	1927	1	3636	11	690	23	270	44	120
707	7	1131003	260	220007	2248	1	4242	11	805	23	315	44	140
708	8	1131003	300	220008	2570	1	4848	11	920	23	360	44	160
709	9	1131003	350	220009	2891	1	5454	11	1035	23	405	44	180
710	10	1131003	420	220010	3212	1	6060	11	1150	23	450	44	200
711	11	1131003	500	220011	3639	1	6870	11	1305	23	510	44	225
712	12	1131003	700	220012	4066	1	7680	11	1460	23	570	44	250
713	13	1131003	1000	220013	4493	1	8490	11	1615	23	630	44	275
714	14	1131003	1400	220014	4920	1	9300	11	1770	23	690	44	300
715	15	1131003	1900	220015	5347	1	10110	11	1925	23	750	44	325
716	16	1131003	2500	220016	5990	1	11325	11	2155	23	840	44	365
717	17	1131003	3000	220017	6633	1	12540	11	2385	23	930	44	405
718	18	1131003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
719	19	1131003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
720	20	1131003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
