StageId	ModelId	BossName	Score	PreFullScore[1]	PreFullScore[2]	PreFullScore[3]	BossLoseHpScore	LeftTimeScore	LeftHpScore	DifficultyType	DifficultyDesc	DifficultyDescEn	AutoFight	FightCharCount	OpenCondition[1]	OpenCondition[2]	BuffDetailsId[1]	BuffDetailsId[2]	BuffDetailsId[3]	BuffDetailsId[4]	BuffDetailsId[5]	FeaturesId[1]	FeaturesId[2]	FeaturesId[3]	SkillTitle[1]	SkillDesc[1]	SkillTitle[2]	SkillDesc[2]	SkillTitle[3]	SkillDesc[3]	SkillTitle[4]	SkillDesc[4]	SkillTitle[5]	SkillDesc[5]	SkillTitle[6]	SkillDesc[6]	SkillTitle[7]	SkillDesc[7]	SkillTitle[8]	SkillDesc[8]	SkillTitle[9]	SkillDesc[9]	SkillTitle[10]	SkillDesc[10]	SkillTitle[11]	SkillDesc[11]	SkillTitle[12]	SkillDesc[12]	AttackName[1]	AttackName[2]	AttackName[3]
30000912	Mb1BraveMd010011	Riot	25000				10000	12000	3000	2	Elite	ELITES	1	1											Scatter Shot	Quickly fires bullets in a fan-shape.	Energy Blast	Fires a powerful energy beam.	Gravity Bomb	Bomb follows the target slowly, exploding on contact.																					
30000913	Mb1BraveMd010011	Riot	50000				20000	24000	6000	3	Knight	KNIGHT	1	1											Scatter Laser	Fires multiple laser beams on the map.	Scatter Shot	Quickly fires bullets in a fan-shape.	Energy Blast	Fires a powerful energy beam.	Gravity Bomb	Bomb follows the target slowly, exploding on contact.																			
30000914	Mb1BraveMd010011	Riot	100000				40000	48000	12000	4	Chaos	CHAOS	0	1											Random Laser	Fires multiple laser beams on the map. Increased number of laser beams with random position and movement.	Scatter Laser	Fires multiple laser beams on the map.	Scatter Shot	Quickly fires bullets in a fan-shape.	Energy Blast	Fires a powerful energy beam.	Gravity Bomb	Bomb follows the target slowly, exploding on contact.																	
30000915	Mb1BraveMd010011	Riot	200000				80000	96000	24000	5	Hell	HELL	0	1											Random Laser	Fires multiple laser beams on the map. Increased number of laser beams with random position and movement.	Scatter Laser	Fires multiple laser beams on the map.	Scatter Shot	Quickly fires bullets in a fan-shape.	Energy Blast	Fires a powerful energy beam.	Gravity Bomb	Bomb follows the target slowly, exploding on contact.																	
30000917	Mb1BraveMd010011	Riot	200000				80000	96000	24000	6	Hidden	HIDE	0	1	420011										Infinite	60s continuous challenge. Once the boss is defeated, it will respawn with increased HP for up to 10 times.	Random Laser	Fires multiple laser beams on the map. Increased number of laser beams with random position and movement.	Scatter Laser	Fires multiple laser beams on the map.	Grapeshot Blast	Quickly fires bullets in a fan-shape.	Energy Blast	Fires a powerful energy beam.	Gravity Bomb	Bomb follows the target slowly, exploding on contact.															
30001001	Mb1LuosaitarenMd000001	Rosetta	12500				5000	6000	1500	1	Test	TEST	1	1								3			Fighting Will	The frequency of skills will change according to the battle difficulty.	Leap	Rosetta leaps into the air and impales the target with her lance.	Piercing Strike	Rosetta launches her lance forward at her target, then slams the target with her shield upon hitting it.	Joust	Rosetta rapidly launches multiple jabs with her lance.	Rider Shield	Rosetta hurls her shield and launches multiple strikes.	Ring of Repulsion	Rosetta spins her lance to swipe the target multiple times.	Take Off	Rosetta rams the enemy, then propels herself into the sky.	Motion Counterattack	Rosetta dodges and moves while striking back with a wind blade.	Homing Missile	Rosetta launches multiple missiles that track the enemy.	Windblade Assault	Rosetta swings her weapon to cast a few blades of wind.							
30001002	Mb1LuosaitarenMd000001	Rosetta	25000				10000	12000	3000	2	Elite	ELITES	1	1								3			Fighting Will	The frequency of skills will change according to the battle difficulty.	Leap	Rosetta leaps into the air and impales the target with her lance.	Piercing Strike	Rosetta launches her lance forward at her target, then slams the target with her shield upon hitting it.	Joust	Rosetta rapidly launches multiple jabs with her lance.	Rider Shield	Rosetta hurls her shield and launches multiple strikes.	Ring of Repulsion	Rosetta spins her lance to swipe the target multiple times.	Take Off	Rosetta rams the enemy, then propels herself into the sky.	Motion Counterattack	Rosetta dodges and moves while striking back with a wind blade.	Homing Missile	Rosetta launches multiple missiles that track the enemy.	Windblade Assault	Rosetta swings her weapon to cast a few blades of wind.							
30001003	Mb1LuosaitarenMd000001	Rosetta	50000				20000	24000	6000	3	Knight	KNIGHT	1	1								3			Fighting Will	The frequency of skills will change according to the battle difficulty.	Leap	Rosetta leaps into the air and impales the target with her lance.	Piercing Strike	Rosetta launches her lance forward at her target, then slams the target with her shield upon hitting it.	Joust	Rosetta rapidly launches multiple jabs with her lance.	Rider Shield	Rosetta hurls her shield and launches multiple strikes.	Ring of Repulsion	Rosetta spins her lance to swipe the target multiple times.	Take Off	Rosetta rams the enemy, then propels herself into the sky.	Motion Counterattack	Rosetta dodges and moves while striking back with a wind blade.	Homing Missile	Rosetta launches multiple missiles that track the enemy.	Windblade Assault	Rosetta swings her weapon to cast a few blades of wind.							
30001004	Mb1LuosaitarenMd000001	Rosetta	100000				40000	48000	12000	4	Chaos	CHAOS	0	1								3			Fighting Will	The frequency of skills will change according to the battle difficulty.	Leap	Rosetta leaps into the air and impales the target with her lance.	Piercing Strike	Rosetta launches her lance forward at her target, then slams the target with her shield upon hitting it.	Joust	Rosetta rapidly launches multiple jabs with her lance.	Rider Shield	Rosetta hurls her shield and launches multiple strikes.	Ring of Repulsion	Rosetta spins her lance to swipe the target multiple times.	Take Off	Rosetta rams the enemy, then propels herself into the sky.	Motion Counterattack	Rosetta dodges and moves while striking back with a wind blade.	Homing Missile	Rosetta launches multiple missiles that track the enemy.	Windblade Assault	Rosetta swings her weapon to cast a few blades of wind.							
30001005	Mb1LuosaitarenMd000001	Rosetta	200000				80000	96000	24000	5	Hell	HELL	0	1								3			Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Fighting Will	The frequency of skills will change according to the battle difficulty.	Leap	Rosetta leaps into the air and impales the target with her lance.	Piercing Strike	Rosetta launches her lance forward at her target, then slams the target with her shield upon hitting it.	Joust	Rosetta rapidly launches multiple jabs with her lance.	Rider Shield	Rosetta hurls her shield and launches multiple strikes.	Ring of Repulsion	Rosetta spins her lance to swipe the target multiple times.	Take Off	Rosetta rams the enemy, then propels herself into the sky.	Motion Counterattack	Rosetta dodges and moves while striking back with a wind blade.	Homing Missile	Rosetta launches multiple missiles that track the enemy.	Windblade Assault	Rosetta swings her weapon to cast a few blades of wind.					
30001011	Mb1LuosaitarenMd000001	Rosetta	200000				80000	96000	24000	6	Hidden	HIDE	0	1	420012							3			Infinite	60s continuous challenge. Once the boss is defeated, it will respawn with increased HP for up to 10 times.	Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Fighting Will	The frequency of skills will change according to the battle difficulty.	Leap	Rosetta leaps into the air and impales the target with her lance.	Piercing Strike	Rosetta launches her lance forward at her target, then slams the target with her shield upon hitting it.	Joust	Rosetta rapidly launches multiple jabs with her lance.	Rider Shield	Rosetta hurls her shield and launches multiple strikes.	Ring of Repulsion	Rosetta spins her lance to swipe the target multiple times.	Take Off	Rosetta rams the enemy, then propels herself into the sky.	Motion Counterattack	Rosetta dodges and moves while striking back with a wind blade.	Homing Missile	Rosetta launches multiple missiles that track the enemy.	Windblade Assault	Rosetta swings her weapon to cast a few blades of wind.			
30001201	Mb1MelodyhuaxuMd10001	Huaxu	12500				5000	6000	1500	1	Test	TEST	1	1			90012	90013							Inception	Huaxu puts her palms together to channel two giant hands from her M.I.N.D. that slap the enemies.	Origin	After channeling, Huaxu launches 3 consecutive attacks under her enemies that also knock them back for a short duration.	Lightning Storm	Huaxu creates 7 circular lightning zones near the enemies, damaging any enemy caught within.	Claw of Expulsion	Huaxu swings her arms to claw at the enemies in mid range.																			
30001202	Mb1MelodyhuaxuMd10001	Huaxu	25000				10000	12000	3000	2	Elite	ELITES	1	1			90012	90013							Inception	Huaxu puts her palms together to channel two giant hands from her M.I.N.D. that slap the enemies.	Origin	After channeling, Huaxu launches 3 consecutive attacks under her enemies that also knock them back for a short duration.	Lightning Storm	Huaxu creates 7 circular lightning zones near the enemies, damaging any enemy caught within.	Claw of Expulsion	Huaxu swings her arms to claw at the enemies in mid range.																			
30001203	Mb1MelodyhuaxuMd10001	Huaxu	50000				20000	24000	6000	3	Knight	KNIGHT	1	1			90012	90013							Inception	Huaxu puts her palms together to channel two giant hands from her M.I.N.D. that slap the enemies.	Origin	After channeling, Huaxu launches 3 consecutive attacks under her enemies that also knock them back for a short duration.	Lightning Storm	Huaxu creates 7 circular lightning zones near the enemies, damaging any enemy caught within.	Claw of Expulsion	Huaxu swings her arms to claw at the enemies in mid range.																			
30001204	Mb1MelodyhuaxuMd10001	Huaxu	100000				40000	48000	12000	4	Chaos	CHAOS	0	1			90012	90013							Inception	Huaxu puts her palms together to channel two giant hands from her M.I.N.D. that slap the enemies.	Origin	After channeling, Huaxu launches 3 consecutive attacks under her enemies that also knock them back for a short duration.	Lightning Storm	Huaxu creates 7 circular lightning zones near the enemies, damaging any enemy caught within.	Claw of Expulsion	Huaxu swings her arms to claw at the enemies in mid range.																			
30001205	Mb1MelodyhuaxuMd10001	Huaxu	200000				80000	96000	24000	5	Hell	HELL	0	1			90012	90013							Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Inception	Huaxu puts her palms together to channel two giant hands from her M.I.N.D. that slap the enemies.	Origin	After channeling, Huaxu launches 3 consecutive attacks under her enemies that also knock them back for a short duration.	Lightning Storm	Huaxu creates 7 circular lightning zones near the enemies, damaging any enemy caught within.	Claw of Expulsion	Huaxu swings her arms to claw at the enemies in mid range.																	
30001211	Mb1MelodyhuaxuMd10001	Huaxu	200000				80000	96000	24000	6	Hidden	HIDE	0	1	420013		90012	90013							Infinite	60s continuous challenge. Once the boss is defeated, it will respawn with increased HP for up to 10 times.	Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Inception	Huaxu puts her palms together to channel two giant hands from her M.I.N.D. that slap the enemies.	Origin	After channeling, Huaxu launches 3 consecutive attacks under her enemies that also knock them back for a short duration.	Lightning Storm	Huaxu creates 7 circular lightning zones near the enemies, damaging any enemy caught within.	Claw of Expulsion	Huaxu swings her arms to claw at the enemies in mid range.															
30001301	Mb1JiabailieMd000001	Gabriel	12500				5000	6000	1500	1	Test	TEST	1	1			90014	90015							Envoy	Gabriel charges toward the enemy, dealing damage.	Retribution	Gabriel slams his arms down, dealing large damage.	Reprimand	Gabriel swings his arms to strike the enemy.	Baptism	Gabriel makes a sweeping attack with his arms, damaging all the enemies within the range.	Worship	Gabriel dives from the sky, slamming the ground with his explosive fists to deal area damage.	Pilgrimage	Gabriel teleports multiple times toward the enemy's location, damaging all the enemies caught by his attacks.	Majestic Light	Gabriel locks on the enemy and fires his modified energy cannon, dealing damage.													
30001302	Mb1JiabailieMd000001	Gabriel	25000				10000	12000	3000	2	Elite	ELITES	1	1			90014	90015							Envoy	Gabriel charges toward the enemy, dealing damage.	Retribution	Gabriel slams his arms down, dealing large damage.	Reprimand	Gabriel swings his arms to strike the enemy.	Baptism	Gabriel makes a sweeping attack with his arms, damaging all the enemies within the range.	Worship	Gabriel dives from the sky, slamming the ground with his explosive fists to deal area damage.	Pilgrimage	Gabriel teleports multiple times toward the enemy's location, damaging all the enemies caught by his attacks.	Majestic Light	Gabriel locks on the enemy and fires his modified energy cannon, dealing damage.													
30001303	Mb1JiabailieMd000001	Gabriel	50000				20000	24000	6000	3	Knight	KNIGHT	1	1			90014	90015							Envoy	Gabriel charges toward the enemy, dealing damage.	Retribution	Gabriel slams his arms down, dealing large damage.	Reprimand	Gabriel swings his arms to strike the enemy.	Baptism	Gabriel makes a sweeping attack with his arms, damaging all the enemies within the range.	Worship	Gabriel dives from the sky, slamming the ground with his explosive fists to deal area damage.	Pilgrimage	Gabriel teleports multiple times toward the enemy's location, damaging all the enemies caught by his attacks.	Majestic Light	Gabriel locks on the enemy and fires his modified energy cannon, dealing damage.													
30001304	Mb1JiabailieMd000001	Gabriel	100000				40000	48000	12000	4	Chaos	CHAOS	0	1			90014	90015							Envoy	Gabriel charges toward the enemy, dealing damage.	Retribution	Gabriel slams his arms down, dealing large damage.	Reprimand	Gabriel swings his arms to strike the enemy.	Baptism	Gabriel makes a sweeping attack with his arms, damaging all the enemies within the range.	Worship	Gabriel dives from the sky, slamming the ground with his explosive fists to deal area damage.	Pilgrimage	Gabriel teleports multiple times toward the enemy's location, damaging all the enemies caught by his attacks.	Majestic Light	Gabriel locks on the enemy and fires his modified energy cannon, dealing damage.													
30001305	Mb1JiabailieMd000001	Gabriel	200000				80000	96000	24000	5	Hell	HELL	0	1			90014	90015							Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Envoy	Gabriel charges toward the enemy, dealing damage.	Retribution	Gabriel slams his arms down, dealing large damage.	Reprimand	Gabriel swings his arms to strike the enemy.	Baptism	Gabriel makes a sweeping attack with his arms, damaging all the enemies within the range.	Worship	Gabriel dives from the sky, slamming the ground with his explosive fists to deal area damage.	Pilgrimage	Gabriel teleports multiple times toward the enemy's location, damaging all the enemies caught by his attacks.	Majestic Light	Gabriel locks on the enemy and fires his modified energy cannon, dealing damage.											
30001311	Mb1JiabailieMd000001	Gabriel	200000				80000	96000	24000	6	Hidden	HIDE	0	1	420014		90014	90015							Infinite	60s continuous challenge. Once the boss is defeated, it will respawn with increased HP for up to 10 times.	Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Envoy	Gabriel charges toward the enemy, dealing damage.	Retribution	Gabriel slams his arms down, dealing large damage.	Reprimand	Gabriel swings his arms to strike the enemy.	Baptism	Gabriel makes a sweeping attack with his arms, damaging all the enemies within the range.	Worship	Gabriel dives from the sky, slamming the ground with his explosive fists to deal area damage.	Pilgrimage	Gabriel teleports multiple times toward the enemy's location, damaging all the enemies caught by his attacks.	Majestic Light	Gabriel locks on the enemy and fires his modified energy cannon, dealing damage.									
30300101	Me1SwordMd002001	Musashi IX	21000				7500	11250	2250	1	Test	TEST	1	1			90000								Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.																							
30300102	Me1SwordMd002001	Musashi IX	42000				15000	22500	4500	2	Elite	ELITES	1	1			90000								Heart of Sword Mode	Musashi IX conceals his own form, leaving only a shadow behind, and unleashes a shockwave at the enemy.	Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.																					
30300103	Me1SwordMd002001	Musashi IX	84000				30000	45000	9000	3	Knight	KNIGHT	1	1			90000								Blade Shockwave	Musashi IX unleashes multiple shockwaves at an enemy from multiple directions.	Heart of Sword Mode	Musashi IX conceals his own form, leaving only a shadow behind, and unleashes a shockwave at the enemy.	Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.																			
30300104	Me1SwordMd002001	Musashi IX	168000				60000	90000	18000	4	Chaos	CHAOS	0	1			90000								Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Blade Shockwave	Musashi IX unleashes multiple shockwaves at an enemy from multiple directions.	Heart of Sword Mode	Musashi IX conceals his own form, leaving only a shadow behind, and unleashes a shockwave at the enemy.	Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.																	
30300105	Me1SwordMd002001	Musashi IX	336000				120000	180000	36000	5	Hell	HELL	0	1			90000								Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Blade Shockwave	Musashi IX unleashes multiple shockwaves at an enemy from multiple directions.	Heart of Sword Mode	Musashi IX conceals his own form, leaving only a shadow behind, and unleashes a shockwave at the enemy.	Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.																	
30300201	Mb1OrphanMd030001	Nozzle	21000				7500	11250	2250	1	Test	TEST	1	1			90001	90002							Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.	Spray	Sprays the ground with ice, which deals damage over time to enemies.																					
30300202	Mb1OrphanMd030001	Nozzle	42000				15000	22500	4500	2	Elite	ELITES	1	1			90001	90002							Jump Smash	Smashes the ground multiple times, dealing area damage.	Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.	Spray	Sprays the ground with ice, which deals damage over time to enemies.																			
30300203	Mb1OrphanMd030001	Nozzle	84000				30000	45000	9000	3	Knight	KNIGHT	1	1			90001	90002							Jump Smash	Smashes the ground multiple times, dealing area damage.	Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.	Spray	Sprays the ground with ice, which deals damage over time to enemies.																			
30300204	Mb1OrphanMd030001	Nozzle	168000				60000	90000	18000	4	Chaos	CHAOS	0	1			90001	90002							Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Boosted Spray	Sprays the ground with ice, which deals damage over time to enemies. Ice duration extended	Jump Smash	Smashes the ground multiple times, dealing area damage.	Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.	Reinforcements	Call upon Jitterbombs to defeat the enemies															
30300205	Mb1OrphanMd030001	Nozzle	336000				120000	180000	36000	5	Hell	HELL	0	1			90001	90002							Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Boosted Spray	Sprays the ground with ice, which deals damage over time to enemies. Ice duration extended	Jump Smash	Smashes the ground multiple times, dealing area damage.	Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.	Reinforcements	Call upon Jitterbombs to defeat the enemies															
30300301	Mb1LuolanMd010001	Roland	21000				7500	11250	2250	1	Test	TEST	1	1			90003	90004							Open Fire	Roland fires his shotgun at an enemy.	Step Slash	Roland leaps in front and swipes at the enemy.	Bullet Kick	Roland kicks the enemy multiple times, dealing damage and knocking them away.																					
30300302	Mb1LuolanMd010001	Roland	42000				15000	22500	4500	2	Elite	ELITES	1	1			90003	90004							Scythe Form	Roland swings his chain blade, unleashing a powerful shockwave.	Open Fire	Roland fires his shotgun at an enemy.	Step Slash	Roland leaps in front and swipes at the enemy.	Bullet Kick	Roland kicks the enemy multiple times, dealing damage and knocking them away.																			
30300303	Mb1LuolanMd010001	Roland	84000				30000	45000	9000	3	Knight	KNIGHT	1	1			90003	90004							Scythe Form	Roland swings his chain blade, unleashing a powerful shockwave.	Open Fire	Roland fires his shotgun at an enemy.	Step Slash	Roland leaps in front and swipes at the enemy.	Bullet Kick	Roland kicks the enemy multiple times, dealing damage and knocking them away.																			
30300304	Mb1LuolanMd010001	Roland	168000				60000	90000	18000	4	Chaos	CHAOS	0	1			90003	90004							Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Explosive Barrel	Roland hooks an explosive barrel and detonates it in mid-air, dealing heavy damage.	Flying Man	Roland pulls himself into the air with his chain blade, dropping powerful bombs on the enemy.	Scythe Form	Roland swings his chain blade, unleashing a powerful shockwave.	Open Fire	Roland fires his shotgun at an enemy.	Step Slash	Roland leaps in front and swipes at the enemy.	Bullet Kick	Roland kicks the enemy multiple times, dealing damage and knocking them away.													
30300305	Mb1LuolanMd010001	Roland	336000				120000	180000	36000	5	Hell	HELL	0	1			90003	90004							Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Explosive Barrel	Roland hooks an explosive barrel and detonates it in mid-air, dealing heavy damage.	Flying Man	Roland pulls himself into the air with his chain blade, dropping powerful bombs on the enemy.	Scythe Form	Roland swings his chain blade, unleashing a powerful shockwave.	Open Fire	Roland fires his shotgun at an enemy.	Step Slash	Roland leaps in front and swipes at the enemy.	Bullet Kick	Roland kicks the enemy multiple times, dealing damage and knocking them away.													
30300601	Mb1SandwormMd030001	Vassago II	21000				7500	11250	2250	1	Test	TEST	1	1			90005	90006							Fury Attack	Smashes the ground multiple times at the enemy.	Submerge	Digs underground, then emerges to deal heavy damage.	Air Blast	Fires an energy blast mixed with sand at an enemy.																					
30300602	Mb1SandwormMd030001	Vassago II	42000				15000	22500	4500	2	Elite	ELITES	1	1			90005	90006							Fury Attack	Smashes the ground multiple times at the enemy.	Submerge	Digs underground, then emerges to deal heavy damage.	Air Blast	Fires an energy blast mixed with sand at an enemy.																					
30300603	Mb1SandwormMd030001	Vassago II	84000				30000	45000	9000	3	Knight	KNIGHT	1	1			90005	90006							Ex Air Blast	Fires multiple energy blasts at the enemy.	Fury Attack	Smashes the ground multiple times at the enemy.	Submerge	Digs underground, then emerges to deal heavy damage.	Air Blast	Fires an energy blast mixed with sand at an enemy.																			
30300604	Mb1SandwormMd030001	Vassago II	168000				60000	90000	18000	4	Chaos	CHAOS	0	1			90005	90006							Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Sandstorm	Charges energy to create a sandstorm that continuously deals damage.	Ex Air Blast	Fires multiple energy blasts at the enemy.	Fury Attack	Smashes the ground multiple times at the enemy.	Submerge	Digs underground, then emerges to deal heavy damage.	Air Blast	Fires an energy blast mixed with sand at an enemy.															
30300605	Mb1SandwormMd030001	Vassago II	336000				120000	180000	36000	5	Hell	HELL	0	1			90005	90006							Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Sandstorm	Charges energy to create a sandstorm that continuously deals damage.	Ex Air Blast	Fires multiple energy blasts at the enemy.	Fury Attack	Smashes the ground multiple times at the enemy.	Submerge	Digs underground, then emerges to deal heavy damage.	Air Blast	Fires an energy blast mixed with sand at an enemy.															
30300501	Mb1LuxiyaMd000003	Unknown Construct α 	21000				7500	11250	2250	1	Test	TEST	1	1								1			Quick Slash	A quick slash that creates a shockwave front before self.	Z-Move	Zigzags to close the distance with an enemy.	Block	Holds up weapon to block some damage from attacks.	Quick Draw	Quickly draws sword to slash at the enemy.																			
30300502	Mb1LuxiyaMd000003	Unknown Construct α 	42000				15000	22500	4500	2	Elite	ELITES	1	1								1			Dodge	Dodge attacks from enemies.	Cross Slash	Unleashes a quick cross slash at enemies.	Quick Slash	A quick slash that creates a shockwave front before self.	Z-Move	Zigzags to close the distance with an enemy.	Block	Holds up weapon to block some damage from attacks.	Quick Draw	Quickly draws sword to slash at the enemy.															
30300503	Mb1LuxiyaMd000003	Unknown Construct α 	84000				30000	45000	9000	3	Knight	KNIGHT	1	1								1			Swordwave	Unleashes an air-bending sword wave at the enemy.	Dodge	Dodge attacks from enemies.	Cross Slash	Unleashes a quick cross slash at enemies.	Quick Slash	A quick slash that creates a shockwave front before self.	Z-Move	Zigzags to close the distance with an enemy.	Block	Holds up weapon to block some damage from attacks.	Quick Draw	Quickly draws sword to slash at the enemy.													
30300504	Mb1LuxiyaMd000003	Unknown Construct α 	168000				60000	90000	18000	4	Chaos	CHAOS	0	1								1			Wave Blast	Unleashes multiple air-bending sword waves at the enemy.	Swordwave	Unleashes an air-bending sword wave at the enemy.	Dodge	Dodge attacks from enemies.	Cross Slash	Unleashes a quick cross slash at enemies.	Quick Slash	A quick slash that creates a shockwave front before self.	Z-Move	Zigzags to close the distance with an enemy.	Block	Holds up weapon to block some damage from attacks.													
30300505	Mb1LuxiyaMd000003	Unknown Construct α 	336000				120000	180000	36000	5	Hell	HELL	0	1								1			Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Wave Blast	Unleashes multiple air-bending sword waves at the enemy.	Swordwave	Unleashes an air-bending sword wave at the enemy.	Dodge	Dodge attacks from enemies.	Z-Move	Zigzags to close the distance with an enemy.	Block	Holds up weapon to block some damage from attacks.	Cross Slash	Unleashes a quick cross slash at enemies.													
30300701	Mb1SwordMd030001	Roseblade	21000				7500	11250	2250	1	Test	TEST	1	1			90007	90008							Shadow Strike	Creates multiple shadows to impale the enemy, dealing heavy damage.	Devil's Kiss	Creates a rose-shaped energy field beneath the enemy, which explodes to deal damage.	Flash	Quickly closes the distance with the enemy and impales them.																					
30300702	Mb1SwordMd030001	Roseblade	42000				15000	22500	4500	2	Elite	ELITES	1	1			90007	90008							Three Flame Strikes	Imbues sword with fire, unleashing flaming shockwaves at nearby enemies.	Earth Flame	Creates a field of fire beneath the enemy, which explodes to deal damage.	Shadow Strike	Creates multiple shadows to impale the enemy, dealing heavy damage.	Devil's Kiss	Creates a rose-shaped energy field beneath the enemy, which explodes to deal damage.	Flash	Quickly closes the distance with the enemy and impales them.																	
30300703	Mb1SwordMd030001	Roseblade	84000				30000	45000	9000	3	Knight	KNIGHT	1	1			90007	90008							Corrupting Darkness	Hides in darkness before charging at the enemy, knocking them away.	Dark Swordwind	Unleashes a dark shockwave at a distant enemy.	Three Flame Strikes	Imbues sword with fire, unleashing flaming shockwaves at nearby enemies.	Earth Flame	Creates a field of fire beneath the enemy, which explodes to deal damage.	Shadow Strike	Creates multiple shadows to impale the enemy, dealing heavy damage.	Devil's Kiss	Creates a rose-shaped energy field beneath the enemy, which explodes to deal damage.	Flash	Quickly closes the distance with the enemy and impales them.													
30300704	Mb1SwordMd030001	Roseblade	168000				60000	90000	18000	4	Chaos	CHAOS	0	1			90007	90008							Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Corrupting Darkness	Hides in darkness before charging at the enemy, knocking them away.	Dark Swordwind	Unleashes a dark shockwave at a distant enemy.	Three Flame Strikes	Imbues sword with fire, unleashing flaming shockwaves at nearby enemies.	Earth Flame	Creates a field of fire beneath the enemy, which explodes to deal damage.	Shadow Strike	Creates multiple shadows to impale the enemy, dealing heavy damage.	Devil's Kiss	Creates a rose-shaped energy field beneath the enemy, which explodes to deal damage.													
30300705	Mb1SwordMd030001	Roseblade	336000				120000	180000	36000	5	Hell	HELL	0	1			90007	90008							Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Corrupting Darkness	Hides in darkness before charging at the enemy, knocking them away.	Dark Swordwind	Unleashes a dark shockwave at a distant enemy.	Three Flame Strikes	Imbues sword with fire, unleashing flaming shockwaves at nearby enemies.	Earth Flame	Creates a field of fire beneath the enemy, which explodes to deal damage.	Shadow Strike	Creates multiple shadows to impale the enemy, dealing heavy damage.	Devil's Kiss	Creates a rose-shaped energy field beneath the enemy, which explodes to deal damage.													
30300401	Mb1VirginbioMd030001	Iron Maiden	21000				7500	11250	2250	1	Test	TEST	1	1			90009	90010							Advancing Thorn	Iron Maiden moves towards the enemy, and creates thorns beneath the target.	Retreating Thorn	Iron Maiden moves away from the enemy, and creates thorns beneath the target.	Spin	Iron Maiden fires powerful thorn missiles at nearby enemies.	Chain Bomb	Iron Maiden removes her crown and fires multiple spherical bombs at the enemy.																			
30300402	Mb1VirginbioMd030001	Iron Maiden	42000				15000	22500	4500	2	Elite	ELITES	1	1			90009	90010							Advancing Thorn	Iron Maiden moves towards the enemy, and creates thorns beneath the target.	Retreating Thorn	Iron Maiden moves away from the enemy, and creates thorns beneath the target.	Spin	Iron Maiden fires powerful thorn missiles at nearby enemies.	Chain Bomb	Iron Maiden removes her crown and fires multiple spherical bombs at the enemy.																			
30300403	Mb1VirginbioMd030001	Iron Maiden	84000				30000	45000	9000	3	Knight	KNIGHT	1	1			90009	90010							Thorn Hell	Iron Maiden fires numerous thorns at the enemy.	Projectile	Iron Maiden throws multiple spherical bombs at the enemy.	Spin	Iron Maiden fires powerful thorn missiles at nearby enemies.	Chain Bomb	Iron Maiden removes her crown and fires multiple spherical bombs at the enemy.	Retreating Thorn	Iron Maiden moves away from the enemy, and creates thorns beneath the target.	Piercing Scream	Iron Maiden screams painfully, dealing damage to nearby targets.															
