Id	Cvs[1]	Cvs[2]	Cvs[3]	Cvs[4]	CvContent[1]	CvContent[2]	CvContent[3]	CvContent[4]
1021063	1021063	2021063	3021063	4021063	Don't touch my tail—that's the blade... You are just daft, aren't you...? Whatever.	Don't touch my tail—that's the blade... You are just daft, aren't you...? Whatever.	Don't touch my tail—that's the blade... You are just daft, aren't you...? Whatever.	Don't touch my tail—that's the blade... You are just daft, aren't you...? Whatever.
1021064	1021064	2021064	3021064	4021064	I liked this world, once.	I liked this world, once.	I liked this world, once.	I liked this world, once.
1021065	1021065	2021065	3021065	4021065	You gazed at the abyss. There's no turning back.	You gazed at the abyss. There's no turning back.	You gazed at the abyss. There's no turning back.	You gazed at the abyss. There's no turning back.
1021066	1021066	2021066	3021066	4021066	Being an Ascendant does not bind me. What about you? Must you be bound to being a commandant?	Being an Ascendant does not bind me. What about you? Must you be bound to being a commandant?	Being an Ascendant does not bind me. What about you? Must you be bound to being a commandant?	Being an Ascendant does not bind me. What about you? Must you be bound to being a commandant?
1021067	1021067	2021067	3021067	4021067	The past and the future are pointless. There is only the present—the present, you and me. Got it?	The past and the future are pointless. There is only the present—the present, you and me. Got it?	The past and the future are pointless. There is only the present—the present, you and me. Got it?	The past and the future are pointless. There is only the present—the present, you and me. Got it?
1021068	1021068	2021068	3021068	4021068	Why would an Ascendant kill the Corrupted? Because of you.	Why would an Ascendant kill the Corrupted? Because of you.	Why would an Ascendant kill the Corrupted? Because of you.	Why would an Ascendant kill the Corrupted? Because of you.
1021069	1021069	2021069	3021069	4021069	When all has come to an end, at least let me...	When all has come to an end, at least let me...	When all has come to an end, at least let me...	When all has come to an end, at least let me...
1021070	1021070	2021070	3021070	4021070	...Not here? Fine.	...Not here? Fine.	...Not here? Fine.	...Not here? Fine.
1021071	1021071	2021071	3021071	4021071	You want me to hack this place to pieces?	You want me to hack this place to pieces?	You want me to hack this place to pieces?	You want me to hack this place to pieces?
1021072	1021072	2021072	3021072	4021072	Come out. It's not Babylonia break time yet, is it?	Come out. It's not Babylonia break time yet, is it?	Come out. It's not Babylonia break time yet, is it?	Come out. It's not Babylonia break time yet, is it?
1021073	1021073	2021073	3021073	4021073	I've waited long enough. How long do you plan to keep me standing here?	I've waited long enough. How long do you plan to keep me standing here?	I've waited long enough. How long do you plan to keep me standing here?	I've waited long enough. How long do you plan to keep me standing here?
1021074	1021074	2021074	3021074	4021074	I'm tired. Let's call it for today.	I'm tired. Let's call it for today.	I'm tired. Let's call it for today.	I'm tired. Let's call it for today.
1021075	1021075	2021075	3021075	4021075	You are just like a machine... Don't you ever get tired?	You are just like a machine... Don't you ever get tired?	You are just like a machine... Don't you ever get tired?	You are just like a machine... Don't you ever get tired?
1021076	1021076	2021076	3021076	4021076	Still grinding at it this time of day? Well, I'm not stopping you.	Still grinding at it this time of day? Well, I'm not stopping you.	Still grinding at it this time of day? Well, I'm not stopping you.	Still grinding at it this time of day? Well, I'm not stopping you.
1021077	1021077	2021077	3021077	4021077	Let's continue our relationship.	Let's continue our relationship.	Let's continue our relationship.	Let's continue our relationship.
1021078	1021078	2021078	3021078	4021078	As an Ascendant, I don't have time to waste. Have you decided today's itinerary?	As an Ascendant, I don't have time to waste. Have you decided today's itinerary?	As an Ascendant, I don't have time to waste. Have you decided today's itinerary?	As an Ascendant, I don't have time to waste. Have you decided today's itinerary?
1021079	1021079	2021079	3021079	4021079	You're finally here. Go destroy your enemies.	You're finally here. Go destroy your enemies.	You're finally here. Go destroy your enemies.	You're finally here. Go destroy your enemies.
1021080	1021080	2021080	3021080	4021080	How many days have we been meeting like this? You always look the same. Well, whatever.	How many days have we been meeting like this? You always look the same. Well, whatever.	How many days have we been meeting like this? You always look the same. Well, whatever.	How many days have we been meeting like this? You always look the same. Well, whatever.
1021081	1021081	2021081	3021081	4021081	I have plenty of time. So you're staying here with me, until I say you can go.	I have plenty of time. So you're staying here with me, until I say you can go.	I have plenty of time. So you're staying here with me, until I say you can go.	I have plenty of time. So you're staying here with me, until I say you can go.
1021082	1021082	2021082	3021082	4021082	...Try it again and you'll be in several pieces.	...Try it again and you'll be in several pieces.	...Try it again and you'll be in several pieces.	...Try it again and you'll be in several pieces.
1021083	1021083	2021083	3021083	4021083	Tch. I hate these silly balance games.	Tch. I hate these silly balance games.	Tch. I hate these silly balance games.	Tch. I hate these silly balance games.
1021084	1021084	2021084	3021084	4021084	Hardly a challenge. I can use my tail to support me.	Hardly a challenge. I can use my tail to support me.	Hardly a challenge. I can use my tail to support me.	Hardly a challenge. I can use my tail to support me.
1021085	1021085	2021085	3021085	4021085	Do you think you can hurt me this way?	Do you think you can hurt me this way?	Do you think you can hurt me this way?	Do you think you can hurt me this way?
1021086	1021086	2021086	3021086	4021086	Stop touching!	Stop touching!	Stop touching!	Stop touching!
1021087	1021087	2021087	3021087	4021087	One day, you will regret it...	One day, you will regret it...	One day, you will regret it...	One day, you will regret it...
1021088	1021088	2021088	3021088	4021088	Babylonia sent some supplies over... Hmph, it'd better not be some trap.	Babylonia sent some supplies over... Hmph, it'd better not be some trap.	Babylonia sent some supplies over... Hmph, it'd better not be some trap.	Babylonia sent some supplies over... Hmph, it'd better not be some trap.
1021089	1021089	2021089	3021089	4021089	Nothing left to do? Then go report to your higher-ups.	Nothing left to do? Then go report to your higher-ups.	Nothing left to do? Then go report to your higher-ups.	Nothing left to do? Then go report to your higher-ups.
1021090	1021090	2021090	3021090	4021090	Hmph.	Hmph.	Hmph.	Hmph.
1021091	1021091	2021091	3021091	4021091	Heh...	Heh...	Heh...	Heh...
1021092	1021092	2021092	3021092	4021092	So?	So?	So?	So?
1021093	1021093	2021093	3021093	4021093	Tch...	Tch...	Tch...	Tch...
1021094	1021094	2021094	3021094	4021094	I don't understand.	I don't understand.	I don't understand.	I don't understand.
1022001	1022001	2022001	3022001	4022001	I am Lucia, and you're my commandant. That's all I need. Let's walk forth together, Commandant.	I am Lucia, and you're my commandant. That's all I need. Let's walk forth together, Commandant.	I am Lucia, and you're my commandant. That's all I need. Let's walk forth together, Commandant.	I am Lucia, and you're my commandant. That's all I need. Let's walk forth together, Commandant.
1022002	1022002	2022002	3022002	4022002	Getting used to the original memories isn't easy, but I'll try.	Getting used to the original memories isn't easy, but I'll try.	Getting used to the original memories isn't easy, but I'll try.	Getting used to the original memories isn't easy, but I'll try.
1022003	1022003	2022003	3022003	4022003	Experience is strength... I'll remember that.	Experience is strength... I'll remember that.	Experience is strength... I'll remember that.	Experience is strength... I'll remember that.
1022004	1022004	2022004	3022004	4022004	The functions of this frame will be our first and final trump card.	The functions of this frame will be our first and final trump card.	The functions of this frame will be our first and final trump card.	The functions of this frame will be our first and final trump card.
1022005	1022005	2022005	3022005	4022005	I'll get used to this frame.	I'll get used to this frame.	I'll get used to this frame.	I'll get used to this frame.
1022006	1022006	2022006	3022006	4022006	I know you must be right, Commandant. I'll put this to good use.	I know you must be right, Commandant. I'll put this to good use.	I know you must be right, Commandant. I'll put this to good use.	I know you must be right, Commandant. I'll put this to good use.
1022007	1022007	2022007	3022007	4022007	Let's go. Victory will be ours.	Let's go. Victory will be ours.	Let's go. Victory will be ours.	Let's go. Victory will be ours.
1022008	1022008	2022008	3022008	4022008	Understood. I'll lead the others just like before.	Understood. I'll lead the others just like before.	Understood. I'll lead the others just like before.	Understood. I'll lead the others just like before.
1022009	1022009	2022009	3022009	4022009	My memories are a bit muddled... but it shouldn't affect the missions.	My memories are a bit muddled... but it shouldn't affect the missions.	My memories are a bit muddled... but it shouldn't affect the missions.	My memories are a bit muddled... but it shouldn't affect the missions.
1022010	1022010	2022010	3022010	4022010	The thruster is quite hard to control. Would replacing it with wings be better?	The thruster is quite hard to control. Would replacing it with wings be better?	The thruster is quite hard to control. Would replacing it with wings be better?	The thruster is quite hard to control. Would replacing it with wings be better?
1022011	1022011	2022011	3022011	4022011	I might... act weird without realizing it. Please bear with me, Commandant.	I might... act weird without realizing it. Please bear with me, Commandant.	I might... act weird without realizing it. Please bear with me, Commandant.	I might... act weird without realizing it. Please bear with me, Commandant.
1022012	1022012	2022012	3022012	4022012	Gray Raven... I never thought I'd get to know a squad three times... Such a peculiar feeling.	Gray Raven... I never thought I'd get to know a squad three times... Such a peculiar feeling.	Gray Raven... I never thought I'd get to know a squad three times... Such a peculiar feeling.	Gray Raven... I never thought I'd get to know a squad three times... Such a peculiar feeling.
1022013	1022013	2022013	3022013	4022013	I have my past memory data, but to become part of the squad again... I still find it quite difficult.	I have my past memory data, but to become part of the squad again... I still find it quite difficult.	I have my past memory data, but to become part of the squad again... I still find it quite difficult.	I have my past memory data, but to become part of the squad again... I still find it quite difficult.
1022014	1022014	2022014	3022014	4022014	We are all Constructs with different personalities. I am not inferior to them, right?	We are all Constructs with different personalities. I am not inferior to them, right?	We are all Constructs with different personalities. I am not inferior to them, right?	We are all Constructs with different personalities. I am not inferior to them, right?
1022015	1022015	2022015	3022015	4022015	Everything will become memories... within my M.I.N.D.	Everything will become memories... within my M.I.N.D.	Everything will become memories... within my M.I.N.D.	Everything will become memories... within my M.I.N.D.
1022016	1022016	2022016	3022016	4022016	What am I doing? I am recording this moment. Please pay me no heed.	What am I doing? I am recording this moment. Please pay me no heed.	What am I doing? I am recording this moment. Please pay me no heed.	What am I doing? I am recording this moment. Please pay me no heed.
1022017	1022017	2022017	3022017	4022017	If only peace would come faster, then we could go on a trip together.	If only peace would come faster, then we could go on a trip together.	If only peace would come faster, then we could go on a trip together.	If only peace would come faster, then we could go on a trip together.
1022018	1022018	2022018	3022018	4022018	I did not change, neither did you, Commandant. It was only the ties between us that did.	I did not change, neither did you, Commandant. It was only the ties between us that did.	I did not change, neither did you, Commandant. It was only the ties between us that did.	I did not change, neither did you, Commandant. It was only the ties between us that did.
1022019	1022019	2022019	3022019	4022019	No matter how many times, I will always choose the same. I'll be by your side. That is our promise.	No matter how many times, I will always choose the same. I'll be by your side. That is our promise.	No matter how many times, I will always choose the same. I'll be by your side. That is our promise.	No matter how many times, I will always choose the same. I'll be by your side. That is our promise.
1022020	1022020	2022020	3022020	4022020	Plumes are feathers that ravens shed mid-flight. They symbolize the history we share, and are the tokens of our cause. Do you like the current me, Commandant?	Plumes are feathers that ravens shed mid-flight. They symbolize the history we share, and are the tokens of our cause. Do you like the current me, Commandant?	Plumes are feathers that ravens shed mid-flight. They symbolize the history we share, and are the tokens of our cause. Do you like the current me, Commandant?	Plumes are feathers that ravens shed mid-flight. They symbolize the history we share, and are the tokens of our cause. Do you like the current me, Commandant?
1022021	1022021	2022021	3022021	4022021	Being with you helps me familiarize myself with my past.	Being with you helps me familiarize myself with my past.	Being with you helps me familiarize myself with my past.	Being with you helps me familiarize myself with my past.
1022022	1022027	2022022	3022022	4022022	Thank you, Commandant.	Thank you, Commandant.	Thank you, Commandant.	Thank you, Commandant.
1022023	1022022	2022023	3022023	4022023	Let's try to return to our old relationship slowly, Commandant.	Let's try to return to our old relationship slowly, Commandant.	Let's try to return to our old relationship slowly, Commandant.	Let's try to return to our old relationship slowly, Commandant.
1022024	1022028	2022024	3022024	4022024	Did the previous me like this?	Did the previous me like this?	Did the previous me like this?	Did the previous me like this?
1022025	1022023	2022025	3022025	4022025	Calling each other by names... might be rushing things too much, but... Thank you, Commandant.	Calling each other by names... might be rushing things too much, but... Thank you, Commandant.	Calling each other by names... might be rushing things too much, but... Thank you, Commandant.	Calling each other by names... might be rushing things too much, but... Thank you, Commandant.
1022026	1022029	2022026	3022026	4022026	I think I'm growing to like this…	I think I'm growing to like this…	I think I'm growing to like this…	I think I'm growing to like this…
1022027	1022024	2022027	3022027	4022027	I have my past memories in my M.I.N.D., but it'd be nice to experience it again... Ah, nothing, Commandant.	I have my past memories in my M.I.N.D., but it'd be nice to experience it again... Ah, nothing, Commandant.	I have my past memories in my M.I.N.D., but it'd be nice to experience it again... Ah, nothing, Commandant.	I have my past memories in my M.I.N.D., but it'd be nice to experience it again... Ah, nothing, Commandant.
1022028	1022030	2022028	3022028	4022028	I think I know why I... came to like this.	I think I know why I... came to like this.	I think I know why I... came to like this.	I think I know why I... came to like this.
1022029	1022025	2022029	3022029	4022029	Perhaps now I am more involved than before. Please give me more time, Commandant.	Perhaps now I am more involved than before. Please give me more time, Commandant.	Perhaps now I am more involved than before. Please give me more time, Commandant.	Perhaps now I am more involved than before. Please give me more time, Commandant.
1022030	1022031	2022030	3022030	4022030	Tagging all my presents with dates is now my favorite pastime.	Tagging all my presents with dates is now my favorite pastime.	Tagging all my presents with dates is now my favorite pastime.	Tagging all my presents with dates is now my favorite pastime.
1022031	1022026	2022031	3022031	4022031	Is this what they call love...? I won't ever, ever forget it again, Commandant.	Is this what they call love...? I won't ever, ever forget it again, Commandant.	Is this what they call love...? I won't ever, ever forget it again, Commandant.	Is this what they call love...? I won't ever, ever forget it again, Commandant.
1022032	1022032	2022032	3022032	4022032	Will you hold my hand? That's my most desired, most meaningful present.	Will you hold my hand? That's my most desired, most meaningful present.	Will you hold my hand? That's my most desired, most meaningful present.	Will you hold my hand? That's my most desired, most meaningful present.
1022033	1022033	2022033	3022033	4022033	Where did you go?	Where did you go?	Where did you go?	Where did you go?
1022034	1022034	2022034	3022034	4022034	The old me should know where Commandant is...	The old me should know where Commandant is...	The old me should know where Commandant is...	The old me should know where Commandant is...
1022035	1022035	2022035	3022035	4022035	Hide-and-seek? Commandant isn't one to do something so childish. I'll have to gather the others for a search party...	Hide-and-seek? Commandant isn't one to do something so childish. I'll have to gather the others for a search party...	Hide-and-seek? Commandant isn't one to do something so childish. I'll have to gather the others for a search party...	Hide-and-seek? Commandant isn't one to do something so childish. I'll have to gather the others for a search party...
1022036	1022036	2022036	3022036	4022036	Commandant, you won't lose your memories like I did, but... can you answer me something?	Commandant, you won't lose your memories like I did, but... can you answer me something?	Commandant, you won't lose your memories like I did, but... can you answer me something?	Commandant, you won't lose your memories like I did, but... can you answer me something?
1022037	1022037	2022037	3022037	4022037	It's late now. Take a break from the missions, Commandant.	It's late now. Take a break from the missions, Commandant.	It's late now. Take a break from the missions, Commandant.	It's late now. Take a break from the missions, Commandant.
1022038	1022038	2022038	3022038	4022038	Commandant, you should go rest. Handle the remainder of your work after you get some sleep.	Commandant, you should go rest. Handle the remainder of your work after you get some sleep.	Commandant, you should go rest. Handle the remainder of your work after you get some sleep.	Commandant, you should go rest. Handle the remainder of your work after you get some sleep.
1022039	1022039	2022039	3022039	4022039	That'll be it today. To fulfill our promise, you need enough rest.	That'll be it today. To fulfill our promise, you need enough rest.	That'll be it today. To fulfill our promise, you need enough rest.	That'll be it today. To fulfill our promise, you need enough rest.
1022040	1022040	2022040	3022040	4022040	I'll still be here when you wake up. So go rest, Commandant.	I'll still be here when you wake up. So go rest, Commandant.	I'll still be here when you wake up. So go rest, Commandant.	I'll still be here when you wake up. So go rest, Commandant.
1022041	1022041	2022041	3022041	4022041	Let's learn about this frame together, Commandant.	Let's learn about this frame together, Commandant.	Let's learn about this frame together, Commandant.	Let's learn about this frame together, Commandant.
1022042	1022042	2022042	3022042	4022042	I've been waiting for you, Commandant.	I've been waiting for you, Commandant.	I've been waiting for you, Commandant.	I've been waiting for you, Commandant.
1022043	1022043	2022043	3022043	4022043	I've been waiting, Commandant. Let's go.	I've been waiting, Commandant. Let's go.	I've been waiting, Commandant. Let's go.	I've been waiting, Commandant. Let's go.
1022044	1022044	2022044	3022044	4022044	Good morning. We've unknowingly been through a lot together, Commandant.	Good morning. We've unknowingly been through a lot together, Commandant.	Good morning. We've unknowingly been through a lot together, Commandant.	Good morning. We've unknowingly been through a lot together, Commandant.
1022045	1022045	2022045	3022045	4022045	Should we try a new way of saying hello? I'm just joking, Commandant.	Should we try a new way of saying hello? I'm just joking, Commandant.	Should we try a new way of saying hello? I'm just joking, Commandant.	Should we try a new way of saying hello? I'm just joking, Commandant.
1022046	1022046	2022046	3022046	4022046	You're here. I'll remember to be here on time for you.	You're here. I'll remember to be here on time for you.	You're here. I'll remember to be here on time for you.	You're here. I'll remember to be here on time for you.
1022047	1022047	2022047	3022047	4022047	If you're going on a trip, can you bring me with you? I'll do anything, as long as I can be with you.	If you're going on a trip, can you bring me with you? I'll do anything, as long as I can be with you.	If you're going on a trip, can you bring me with you? I'll do anything, as long as I can be with you.	If you're going on a trip, can you bring me with you? I'll do anything, as long as I can be with you.
1022048	1022048	2022048	3022048	4022048	Ah... This is... you're trying to spook me? How should I react?	Ah... This is... you're trying to spook me? How should I react?	Ah... This is... you're trying to spook me? How should I react?	Ah... This is... you're trying to spook me? How should I react?
1022049	1022049	2022049	3022049	4022049	Um... the Plume model actually has flight capabilities, so this isn't really going to do anything.	Um... the Plume model actually has flight capabilities, so this isn't really going to do anything.	Um... the Plume model actually has flight capabilities, so this isn't really going to do anything.	Um... the Plume model actually has flight capabilities, so this isn't really going to do anything.
1022050	1022050	2022050	3022050	4022050	Is this Babylonia's weight training?...	Is this Babylonia's weight training?...	Is this Babylonia's weight training?...	Is this Babylonia's weight training?...
1022051	1022051	2022051	3022051	4022051	I don't dislike this, in fact... I think I can begin to like it.	I don't dislike this, in fact... I think I can begin to like it.	I don't dislike this, in fact... I think I can begin to like it.	I don't dislike this, in fact... I think I can begin to like it.
1022052	1022052	2022052	3022052	4022052	Only because it's you, Commandant, or I would have already cut that hand down.	Only because it's you, Commandant, or I would have already cut that hand down.	Only because it's you, Commandant, or I would have already cut that hand down.	Only because it's you, Commandant, or I would have already cut that hand down.
1022053	1022053	2022053	3022053	4022053	I... think I need some time for mental preparation.	I... think I need some time for mental preparation.	I... think I need some time for mental preparation.	I... think I need some time for mental preparation.
1022054	1022054	2022054	3022054	4022054	Judging from the previous logs, Babylonia should have rewards for you. Let's check it out, Commandant.	Judging from the previous logs, Babylonia should have rewards for you. Let's check it out, Commandant.	Judging from the previous logs, Babylonia should have rewards for you. Let's check it out, Commandant.	Judging from the previous logs, Babylonia should have rewards for you. Let's check it out, Commandant.
1022055	1022055	2022055	3022055	4022055	Gray Raven's performance will be recognized. Good work, Commandant.	Gray Raven's performance will be recognized. Good work, Commandant.	Gray Raven's performance will be recognized. Good work, Commandant.	Gray Raven's performance will be recognized. Good work, Commandant.
1022056	1022056	2022056	3022056	4022056	Mh-hm.	Mh-hm.	Mh-hm.	Mh-hm.
1022057	1022057	2022057	3022057	4022057	Haha.	Haha.	Haha.	Haha.
1022058	1022058	2022058	3022058	4022058	No way!	No way!	No way!	No way!
1022059	1022059	2022059	3022059	4022059	Why...	Why...	Why...	Why...
1022060	1022060	2022060	3022060	4022060	So it was...	So it was...	So it was...	So it was...
1022061	1022061	2022061	3022061	4022061	Raven flash!	Raven flash!	Raven flash!	Raven flash!
1022062	1022062	2022062	3022062	4022062	Take this!	Take this!	Take this!	Take this!
1022063	1022063	2022063	3022063	4022063	Out of the way!	Out of the way!	Out of the way!	Out of the way!
1022064	1022064	2022064	3022064	4022064	Be my blade, Plume!	Be my blade, Plume!	Be my blade, Plume!	Be my blade, Plume!
1022065	1022065	2022065	3022065	4022065	Is this all I have...?	Is this all I have...?	Is this all I have...?	Is this all I have...?
1022066	1022066	2022066	3022066	4022066	This isn't the end!	This isn't the end!	This isn't the end!	This isn't the end!
1022067	1022067	2022067	3022067	4022067	I won't forget. Ever.	I won't forget. Ever.	I won't forget. Ever.	I won't forget. Ever.
1022068	1022068	2022068	3022068	4022068	I shall pave a path!	I shall pave a path!	I shall pave a path!	I shall pave a path!
1022069	1022069	2022069	3022069	4022069	Let me protect you.	Let me protect you.	Let me protect you.	Let me protect you.
1022070	1022070	2022070	3022070	4022070	I'll be your wings, Commandant. Your orders, please.	I'll be your wings, Commandant. Your orders, please.	I'll be your wings, Commandant. Your orders, please.	I'll be your wings, Commandant. Your orders, please.
1022071	1022071	2022071	3022071	4022071	If only this were the last, Commandant.	If only this were the last, Commandant.	If only this were the last, Commandant.	If only this were the last, Commandant.
1022072	1022072	2022072	3022072	4022072	Raven flash!	Raven flash!	Raven flash!	Raven flash!
1022073	1022073	2022073	3022073	4022073	Take this!	Take this!	Take this!	Take this!
1022074	1022074	2022074	3022074	4022074	Out of the way!	Out of the way!	Out of the way!	Out of the way!
1022075	1022075	2022075	3022075	4022075	Is this all I have...?	Is this all I have...?	Is this all I have...?	Is this all I have...?
1022076	1022076	2022076	3022076	4022076	This isn't the end!	This isn't the end!	This isn't the end!	This isn't the end!
1022077	1022077	2022077	3022077	4022077	I shall pave a path!	I shall pave a path!	I shall pave a path!	I shall pave a path!
1022078	1022078	2022078	3022078	4022078	Let me protect you.	Let me protect you.	Let me protect you.	Let me protect you.
103001	103001	203001	303001	403001	Commandant... My name is Liv... I'll try to be of help.	Commandant... My name is Liv... I'll try to be of help.	Commandant... My name is Liv... I'll try to be of help.	Commandant... My name is Liv... I'll try to be of help.
103002	103002	203002	303002	403002	Okay.	Okay.	Okay.	Okay.
103003	103003	203003	303003	403003	Ah.	Ah.	Ah.	Ah.
103004	103004	203004	303004	403004	(Chuckles)	(Chuckles)	(Chuckles)	(Chuckles)
103005	103005	203005	303005	403005	No!	No!	No!	No!
103006	103006	203006	303006	403006	I'll keep trying.	I'll keep trying.	I'll keep trying.	I'll keep trying.
103007	103007	203007	303007	403007	I might not be as good as Lucia, but I'll try to catch up.	I might not be as good as Lucia, but I'll try to catch up.	I might not be as good as Lucia, but I'll try to catch up.	I might not be as good as Lucia, but I'll try to catch up.
103008	103008	203008	303008	403008	Am I now... a bit stronger?	Am I now... a bit stronger?	Am I now... a bit stronger?	Am I now... a bit stronger?
103009	103009	203009	303009	403009	My combat ability has improved... Commandant.	My combat ability has improved... Commandant.	My combat ability has improved... Commandant.	My combat ability has improved... Commandant.
103010	103010	203010	303010	403010	Is this really for me? If you say so, then... thanks.	Is this really for me? If you say so, then... thanks.	Is this really for me? If you say so, then... thanks.	Is this really for me? If you say so, then... thanks.
103011	103011	203011	303011	403011	You have new mail.	You have new mail.	You have new mail.	You have new mail.
103012	103012	203012	303012	403012	I'll keep trying my best!	I'll keep trying my best!	I'll keep trying my best!	I'll keep trying my best!
103013	103013	203013	303013	403013	I'm the... leader? I'll give it everything I've got!	I'm the... leader? I'll give it everything I've got!	I'm the... leader? I'll give it everything I've got!	I'm the... leader? I'll give it everything I've got!
103014	103014	203014	303014	403014	Commandant, please remember to claim your rewards after completing a mission.	Commandant, please remember to claim your rewards after completing a mission.	Commandant, please remember to claim your rewards after completing a mission.	Commandant, please remember to claim your rewards after completing a mission.
103015	103015	203015	303015	403015	The mission is complete and your reward is available. Please check for it.	The mission is complete and your reward is available. Please check for it.	The mission is complete and your reward is available. Please check for it.	The mission is complete and your reward is available. Please check for it.
103016	103016	203016	303016	403016	Good morning, Commandant. Make sure you eat at mealtimes, or else you'll have low blood sugar.	Good morning, Commandant. Make sure you eat at mealtimes, or else you'll have low blood sugar.	Good morning, Commandant. Make sure you eat at mealtimes, or else you'll have low blood sugar.	Good morning, Commandant. Make sure you eat at mealtimes, or else you'll have low blood sugar.
103017	103017	203017	303017	403017	According to my analysis, you need to take a break sometime between 12:00 and 1:30.	According to my analysis, you need to take a break sometime between 12:00 and 1:30.	According to my analysis, you need to take a break sometime between 12:00 and 1:30.	According to my analysis, you need to take a break sometime between 12:00 and 1:30.
103018	103018	203018	303018	403018	Please get some rest. I'll help Lucia protect the base.	Please get some rest. I'll help Lucia protect the base.	Please get some rest. I'll help Lucia protect the base.	Please get some rest. I'll help Lucia protect the base.
103019	103019	203019	303019	403019	If you've got any questions about HQ, please feel free to ask me.	If you've got any questions about HQ, please feel free to ask me.	If you've got any questions about HQ, please feel free to ask me.	If you've got any questions about HQ, please feel free to ask me.
103020	103020	203020	303020	403020	Lee has provided me with stats for your last battle. Please take a look.	Lee has provided me with stats for your last battle. Please take a look.	Lee has provided me with stats for your last battle. Please take a look.	Lee has provided me with stats for your last battle. Please take a look.
103021	103021	203021	303021	403021	I noticed that Lee sometimes stares at me... Have I done something wrong?	I noticed that Lee sometimes stares at me... Have I done something wrong?	I noticed that Lee sometimes stares at me... Have I done something wrong?	I noticed that Lee sometimes stares at me... Have I done something wrong?
103022	103022	203022	303022	403022	I may not fight as well as the others, but I'll always try my best!	I may not fight as well as the others, but I'll always try my best!	I may not fight as well as the others, but I'll always try my best!	I may not fight as well as the others, but I'll always try my best!
103023	103023	203023	303023	403023	Have you been staying up late reading again? I already warned you about that.	Have you been staying up late reading again? I already warned you about that.	Have you been staying up late reading again? I already warned you about that.	Have you been staying up late reading again? I already warned you about that.
103024	103024	203024	303024	403024	Lucia is a powerful Construct, and you... are a powerful human.	Lucia is a powerful Construct, and you... are a powerful human.	Lucia is a powerful Construct, and you... are a powerful human.	Lucia is a powerful Construct, and you... are a powerful human.
103025	103025	203025	303025	403025	When will I catch up to everyone else...?	When will I catch up to everyone else...?	When will I catch up to everyone else...?	When will I catch up to everyone else...?
103026	103026	203026	303026	403026	You promised me you'd go to bed early. Well... Did you?	You promised me you'd go to bed early. Well... Did you?	You promised me you'd go to bed early. Well... Did you?	You promised me you'd go to bed early. Well... Did you?
103027	103027	203027	303027	403027	Sorry for troubling you again. But if I can be of any help, I would be happy to oblige.	Sorry for troubling you again. But if I can be of any help, I would be happy to oblige.	Sorry for troubling you again. But if I can be of any help, I would be happy to oblige.	Sorry for troubling you again. But if I can be of any help, I would be happy to oblige.
103028	103028	203028	303028	403028	Don't worry, I'm here. I may not be able to hold my own, but I'll try my best to do so.	Don't worry, I'm here. I may not be able to hold my own, but I'll try my best to do so.	Don't worry, I'm here. I may not be able to hold my own, but I'll try my best to do so.	Don't worry, I'm here. I may not be able to hold my own, but I'll try my best to do so.
103029	103029	203029	303029	403029	I wonder what it was like when humans still roamed the Earth?	I wonder what it was like when humans still roamed the Earth?	I wonder what it was like when humans still roamed the Earth?	I wonder what it was like when humans still roamed the Earth?
103030	103030	203030	303030	403030	Have I been of any help? I'm training myself to get better at fighting...	Have I been of any help? I'm training myself to get better at fighting...	Have I been of any help? I'm training myself to get better at fighting...	Have I been of any help? I'm training myself to get better at fighting...
103031	103031	203031	303031	403031	Hm? You're afraid of the dark? In that case... I'll stay with you a bit longer.	Hm? You're afraid of the dark? In that case... I'll stay with you a bit longer.	Hm? You're afraid of the dark? In that case... I'll stay with you a bit longer.	Hm? You're afraid of the dark? In that case... I'll stay with you a bit longer.
103032	103032	203032	303032	403032	I-if it's possible, I'd love to watch the sunset and sunrise with you one day.	I-if it's possible, I'd love to watch the sunset and sunrise with you one day.	I-if it's possible, I'd love to watch the sunset and sunrise with you one day.	I-if it's possible, I'd love to watch the sunset and sunrise with you one day.
103033	103033	203033	303033	403033	Meeting you is the best thing that has ever happened to me.	Meeting you is the best thing that has ever happened to me.	Meeting you is the best thing that has ever happened to me.	Meeting you is the best thing that has ever happened to me.
103034	103034	203034	303034	403034	I will archive and record all the times we spent together.	I will archive and record all the times we spent together.	I will archive and record all the times we spent together.	I will archive and record all the times we spent together.
103035	103035	203035	303035	403035	There are a lot of things about you that I'd like to study further.	There are a lot of things about you that I'd like to study further.	There are a lot of things about you that I'd like to study further.	There are a lot of things about you that I'd like to study further.
103036	103036	203036	303036	403036	I'm acquiring more data about you, Commandant.	I'm acquiring more data about you, Commandant.	I'm acquiring more data about you, Commandant.	I'm acquiring more data about you, Commandant.
103037	103037	203037	303037	403037	Commandant, can you tell me a little more about yourself?	Commandant, can you tell me a little more about yourself?	Commandant, can you tell me a little more about yourself?	Commandant, can you tell me a little more about yourself?
103038	103038	203038	303038	403038	If it's you, I don't think I'd mind being a bit closer.	If it's you, I don't think I'd mind being a bit closer.	If it's you, I don't think I'd mind being a bit closer.	If it's you, I don't think I'd mind being a bit closer.
