Id	IndexId	UiName	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	ScaleX	ScaleY	ScaleZ
343	29	UiEquipBreakThrough	-0.55	0.3	1.2	0	-180	40	1	1	1
344	29	UiEquipResonanceSelect	-0.55	0.3	1.2	0	-180	40	1	1	1
345	29	UiEquipResonanceSelectAfter	1.6	1.3	-27.55	0	-180	40	1	1	1
346	29	UiEquipResonanceSkill	-0.55	0.3	1.2	0	-180	40	1	1	1
347	29	UiEquipStrengthen	-0.55	0.3	1.2	0	-180	40	1	1	1
348	29	UiDrawShow	-0.27	0.44	2.91	0	-180	40	1	1	1
349	29	UiDrawActivityShow	-0.27	0.44	2.91	18	-180	40	1	1	1
350	29	UiLottoShow	0	0	0	0	0	0	1	1	1
351	29	UiArchiveWeaponDetail	-0.4	0.2	1.4	0	-180	40	1	1	1
352	29	UiFashion	-0.55	0.3	1.2	0	-180	40	1	1	1
353	29	UiFashionDetail	-0.55	0.3	1.2	0	-180	40	1	1	1
354	30	UiEquipDetail	-0.4	0.56	1.5	-21.5	53	89	1	1	1
355	30	UiEquipBreakThrough	-0.4	0.56	1.5	-21.5	53	89	1	1	1
356	30	UiEquipResonanceSelect	-0.4	0.56	1.5	-21.5	53	89	1	1	1
357	30	UiEquipResonanceSelectAfter	1.9	1.6	-27.2	-21.5	81	89	1	1	1
358	30	UiEquipResonanceSkill	-0.4	0.56	1.5	-21.5	53	89	1	1	1
359	30	UiEquipStrengthen	-0.4	0.56	1.5	-21.5	53	89	1	1	1
360	30	UiDrawShow	0	0.82	3.98	-21.5	53	89	1	1	1
361	30	UiDrawActivityShow	0	0.82	3.98	-21.5	53	89	1	1	1
362	30	UiLottoShow	0	0	0	0	0	86	1	1	1
363	30	UiArchiveWeaponDetail	-0.25	0.45	2.55	-21.5	53	89	1	1	1
364	30	UiFashion	-0.4	0.56	1.5	-21.5	53	89	1	1	1
365	30	UiFashionDetail	-0.4	0.56	1.95	-21.5	53	89	1	1	1
366	31	UiEquipDetail	0.03	0	0.58	2.882	-28	2.6	1	1	1
367	31	UiEquipBreakThrough	0.03	0	0.58	2.882	-28	2.6	1	1	1
368	31	UiEquipResonanceSelect	0.03	0	0.58	2.882	-28	2.6	1	1	1
369	31	UiEquipResonanceSelectAfter	2.05	1.1	-28.2	0	28	-7.7	1	1	1
370	31	UiEquipResonanceSkill	0.03	0	0.58	2.882	-28	2.6	1	1	1
371	31	UiEquipStrengthen	0.03	0	0.58	2.882	-28	2.6	1	1	1
372	31	UiDrawShow	0.1	0.24	1.49	0	0	2.6	1	1	1
373	31	UiDrawActivityShow	0.1	0.24	1.49	0	0	2.6	1	1	1
374	31	UiLottoShow	0	0	0	0	0	0	1	1	1
375	31	UiArchiveWeaponDetail	0.1	-0.15	-0.758	0	-28	0	1	1	1
376	31	UiFashion	0.03	0.03	-1.8	2.882	-28	2.6	1	1	1
377	31	UiFashionDetail	0.03	0.03	-1.8	2.882	-28	2.6	1	1	1
378	32	UiEquipDetail	-0.2	0.2	1.25	-50	-135	-85	1	1	1
379	32	UiEquipBreakThrough	-0.2	0.2	1.25	-50	-135	-85	1	1	1
380	32	UiEquipResonanceSelect	-0.2	0.2	1.25	-50	-135	-85	1	1	1
381	32	UiEquipResonanceSelectAfter	2	1.31	-27.4	-50	-135	-85	1	1	1
382	32	UiEquipResonanceSkill	-0.2	0.06	1.25	-50	-135	-85	1	1	1
383	32	UiEquipStrengthen	-0.2	0.06	1.25	-50	-135	-85	1	1	1
384	32	UiDrawShow	0	0.45	2.9	-50	-135	-85	1	1	1
385	32	UiDrawActivityShow	0	0.45	2.9	-50	-135	-85	1	1	1
386	32	UiLottoShow	0	0	0	0	0	0	1	1	1
387	32	UiArchiveWeaponDetail	-0.1	0.1	1.25	-50	-135	-85	1	1	1
388	32	UiFashion	-0.2	0.2	1.25	-50	-135	-85	1	1	1
389	32	UiFashionDetail	-0.2	0.2	1.25	-50	-135	-85	1	1	1
390	33	UiEquipDetail	-0.4	0.1	2.5	35	145	0	1	1	1
391	33	UiEquipBreakThrough	-0.4	0.1	2.5	35	145	0	1	1	1
392	33	UiEquipResonanceSelect	-0.4	0.1	2.5	35	145	0	1	1	1
393	33	UiEquipResonanceSelectAfter	1.9	1.2	-26	35	145	0	1	1	1
394	33	UiEquipResonanceSkill	-0.4	0.1	2.5	35	145	0	1	1	1
395	33	UiEquipStrengthen	-0.4	0.1	2.5	35	145	0	1	1	1
396	33	UiDrawShow	0	0	11	0	0	-15	1.2	1.2	1.2
397	33	UiDrawActivityShow	0	0	11	0	0	-15	1.2	1.2	1.2
398	33	UiLottoShow	0	0	0	0	0	0	1	1	1
399	33	UiArchiveWeaponDetail	0	0	3.8	35	145	0	1	1	1
400	33	UiFashion	-0.4	0.1	2.5	35	145	0	1	1	1
401	33	UiFashionDetail	-0.4	0.1	2.5	35	145	0	1	1	1
402	34	UiEquipDetail	-0.56	0.2	1.9	300	120	-90	1	1	1
403	34	UiEquipBreakThrough	-0.56	0.2	1.9	300	120	-90	1	1	1
404	34	UiEquipResonanceSelect	-0.56	0.2	1.9	300	120	-90	1	1	1
405	34	UiEquipResonanceSelectAfter	1.8	1.3	-26.71	300	120	-90	1	1	1
406	34	UiEquipResonanceSkill	-0.56	0.2	1.9	300	120	-90	1	1	1
407	34	UiEquipStrengthen	-0.56	0.2	1.9	300	120	-90	1	1	1
408	34	UiDrawShow	0	0	11	300	120	-90	1.2	1.2	1.2
409	34	UiDrawActivityShow	0	0	11	300	120	-90	1.2	1.2	1.2
410	34	UiLottoShow	0	0	0	0	0	0	1	1	1
411	34	UiArchiveWeaponDetail	-0.3	0.1	3.8	300	120	-90	1	1	1
412	34	UiFashion	-0.4	0.2	1.9	300	120	-90	1	1	1
413	34	UiFashionDetail	-0.4	0.2	1.9	300	120	-90	1	1	1
414	1	UiNewDrawMain	0.05	0.2	1.2	0	0	0	1	1	1
415	2	UiNewDrawMain	0.4	0.35	3	110	-90	0	1	1	1
416	3	UiNewDrawMain	0.05	0.2	3	10	-90	0	1	1	1
417	4	UiNewDrawMain	-0.1	0.25	3.6	-80	-90	0	1	1	1
418	5	UiNewDrawMain	0.4	0.4	2.8	180	0	-20	1	1	1
419	6	UiNewDrawMain	0.6	0.45	4.8	0	0	20	1	1	1
420	7	UiNewDrawMain	0.1	0.2	5	0	0	20	1	1	1
421	8	UiNewDrawMain	0.15	0.38	2	180	0	-20	1	1	1
422	9	UiNewDrawMain	0	0.08	5.35	8	0	8	1	1	1
423	10	UiNewDrawMain	0	0.45	4.8	32	83	90	1	1	1
424	11	UiNewDrawMain	0	0.45	4.8	-48	-80	265	1	1	1
425	12	UiNewDrawMain	0	0.28	4.1	140	-90	180	0.7	0.7	0.7
426	13	UiNewDrawMain	0	0.34	5	50	-90	180	1	-1	1
427	14	UiNewDrawMain	0	0.2	1.3	-70	-90	-90	1	1	1
428	15	UiNewDrawMain	0	0.9	5	-25	-90	0	1	1	1
429	16	UiNewDrawMain	0	0.8	4	45	-190	-90	1	1	1
430	17	UiNewDrawMain	0	0.21	0.48	40	90	90	1	1	1
431	18	UiNewDrawMain	0	0.1	2.7	0	180	0	1	1	1
432	19	UiNewDrawMain	0	0	3.5	10	145	-25	1	1	1
433	20	UiNewDrawMain	0	0.37	3.1	150	90	0	1	1	1
434	21	UiNewDrawMain	0	-0.08	2.8	0	246	0	1	1	1
435	22	UiNewDrawMain	0	0	11	0	0	-15	1.2	1.2	1.2
436	23	UiNewDrawMain	0	-0.38	2.9	0	180	0	1	1	1
437	24	UiNewDrawMain	-0.1	-0.5	2.54	-70	90	0	1	1	1
438	25	UiNewDrawMain	-0.05	0.15	2.74	-59.8	-310.8	-31.1	1	1	1
439	26	UiNewDrawMain	-0.22	-0.45	4.58	-214.3	-89.18	93.7	1	1	1
440	27	UiNewDrawMain	-16.25	1.4	-16.43	15	-90	-180	1	1	1
441	28	UiNewDrawMain	0	0	0	0	0	0	1	1	1
442	29	UiNewDrawMain	0	0	0	0	0	0	1	1	1
443	30	UiNewDrawMain	0	0	0	0	0	0	1	1	1
444	31	UiNewDrawMain	0	0	0	0	0	0	1	1	1
445	32	UiNewDrawMain	0	0	0	0	0	0	1	1	1
446	33	UiNewDrawMain	0	0	0	0	0	0	1	1	1
447	34	UiNewDrawMain	0	0	0	0	0	0	1	1	1
448	99	UiNewDrawMain	1.2	0.2	4	50	0	20	1	1	1
449	1	UiDrawShowNew	-0.123	0.65	0.073	0	160	8	2.2	2.2	2.2
450	2	UiDrawShowNew	-0.4	0.6	0.09	110	-270	0	1	1	1
451	3	UiDrawShowNew	-0.1	0.578	-0.127	170	-100	180	1	1	1
452	4	UiDrawShowNew	-0.07	0.508	-0.09	-80	-80	0	1	1	1
453	5	UiDrawShowNew	-0.493	0.75	0.005	180	180	-20	1.3	1.3	1.3
454	6	UiDrawShowNew	-0.51	0.9	0.166	-180	36	-160	1	1	1
455	7	UiDrawShowNew	-0.137	0.65	-0.04	0	180	20	1	1	1
456	8	UiDrawShowNew	-0.362	0.8	-0.128	180	180	-30	2.2	2.2	2.2
457	9	UiDrawShowNew	0.25	0.78	-0.11	8	200	8	0.8	0.8	0.8
458	10	UiDrawShowNew	-0.69	0.85	-1	32	83	90	1	1	1
459	11	UiDrawShowNew	-0.06	0.93	-0.023	-50	80	-62	1	1	1
460	12	UiDrawShowNew	0	0	0	0	0	0	1	1	1
461	13	UiDrawShowNew	0	0.79	-0.67	125	270	0	1	1	1
462	14	UiDrawShowNew	0	0.65	2.1	-110	270	90	1	1	1
463	15	UiDrawShowNew	0	0	0	0	0	0	1	1	1
464	16	UiDrawShowNew	0	0	0	0	0	0	1	1	1
465	17	UiDrawShowNew	0	0.7	3	40	90	90	1	1	1
466	18	UiDrawShowNew	-0.02	0.34	1.34	0	0	0	1	1	1
467	19	UiDrawShowNew	-0.024	0.38	-0.029	10	305	-25	1	1	1
468	20	UiDrawShowNew	-0.032	0.789	-0.077	150	-82	0	1.3	1.3	1.3
469	21	UiDrawShowNew	0.016	0.12	1.2	0	60	0	1	1	1
470	22	UiDrawShowNew	0	0	1.15	6	180	0	1	1	1
471	23	UiDrawShowNew	-0.01	0.77	-0.13	-2.5	-9	-15	0.5	0.5	0.5
472	24	UiDrawShowNew	0	0.72	0	-122	-76	0	1	1	1
473	25	UiDrawShowNew	-0.08	0.44	-0.02	-56.58	-259	-9.6	1.8	1.8	1.8
474	26	UiDrawShowNew	0.015	0.2	0.149	28.4	102	-91.1	1	1	1
475	27	UiDrawShowNew	-0.688	0.7	-0.09	19.2	84	160	1	1	1
476	28	UiDrawShowNew	0	0.86	-0.34	-125	75	-90	1	1	1
477	29	UiDrawShowNew	-0.29	0.8	0.68	0	-180	40	1	1	1
478	30	UiDrawShowNew	-0.01	1.54	0.03	-21.5	-250	89	1.2	1.2	1.2
479	31	UiDrawShowNew	0.159	0.65	2.07	0	-10	0	1.2	1.2	1.2
480	32	UiDrawShowNew	0.08	0.712	-0.027	-50	100	-85	1	1	1
481	33	UiDrawShowNew	0	0.765	0	35	145	0	1	1	1
482	34	UiDrawShowNew	0.17	0.7	-0.2	-70	300	-90	1	1	1
90001	1	UiDrawNewYearActivityShow	0.05	0.2	1.2	0	0	0	1	1	1
90002	2	UiDrawNewYearActivityShow	0.4	0.35	3	110	-90	0	1	1	1
90003	3	UiDrawNewYearActivityShow	0.05	0.2	3	10	-90	0	1	1	1
90004	4	UiDrawNewYearActivityShow	-0.1	0.25	3.6	-80	-90	0	1	1	1
90005	5	UiDrawNewYearActivityShow	0.4	0.4	2.8	180	0	-20	1	1	1
90006	6	UiDrawNewYearActivityShow	0.6	0.45	4.8	0	0	20	1	1	1
90007	7	UiDrawNewYearActivityShow	0.1	0.2	5	0	0	20	1	1	1
90008	8	UiDrawNewYearActivityShow	0.15	0.38	2	180	0	-20	1	1	1
90009	9	UiDrawNewYearActivityShow	18.7	-14.1	-15.4	23	-847	182	1	1	1
90010	99	UiDrawNewYearActivityShow	1.2	0.2	4	50	0	20	1	1	1
