Id	Name	Type	Prefab	Score	StartMoveDirection	MoveType	MoveRange	MoveSpeed	BornDelay	DestoryTime	Weight	CarryStoneId	CatchEffect
355	Cat + Red Packet	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	283	39	9	6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
356	Gold Mine (S)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	1	1	2680	235	20	11	10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
357	Gold Mine (M)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	1	1	2680	194	0	13	100		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
358	Gold Mine (L)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600	1	1	2680	173	7	15	300		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
359	Diamond (Normal)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	1	1	2680	278	40	9	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
360	Diamond (Super)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	1	1	2680	274	16	9	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
361	Rock (S)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	1	1	2680	211	29	12	50		
362	Rock (M)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	1	1	2680	206	44	13	200		
363	Rock (L)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	1	1	2680	230	0	11	300		
364	Cat	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	251	42	10	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
365	Cat + Small Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	271	20	10	6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
366	Cat + Large Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	289	22	9	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
367	Cat + Hourglass	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	269	47	10	6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
368	Cat + Item Crate	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	289	48	9	6	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
369	Cat + Red Packet	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	282	31	9	6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
370	Gold Mine (S)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	1	1	2680	238	2	11	10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
371	Gold Mine (M)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	1	1	2680	191	1	14	100		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
372	Gold Mine (L)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600	1	1	2680	230	4	11	300		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
373	Diamond (Normal)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	1	1	2680	162	32	16	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
374	Diamond (Super)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	1	1	2680	223	32	12	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
375	Rock (S)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	1	1	2680	164	1	16	50		
376	Rock (M)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	1	1	2680	152	42	17	200		
377	Rock (L)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	1	1	2680	221	11	12	300		
378	Cat	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	295	26	9	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
379	Cat + Small Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	264	31	10	6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
380	Cat + Large Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	287	21	9	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
381	Cat + Hourglass	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	297	44	9	6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
382	Cat + Item Crate	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	273	48	9	6	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
383	Cat + Red Packet	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	248	28	10	6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
384	Gold Mine (S)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	-1	1	2680	160	0	16	10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
385	Gold Mine (M)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	-1	1	2680	212	19	12	100		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
386	Gold Mine (L)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600	-1	1	2680	168	1	15	300		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
387	Diamond (Normal)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	-1	1	2680	235	31	11	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
388	Diamond (Super)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	-1	1	2680	162	36	16	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
389	Rock (S)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	-1	1	2680	162	0	16	50		
390	Rock (M)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	-1	1	2680	217	50	12	200		
391	Rock (L)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	-1	1	2680	174	25	15	300		
392	Cat	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	264	30	10	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
393	Cat + Small Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	269	31	10	6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
394	Cat + Large Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	243	30	11	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
395	Cat + Hourglass	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	282	22	9	6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
396	Cat + Item Crate	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	255	40	10	6	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
397	Cat + Red Packet	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	280	36	9	6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
398	Gold Mine (S)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	-1	1	2680	220	9	12	10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
399	Gold Mine (M)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	-1	1	2680	188	24	14	100		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
400	Gold Mine (L)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600	-1	1	2680	236	18	11	300		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
401	Diamond (Normal)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	-1	1	2680	202	31	13	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
402	Diamond (Super)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	-1	1	2680	163	22	16	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
403	Rock (S)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	-1	1	2680	215	49	12	50		
404	Rock (M)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	-1	1	2680	233	37	11	200		
405	Rock (L)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	-1	1	2680	203	8	13	300		
406	Cat	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	293	36	9	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
407	Cat + Small Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	276	49	9	6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
408	Cat + Large Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	238	47	11	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
409	Cat + Hourglass	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	272	50	9	6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
410	Cat + Item Crate	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	281	30	9	6	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
411	Cat + Red Packet	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	285	39	9	6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
412	Gold Mine (S)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	1	1	2680	219	3	12	10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
413	Gold Mine (M)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	1	1	2680	225	0	11	100		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
414	Gold Mine (L)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600	1	1	2680	159	21	16	300		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
415	Diamond (Normal)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	1	1	2680	150	39	17	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
416	Diamond (Super)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	1	1	2680	151	37	17	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
417	Rock (S)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	1	1	2680	177	45	15	50		
418	Rock (M)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	1	1	2680	238	11	11	200		
419	Rock (L)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	1	1	2680	215	41	12	300		
420	Cat	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	238	34	11	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
421	Cat + Small Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	275	36	9	6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
422	Cat + Large Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	296	23	9	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
423	Cat + Hourglass	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	288	49	9	6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
424	Cat + Item Crate	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	249	28	10	6	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
425	Cat + Red Packet	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	299	24	9	6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
426	Gold Mine (S)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	1	1	2680	215	7	12	10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
427	Gold Mine (M)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	1	1	2680	192	5	13	100		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
428	Gold Mine (L)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600	1	1	2680	177	25	15	300		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
429	Diamond (Normal)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	1	1	2680	164	32	16	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
430	Diamond (Super)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	1	1	2680	260	39	10	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
431	Rock (S)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	1	1	2680	205	38	13	50		
432	Rock (M)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	1	1	2680	239	0	11	200		
433	Rock (L)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	1	1	2680	228	30	11	300		
434	Cat	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	296	27	9	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
435	Cat + Small Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	295	42	9	6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
436	Cat + Large Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	247	21	10	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
437	Cat + Hourglass	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	271	41	10	6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
438	Cat + Item Crate	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	284	20	9	6	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
439	Cat + Red Packet	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	284	27	9	6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
440	Gold Mine (S)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	-1	1	2680	236	7	11	10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
441	Gold Mine (M)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	-1	1	2680	224	16	11	100		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
442	Gold Mine (L)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600	-1	1	2680	201	25	13	300		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
443	Diamond (Normal)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	-1	1	2680	178	23	15	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
444	Diamond (Super)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	-1	1	2680	163	30	16	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
445	Rock (S)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	-1	1	2680	161	44	16	50		
446	Rock (M)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	-1	1	2680	233	12	11	200		
447	Rock (L)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	-1	1	2680	192	0	13	300		
448	Cat	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	302	25	8	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
449	Cat + Small Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	283	22	9	6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
450	Cat + Large Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	295	38	9	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
451	Cat + Hourglass	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	247	20	10	6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
452	Cat + Item Crate	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	265	27	10	6	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
453	Cat + Red Packet	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	301	38	8	6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
454	Gold Mine (S)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	-1	1	2680	201	20	13	10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
455	Gold Mine (M)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	-1	1	2680	203	9	13	100		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
456	Gold Mine (L)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600	-1	1	2680	169	0	15	300		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
457	Diamond (Normal)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	-1	1	2680	254	15	10	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
458	Diamond (Super)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	-1	1	2680	279	30	9	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
459	Rock (S)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	-1	1	2680	220	16	12	50		
460	Rock (M)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	-1	1	2680	214	9	12	200		
461	Rock (L)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	-1	1	2680	160	50	16	300		
462	Cat	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	267	32	10	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
463	Cat + Small Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	241	49	11	6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
464	Cat + Large Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	277	33	9	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
465	Cat + Hourglass	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	265	46	10	6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
466	Cat + Item Crate	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	261	34	10	6	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
467	Cat + Red Packet	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	247	20	10	6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
468	Gold Mine (S)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	1	1	2680	168	6	15	10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
469	Gold Mine (M)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	1	1	2680	186	22	14	100		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
